seq_name	chromosome_score	plasmid_score	virus_score
JAUINL010000001.1	0.9999	0.0001	0.0000
JAUINL010000002.1	0.9992	0.0008	0.0000
JAUINL010000003.1	0.9995	0.0005	0.0000
JAUINL010000004.1	0.9999	0.0001	0.0000
JAUINL010000005.1	0.9998	0.0002	0.0000
JAUINL010000006.1	1.0000	0.0000	0.0000
JAUINL010000007.1	1.0000	0.0000	0.0000
JAUINL010000008.1	1.0000	0.0000	0.0000
JAUINL010000009.1	1.0000	0.0000	0.0000
JAUINL010000010.1	1.0000	0.0000	0.0000
JAUINL010000011.1	1.0000	0.0000	0.0000
JAUINL010000012.1	1.0000	0.0000	0.0000
JAUINL010000013.1	1.0000	0.0000	0.0000
JAUINL010000014.1	0.9998	0.0002	0.0000
JAUINL010000015.1	1.0000	0.0000	0.0000
JAUINL010000016.1	0.9998	0.0001	0.0000
JAUINL010000017.1	0.9997	0.0003	0.0000
JAUINL010000018.1	0.9998	0.0002	0.0000
JAUINL010000019.1	1.0000	0.0000	0.0000
JAUINL010000020.1	1.0000	0.0000	0.0000
JAUINL010000021.1	0.9983	0.0017	0.0000
JAUINL010000022.1	0.9997	0.0003	0.0000
JAUINL010000023.1	0.9998	0.0002	0.0000
JAUINL010000024.1	1.0000	0.0000	0.0000
JAUINL010000025.1	0.9314	0.0686	0.0000
JAUINL010000026.1	0.9310	0.0690	0.0000
JAUINL010000027.1	1.0000	0.0000	0.0000
JAUINL010000028.1	0.9999	0.0001	0.0000
JAUINL010000029.1	1.0000	0.0000	0.0000
JAUINL010000030.1	0.7602	0.2398	0.0000
JAUINL010000031.1	0.9999	0.0001	0.0000
JAUINL010000032.1	1.0000	0.0000	0.0000
JAUINL010000033.1	0.7590	0.2410	0.0000
JAUINL010000034.1	0.9992	0.0008	0.0000
JAUINL010000035.1	1.0000	0.0000	0.0000
JAUINL010000036.1	0.9999	0.0001	0.0000
JAUINL010000037.1	0.9992	0.0008	0.0000
JAUINL010000038.1	0.4586	0.1196	0.4218
JAUINL010000039.1	1.0000	0.0000	0.0000
JAUINL010000040.1	0.4397	0.5603	0.0000
JAUINL010000041.1	0.0001	0.9999	0.0000
JAUINL010000042.1	0.9978	0.0022	0.0000
JAUINL010000043.1	1.0000	0.0000	0.0000
JAUINL010000044.1	0.0816	0.9184	0.0000
JAUINL010000045.1	0.9980	0.0020	0.0000
JAUINL010000046.1	0.8576	0.1424	0.0000
JAUINL010000047.1	0.9997	0.0003	0.0000
JAUINL010000048.1	0.7125	0.2875	0.0000
JAUINL010000049.1	1.0000	0.0000	0.0000
JAUINL010000050.1	0.9994	0.0003	0.0004
JAUINL010000051.1	1.0000	0.0000	0.0000
JAUINL010000052.1	0.9833	0.0166	0.0001
JAUINL010000053.1	0.9957	0.0001	0.0043
JAUINL010000054.1	1.0000	0.0000	0.0000
JAUINL010000055.1	1.0000	0.0000	0.0000
JAUINL010000056.1	0.2039	0.7953	0.0009
JAUINL010000057.1	1.0000	0.0000	0.0000
JAUINL010000058.1	1.0000	0.0000	0.0000
JAUINL010000059.1	1.0000	0.0000	0.0000
JAUINL010000060.1	0.0034	0.9965	0.0001
JAUINL010000061.1	0.9853	0.0147	0.0000
JAUINL010000062.1	0.6199	0.3800	0.0001
JAUINL010000063.1	0.9998	0.0000	0.0002
JAUINL010000064.1	0.0651	0.9348	0.0001
JAUINL010000065.1	0.9997	0.0003	0.0000
JAUINL010000066.1	0.0794	0.9206	0.0000
JAUINL010000067.1	0.9733	0.0267	0.0000
JAUINL010000068.1	0.9991	0.0009	0.0000
JAUINL010000069.1	0.7109	0.2181	0.0709
JAUINL010000070.1	0.9998	0.0002	0.0000
JAUINL010000071.1	0.0002	0.9998	0.0000
JAUINL010000072.1	0.9876	0.0124	0.0000
JAUINL010000073.1	0.3609	0.6360	0.0031
JAUINL010000074.1	0.9879	0.0121	0.0000
JAUINL010000075.1	0.0013	0.9987	0.0000
JAUINL010000076.1	0.6906	0.3072	0.0022
JAUINL010000077.1	0.9410	0.0578	0.0012
JAUINL010000078.1	0.9964	0.0035	0.0001
JAUINL010000079.1	0.9293	0.0706	0.0001
JAUINL010000080.1	0.9990	0.0003	0.0007
JAUINL010000081.1	0.9155	0.0839	0.0006
JAUINL010000082.1	0.6155	0.3842	0.0003
JAUINL010000083.1	0.8987	0.0446	0.0567
JAUINL010000084.1	0.5997	0.4002	0.0001
JAUINL010000085.1	0.0004	0.9996	0.0000
JAUINL010000086.1	0.9721	0.0278	0.0001
JAUINL010000087.1	0.0052	0.9948	0.0000
JAUINL010000088.1	0.7084	0.1037	0.1880
JAUINL010000089.1	0.1781	0.8211	0.0008
JAUINL010000090.1	0.4938	0.2175	0.2887
JAUINL010000091.1	0.4520	0.2406	0.3074
JAUINL010000092.1	0.4521	0.2406	0.3073
JAUINL010000093.1	0.4943	0.2066	0.2991
JAUINL010000094.1	0.7094	0.0335	0.2571
JAUINL010000095.1	0.7476	0.1064	0.1459
JAUINL010000096.1	0.7174	0.2811	0.0015
JAUINL010000097.1	0.5434	0.2006	0.2560
JAUINL010000098.1	0.8141	0.0587	0.1271
JAUINL010000099.1	0.6364	0.0281	0.3354
JAUINL010000100.1	0.6340	0.1384	0.2275
JAUINL010000101.1	0.0002	0.9997	0.0000
JAUINL010000102.1	0.6092	0.1534	0.2374
JAUINL010000103.1	0.7982	0.0725	0.1293
JAUINL010000104.1	0.5449	0.2117	0.2434
JAUINL010000105.1	0.0013	0.9958	0.0030
JAUINL010000106.1	0.7187	0.0563	0.2250
