replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
JAYINQ010000001.1	JAYINQ010000001.1_16	Zorya_III__ZorF3	16	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	JAYINQ010000001.1_Zorya_TypeIII_8	1	1	1.0	4.0	1	Zorya_III__ZorF3	mandatory	238	7.3e-73	243.4	0.827	0.975	1	232			Zorya	Zorya_TypeIII	Defense
JAYINQ010000001.1	JAYINQ010000001.1_17	Zorya__ZorB	17	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	JAYINQ010000001.1_Zorya_TypeIII_8	1	1	1.0	4.0	1	Zorya__ZorB	mandatory	216	3.3e-14	50.8	0.8	0.889	10	201			Zorya	Zorya_TypeIII	Defense
JAYINQ010000001.1	JAYINQ010000001.1_18	Zorya__ZorA	18	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	JAYINQ010000001.1_Zorya_TypeIII_8	1	1	1.0	4.0	1	Zorya__ZorA2	mandatory	897	2.7e-05	21.1	0.694	0.581	120	640			Zorya	Zorya_TypeIII	Defense
JAYINQ010000001.1	JAYINQ010000001.1_19	Zorya_III__ZorG3	19	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	JAYINQ010000001.1_Zorya_TypeIII_8	1	1	1.0	4.0	1	Zorya_III__ZorG3	mandatory	245	2.2e-90	300.8	0.892	0.992	1	243			Zorya	Zorya_TypeIII	Defense
JAYINQ010000002.1	JAYINQ010000002.1_3	RloC__RloC	433	defense-finder-models/DefenseFinder/RloC/RloC	JAYINQ010000002.1_RloC_2	1	1	1.0	1.0	1	RloC__RloC	mandatory	764	7.6e-102	340.2	0.942	0.98	2	750			RloC	RloC	Defense
JAYINQ010000004.1	JAYINQ010000004.1_143	PsyrTA__PsyrT	1206	defense-finder-models/DefenseFinder/PsyrTA/PsyrTA	JAYINQ010000004.1_PsyrTA_3	1	1	1.0	2.0	1	PsyrTA__PsyrT	mandatory	692	1.7e-246	817.6	0.997	0.997	1	690			PsyrTA	PsyrTA	Defense
JAYINQ010000004.1	JAYINQ010000004.1_144	PsyrTA__PsyrA	1207	defense-finder-models/DefenseFinder/PsyrTA/PsyrTA	JAYINQ010000004.1_PsyrTA_3	1	1	1.0	2.0	1	PsyrTA__PsyrA	mandatory	456	1.3000000000000001e-117	391.1	0.992	0.98	4	450			PsyrTA	PsyrTA	Defense
JAYINQ010000005.1	JAYINQ010000005.1_151	RM__Type_I_REases_FAM_0.einsi_trimmed	1427	defense-finder-models/RM/RM/RM_Type_I	JAYINQ010000005.1_RM_Type_I_17	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1097	6.4e-230	764.2	0.98	0.964	10	1067		JAYINQ010000005.1_PrrC_16	RM	RM_Type_I	Defense
JAYINQ010000005.1	JAYINQ010000005.1_152	RM__Type_I_S_51	1428	defense-finder-models/RM/RM/RM_Type_I	JAYINQ010000005.1_RM_Type_I_17	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	375	6.7e-60	200.8	0.662	0.861	49	371		JAYINQ010000005.1_PrrC_16	RM	RM_Type_I	Defense
JAYINQ010000005.1	JAYINQ010000005.1_155	RM__Type_I_MTases_FAM_0	1431	defense-finder-models/RM/RM/RM_Type_I	JAYINQ010000005.1_RM_Type_I_17	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	503	2.9e-167	555.6	0.992	0.99	4	501		JAYINQ010000005.1_PrrC_16	RM	RM_Type_I	Defense
JAYINQ010000009.1	JAYINQ010000009.1_148	Gabija__GajB_1	2066	defense-finder-models/DefenseFinder/Gabija/Gabija	JAYINQ010000009.1_Gabija_4	1	1	1.0	2.0	1	Gabija__GajB_1	mandatory	612	5.1e-131	435.7	0.979	0.971	16	609			Gabija	Gabija	Defense
