seq_name	chromosome_score	plasmid_score	virus_score
JAYIMH010000001.1	0.9668	0.0304	0.0028
JAYIMH010000002.1	0.9476	0.0486	0.0038
JAYIMH010000003.1	0.9611	0.0360	0.0030
JAYIMH010000004.1	0.9413	0.0545	0.0042
JAYIMH010000005.1	0.8976	0.0960	0.0063
JAYIMH010000006.1	0.9518	0.0446	0.0035
JAYIMH010000007.1	0.9293	0.0663	0.0045
JAYIMH010000008.1	0.9647	0.0328	0.0025
JAYIMH010000009.1	0.9149	0.0795	0.0056
JAYIMH010000010.1	0.9857	0.0129	0.0014
JAYIMH010000011.1	0.9399	0.0557	0.0044
JAYIMH010000012.1	0.9071	0.0876	0.0053
JAYIMH010000013.1	0.9837	0.0136	0.0028
JAYIMH010000014.1	0.9707	0.0269	0.0023
JAYIMH010000015.1	0.9595	0.0370	0.0035
JAYIMH010000016.1	0.9821	0.0163	0.0016
JAYIMH010000017.1	0.9728	0.0250	0.0022
JAYIMH010000018.1	0.9857	0.0130	0.0013
JAYIMH010000019.1	0.9595	0.0374	0.0031
JAYIMH010000020.1	0.0003	0.9997	0.0001
JAYIMH010000021.1	0.9225	0.0727	0.0048
JAYIMH010000022.1	0.9722	0.0255	0.0023
JAYIMH010000023.1	0.0289	0.9697	0.0014
JAYIMH010000024.1	0.9401	0.0558	0.0041
JAYIMH010000025.1	0.9440	0.0520	0.0039
JAYIMH010000026.1	0.9779	0.0196	0.0025
JAYIMH010000027.1	0.8654	0.1281	0.0065
JAYIMH010000028.1	0.0027	0.9968	0.0005
JAYIMH010000029.1	0.9524	0.0426	0.0050
JAYIMH010000030.1	0.9448	0.0515	0.0037
JAYIMH010000031.1	0.0009	0.9989	0.0001
JAYIMH010000032.1	0.9767	0.0209	0.0024
JAYIMH010000033.1	0.9361	0.0599	0.0040
JAYIMH010000034.1	0.9542	0.0429	0.0030
JAYIMH010000035.1	0.9685	0.0288	0.0027
JAYIMH010000036.1	0.9420	0.0548	0.0033
