seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAYINI010000036.1	38676	No terminal repeats	39	11	1.0000	NA	17	34.8978	G_tfc2;G_tfc3;T_virB1;G_tfc5;t4cp1;G_tfc7;G_tfc8;G_tfc9;G_tfc10;G_tfc11;G_tfc12;G_tfc13;G_tfc14;G_tfc15;virb4;G_tfc24;G_tfc23;G_tfc22;G_tfc18;G_tfc19;MOBH	NA
JAYINI010000053.1	16120	No terminal repeats	17	11	1.0000	NA	1	4.1647	NA	NA
JAYINI010000060.1	8272	ITR	6	11	1.0000	NA	0	1.7183	NA	NA
JAYINI010000058.1	8475	No terminal repeats	8	11	1.0000	NA	0	2.5688	NA	NA
JAYINI010000037.1	38425	DTR	43	11	0.9999	NA	10	20.0587	T_virB10;T_virB9;T_virB8;T_virB6;T_virB5;T_virB3;T_virB2;I_traV	NA
JAYINI010000068.1	3179	No terminal repeats	4	11	0.9999	NA	1	3.4366	T_virB6	NA
JAYINI010000033.1	48432	No terminal repeats	53	11	0.9998	NA	1	12.7632	MOBQ	NF000496
JAYINI010000064.1	6860	No terminal repeats	5	11	0.9998	NA	1	3.4366	T_virB6	NA
JAYINI010000061.1	8046	No terminal repeats	10	11	0.9996	NA	0	0.7327	NA	NA
JAYINI010000040.1	36731	No terminal repeats	30	11	0.9983	NA	0	3.3434	NA	NA
JAYINI010000069.1	2707	No terminal repeats	3	11	0.9977	NA	2	2.6906	T_virB6;virb4	NA
JAYINI010000048.1	27384	No terminal repeats	26	11	0.9872	NA	0	1.6063	NA	NA
JAYINI010000057.1	9649	No terminal repeats	7	11	0.9815	NA	0	0.2071	NA	NA
JAYINI010000028.1	58251	No terminal repeats	47	11	0.9129	NA	0	0.6480	NA	NF033135
