replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
JAYIJS010000001.1	JAYIJS010000001.1_171	RM_Type_IV__FAM_2	171	defense-finder-models/RM/RM/RM_Type_IV	JAYIJS010000001.1_RM_Type_IV_16	1	1	0.333	2.0	1	RM_Type_IV__FAM_2	mandatory	432	2.0999999999999998e-55	186.0	0.886	0.891	1	385			RM	RM_Type_IV	Defense
JAYIJS010000001.1	JAYIJS010000001.1_172	RM_Type_IV__FAM_1	172	defense-finder-models/RM/RM/RM_Type_IV	JAYIJS010000001.1_RM_Type_IV_16	1	1	0.333	2.0	1	RM_Type_IV__FAM_1	mandatory	843	7.999999999999999e-84	280.6	0.492	0.563	311	785			RM	RM_Type_IV	Defense
JAYIJS010000005.1	JAYIJS010000005.1_149	Gabija__GajB_2	1349	defense-finder-models/DefenseFinder/Gabija/Gabija	JAYIJS010000005.1_Gabija_7	1	1	1.0	2.0	1	Gabija__GajB_1	mandatory	422	2.6000000000000002e-30	103.4	0.702	0.96	8	412			Gabija	Gabija	Defense
JAYIJS010000005.1	JAYIJS010000005.1_150	Gabija__GajA	1350	defense-finder-models/DefenseFinder/Gabija/Gabija	JAYIJS010000005.1_Gabija_7	1	1	1.0	2.0	1	Gabija__GajA	mandatory	595	1.8e-46	157.0	0.682	0.719	1	428			Gabija	Gabija	Defense
JAYIJS010000005.1	JAYIJS010000005.1_162	Gao_Mza__MzaE	1362	defense-finder-models/DefenseFinder/Gao_Mza/Gao_Mza	JAYIJS010000005.1_Gao_Mza_8	1	1	0.8	4.0	1	Gao_Mza__MzaE	mandatory	590	6.3e-221	732.8	0.975	0.976	1	576			Gao_Mza	Gao_Mza	Defense
JAYIJS010000005.1	JAYIJS010000005.1_163	Gao_Mza__MzaD	1363	defense-finder-models/DefenseFinder/Gao_Mza/Gao_Mza	JAYIJS010000005.1_Gao_Mza_8	1	1	0.8	4.0	1	Gao_Mza__MzaD	mandatory	339	1.8e-100	334.4	0.968	0.976	6	336			Gao_Mza	Gao_Mza	Defense
JAYIJS010000005.1	JAYIJS010000005.1_164	Gao_Mza__MzaC	1364	defense-finder-models/DefenseFinder/Gao_Mza/Gao_Mza	JAYIJS010000005.1_Gao_Mza_8	1	1	0.8	4.0	1	Gao_Mza__MzaC	mandatory	973	0.0	1027.6	0.909	0.982	12	966			Gao_Mza	Gao_Mza	Defense
JAYIJS010000005.1	JAYIJS010000005.1_165	Gao_Mza__MzaB	1365	defense-finder-models/DefenseFinder/Gao_Mza/Gao_Mza	JAYIJS010000005.1_Gao_Mza_8	1	1	0.8	4.0	1	Gao_Mza__MzaB	mandatory	498	6.099999999999999e-175	580.9	0.874	0.986	6	496			Gao_Mza	Gao_Mza	Defense
JAYIJS010000005.1	JAYIJS010000005.1_168	VP1851__VP1851	1368	defense-finder-models/DefenseFinder/VP1851/VP1851	JAYIJS010000005.1_VP1851_9	1	1	1.0	1.0	1	VP1851__VP1851	mandatory	219	5.8e-94	311.7	0.881	0.963	3	213			VP1851	VP1851	Defense
JAYIJS010000006.1	JAYIJS010000006.1_59	Avs_III__Avs3B	1460	defense-finder-models/DefenseFinder/Avs/Avs_III	JAYIJS010000006.1_Avs_III_13	1	1	1.0	2.0	1	Avs_III__Avs3B	mandatory	207	1.2e-18	65.5	0.809	0.928	1	192			Avs	Avs_III	Defense
JAYIJS010000006.1	JAYIJS010000006.1_60	Avs_III__Avs3A	1461	defense-finder-models/DefenseFinder/Avs/Avs_III	JAYIJS010000006.1_Avs_III_13	1	1	1.0	2.0	1	Avs_III__Avs3A	mandatory	2091	0.0	1597.6	0.981	0.978	10	2054			Avs	Avs_III	Defense
JAYIJS010000009.1	JAYIJS010000009.1_31	Gabija__GajB_2	1994	defense-finder-models/DefenseFinder/Gabija/Gabija	JAYIJS010000009.1_Gabija_2	1	1	1.0	2.0	1	Gabija__GajB_1	mandatory	605	5.0999999999999996e-95	317.1	0.767	0.954	20	596			Gabija	Gabija	Defense
JAYIJS010000009.1	JAYIJS010000009.1_32	Gabija__GajA	1995	defense-finder-models/DefenseFinder/Gabija/Gabija	JAYIJS010000009.1_Gabija_2	1	1	1.0	2.0	1	Gabija__GajA	mandatory	594	9.6e-119	395.7	0.99	0.995	1	591			Gabija	Gabija	Defense
