seq_name	source_seq	start	end	length	n_genes	v_vs_c_score	in_seq_edge	integrases
JAYIQQ010000022.1|provirus_56922_71800	JAYIQQ010000022.1	56922	71800	14879	15	17.0794	True	NA
JAYIQQ010000036.1|provirus_35776_53540	JAYIQQ010000036.1	35776	53540	17765	19	24.6909	True	NA
JAYIQQ010000065.1|provirus_10424_21430	JAYIQQ010000065.1	10424	21430	11007	18	18.7126	True	NA
