system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
4,JBEGGL010000001.1,wadjet_other,JBEGGL010000001.1_11,PDLC00518,JetC1_00016,JetC,0,0,0.813,0.989,13329,17381,-,-,11,1158,"PDLC00514,JetC1_00012, 1, 9.2e-130, 0.793, 0.963 | PDLC00519,JetC1_00017, 1, 1e-49, 0.791, 0.979 | PDLC00511,JetC1_00009, 1, 6e-183, 0.785, 0.949 | PDLC00513,JetC1_00011, 1, 3.3e-06, 0.05, 0.058 | PDLC00513,JetC1_00011, 2, 3.2e-10, 0.598, 0.693 | PDLC00513,JetC1_00011, 3, 1300, 0.098, 0.114 | PDLC00510,JetC1_00008, 1, 0.52, 0.101, 0.113 | PDLC00510,JetC1_00008, 2, 20, 0.113, 0.139 | PDLC00510,JetC1_00008, 3, 0.0059, 0.031, 0.038 | PDLC00505,JetC1_00003, 1, 8.1e-12, 0.086, 0.097 | PDLC00505,JetC1_00003, 2, 49, 0.114, 0.137 | PDLC00505,JetC1_00003, 3, 4.1e-09, 0.357, 0.421 | PDLC00505,JetC1_00003, 4, 0.0044, 0.025, 0.03 | PDLC00509,JetC1_00007, 1, 3.4e-66, 0.542, 0.638 | PDLC00509,JetC1_00007, 2, 1.6e-21, 0.207, 0.249 | PDLC00503,JetC1_00001, 1, 2.3e-07, 0.078, 0.086 | PDLC00503,JetC1_00001, 2, 3.5, 0.071, 0.084 | PDLC00503,JetC1_00001, 3, 310, 0.09, 0.106 | PDLC00503,JetC1_00001, 4, 0.006, 0.075, 0.092 | PDLC00516,JetC1_00014, 1, 6.2e-05, 0.079, 0.087 | PDLC00516,JetC1_00014, 2, 30, 0.083, 0.097 | PDLC00516,JetC1_00014, 3, 3.8, 0.19, 0.227 | PDLC00516,JetC1_00014, 4, 140, 0.086, 0.101 | PDLC00512,JetC1_00010, 1, 3e-255, 0.807, 0.98 | PDLC00517,JetC1_00015, 1, 6.3e-193, 0.8, 0.977 | PDLC00518,JetC1_00016, 1, 0, 0.813, 0.989","PDLC00518, JetC1_00016, 0, 0.813, 0.989 | PDLC00512, JetC1_00010, 3e-255, 0.807, 0.98 | PDLC00517, JetC1_00015, 6.3e-193, 0.8, 0.977 | PDLC00511, JetC1_00009, 6e-183, 0.785, 0.949 | PDLC00514, JetC1_00012, 9.2e-130, 0.793, 0.963"
4,JBEGGL010000001.1,wadjet_other,JBEGGL010000001.1_12,PDLC00501,JetB1_00034,JetB,2.0999999999999997e-110,2.2999999999999996e-110,0.987,0.953,17770,18471,-,-,12,1158,"PDLC00480,JetB1_00013, 1, 1.5e-09, 0.765, 0.749 | PDLC00488,JetB1_00021, 1, 2.4e-15, 0.803, 0.653 | PDLC00485,JetB1_00018, 1, 1.1e-59, 0.859, 0.84 | PDLC00477,JetB1_00010, 1, 3.3e-15, 0.701, 0.884 | PDLC00494,JetB1_00027, 1, 0.0015, 0.739, 0.512 | PDLC00496,JetB1_00029, 1, 1.2e-29, 0.774, 0.57 | PDLC00472,JetB1_00005, 1, 8e-37, 0.859, 0.836 | PDLC00468,JetB1_00001, 1, 8.1e-19, 0.624, 0.776 | PDLC00492,JetB1_00025, 1, 2.4e-06, 0.889, 0.695 | PDLC00473,JetB1_00006, 1, 1.1e-32, 0.795, 0.804 | PDLC00490,JetB1_00023, 1, 1.2e-07, 0.761, 0.771 | PDLC00476,JetB1_00009, 1, 9.8e-21, 0.765, 0.641 | PDLC00493,JetB1_00026, 1, 3.6e-05, 0.868, 0.717 | PDLC00499,JetB1_00032, 1, 6.5e-29, 0.786, 0.718 | PDLC00501,JetB1_00034, 1, 2.3e-110, 0.987, 0.953 | PDLC00487,JetB1_00020, 1, 3e-27, 0.705, 0.856 | PDLC00474,JetB1_00007, 1, 1.7e-23, 0.692, 0.797 | PDLC00481,JetB1_00014, 1, 3.8e-74, 0.838, 0.899 | PDLC00497,JetB1_00030, 1, 2.9e-30, 0.816, 0.765 | PDLC00495,JetB1_00028, 1, 5.8e-24, 0.872, 0.598 | PDLC00491,JetB1_00024, 1, 3.9e-06, 0.778, 0.68","PDLC00501, JetB1_00034, 2.3e-110, 0.987, 0.953 | PDLC00481, JetB1_00014, 3.8e-74, 0.838, 0.899 | PDLC00485, JetB1_00018, 1.1e-59, 0.859, 0.84 | PDLC00472, JetB1_00005, 8e-37, 0.859, 0.836 | PDLC00473, JetB1_00006, 1.1e-32, 0.795, 0.804"
4,JBEGGL010000001.1,wadjet_other,JBEGGL010000001.1_13,PDLC00460,JetA1_00019,JetA,5.699999999999997e-194,6.299999999999997e-194,0.994,0.996,18458,19927,-,-,13,1158,"PDLC00464,JetA1_00023, 1, 4.2e-53, 0.978, 0.972 | PDLC00457,JetA1_00016, 1, 1.7e-92, 0.959, 0.977 | PDLC00452,JetA1_00011, 1, 4.2e-39, 0.98, 0.972 | PDLC00459,JetA1_00018, 1, 3.1e-24, 0.963, 0.947 | PDLC00460,JetA1_00019, 1, 6.3e-194, 0.994, 0.996 | PDLC00463,JetA1_00022, 1, 7.5e-20, 0.841, 0.761 | PDLC00455,JetA1_00014, 1, 8.9e-31, 0.886, 0.893 | PDLC00461,JetA1_00020, 1, 1.5e-61, 0.973, 0.965 | PDLC00465,JetA1_00024, 1, 5.8e-37, 0.943, 0.91 | PDLC00444,JetA1_00003, 1, 1.2e-49, 0.92, 0.945 | PDLC00447,JetA1_00006, 1, 2.4e-59, 0.978, 0.979","PDLC00460, JetA1_00019, 6.3e-194, 0.994, 0.996 | PDLC00457, JetA1_00016, 1.7e-92, 0.959, 0.977 | PDLC00461, JetA1_00020, 1.5e-61, 0.973, 0.965 | PDLC00447, JetA1_00006, 2.4e-59, 0.978, 0.979 | PDLC00464, JetA1_00023, 4.2e-53, 0.978, 0.972"
2,JBEGGL010000001.1,PDC-S05,JBEGGL010000001.1_39,PDLC04870,PDC-S05_WP_135110477.1,PDC-S05,1.7999999999999994e-99,1.9999999999999992e-99,0.896,0.963,44155,44847,-,-,39,1158,"PDLC04875,PDC-S05_WP_187536628.1, 1, 2.5e-08, 0.251, 0.472 | PDLC04875,PDC-S05_WP_187536628.1, 2, 320, 0, 0 | PDLC04875,PDC-S05_WP_187536628.1, 3, 300, 0.039, 0.073 | PDLC04843,PDC-S05_WP_181573034.1, 1, 9.4e-82, 0.922, 0.636 | PDLC04877,PDC-S05_WP_126307469.1, 1, 1.6e-15, 0.316, 0.89 | PDLC04877,PDC-S05_WP_126307469.1, 2, 2500, 0.048, 0.134 | PDLC04864,PDC-S05_WP_222427554.1, 1, 7.3e-66, 0.68, 0.567 | PDLC04873,PDC-S05_WP_017455060.1, 1, 4.7e-29, 0.433, 0.862 | PDLC04884,PDC-S05_WP_026981758.1, 1, 3.3e-18, 0.307, 0.835 | PDLC04844,PDC-S05_WP_008569830.1, 1, 4.9e-10, 0.359, 0.555 | PDLC04871,PDC-S05_WP_231564492.1, 1, 1.1e-82, 0.944, 0.472 | PDLC04870,PDC-S05_WP_135110477.1, 1, 2e-99, 0.896, 0.963 | PDLC04872,PDC-S05_WP_106707341.1, 1, 6.4e-38, 0.541, 0.842 | PDLC04851,PDC-S05_WP_020395932.1, 1, 3.8e-103, 0.97, 0.646 | PDLC04883,PDC-S05_WP_220413105.1, 1, 3.9e-20, 0.333, 0.885 | PDLC04883,PDC-S05_WP_220413105.1, 2, 730, 0.056, 0.149 | PDLC04868,PDC-S05_WP_205747975.1, 1, 2.4e-103, 0.931, 0.651 | PDLC04845,PDC-S05_WP_210384770.1, 1, 8.5e-13, 0.433, 0.55 | PDLC04845,PDC-S05_WP_210384770.1, 2, 250, 0.186, 0.215 | PDLC04874,PDC-S05_WP_205904899.1, 1, 1.2e-38, 0.519, 0.727 | PDLC04854,PDC-S05_WP_190995815.1, 1, 5.4e-38, 0.688, 0.769 | PDLC04865,PDC-S05_WP_206196814.1, 1, 1.5e-13, 0.307, 0.78 | PDLC04865,PDC-S05_WP_206196814.1, 2, 520, 0.078, 0.198 | PDLC04880,PDC-S05_WP_050949286.1, 1, 5.3e-05, 0.177, 0.745 | PDLC04880,PDC-S05_WP_050949286.1, 2, 670, 0.043, 0.182 | PDLC04861,PDC-S05_WP_205729986.1, 1, 2.8e-17, 0.299, 0.831 | PDLC04861,PDC-S05_WP_205729986.1, 2, 390, 0.065, 0.181 | PDLC04853,PDC-S05_WP_228444512.1, 1, 3.1e-93, 0.922, 0.634 | PDLC04855,PDC-S05_WP_179358254.1, 1, 5.8e-07, 0.199, 0.561 | PDLC04879,PDC-S05_WP_091962608.1, 1, 1.6e-32, 0.584, 0.474 | PDLC04885,PDC-S05_WP_002697025.1, 1, 9.3e-22, 0.403, 0.873 | PDLC04885,PDC-S05_WP_002697025.1, 2, 600, 0.087, 0.182 | PDLC04885,PDC-S05_WP_002697025.1, 3, 500, 0.065, 0.136 | PDLC04867,PDC-S05_WP_204355478.1, 1, 1.1e-17, 0.329, 0.817 | PDLC04858,PDC-S05_WP_065233724.1, 1, 5.7e-42, 0.532, 0.891 | PDLC04847,PDC-S05_WP_224134658.1, 1, 1.9e-11, 0.29, 0.644 | PDLC04881,PDC-S05_WP_108603569.1, 1, 3.2e-16, 0.286, 0.805 | PDLC04881,PDC-S05_WP_108603569.1, 2, 550, 0.082, 0.244 | PDLC04860,PDC-S05_WP_055170183.1, 1, 5.2e-35, 0.403, 0.66 | PDLC04860,PDC-S05_WP_055170183.1, 2, 960, 0.1, 0.163 | PDLC04848,PDC-S05_WP_138764285.1, 1, 2.9e-25, 0.506, 0.412 | PDLC04852,PDC-S05_WP_110807286.1, 1, 8.1e-86, 0.957, 0.63 | PDLC04859,PDC-S05_WP_215891945.1, 1, 4.6e-11, 0.303, 0.667 | PDLC04876,PDC-S05_WP_205197604.1, 1, 2.6e-64, 0.706, 0.948 | PDLC04857,PDC-S05_WP_200872712.1, 1, 2.8e-05, 0.251, 0.317","PDLC04868, PDC-S05_WP_205747975.1, 2.4e-103, 0.931, 0.651 | PDLC04851, PDC-S05_WP_020395932.1, 3.8e-103, 0.97, 0.646 | PDLC04870, PDC-S05_WP_135110477.1, 2e-99, 0.896, 0.963 | PDLC04853, PDC-S05_WP_228444512.1, 3.1e-93, 0.922, 0.634 | PDLC04852, PDC-S05_WP_110807286.1, 8.1e-86, 0.957, 0.63"
3,JBEGGL010000001.1,SoFic,JBEGGL010000001.1_304,PDLC03963,SoFic__SoFic,SoFic,1.2999999999999997e-120,1.6999999999999997e-120,0.938,0.983,371027,372196,+,-,304,1158,"PDLC03963,SoFic__SoFic, 1, 1.7e-120, 0.938, 0.983","PDLC03963, SoFic__SoFic, 1.7e-120, 0.938, 0.983"
1,JBEGGL010000001.1,Menshen,JBEGGL010000001.1_645,PDLC03877,Menshen__NsnA,NsnA,4.8999999999999995e-111,5.7999999999999986e-111,0.955,0.912,768460,769650,+,-,645,1158,"PDLC03877,Menshen__NsnA, 1, 5.8e-111, 0.955, 0.912","PDLC03877, Menshen__NsnA, 5.8e-111, 0.955, 0.912"
1,JBEGGL010000001.1,Menshen,JBEGGL010000001.1_646,PDLC03878,Menshen__NsnB,NsnB,2.4999999999999995e-88,2.8999999999999996e-88,0.951,0.93,769704,770747,+,-,646,1158,"PDLC03878,Menshen__NsnB, 1, 2.9e-88, 0.951, 0.93","PDLC03878, Menshen__NsnB, 2.9e-88, 0.951, 0.93"
1,JBEGGL010000001.1,Menshen,JBEGGL010000001.1_647,PDLC03914,Menshen__NsnC_2723509649,NsnC,7.399999999999998e-87,8.299999999999997e-87,0.991,0.997,770731,771729,+,-,647,1158,"PDLC03908,Menshen__NsnC_2670026569, 1, 2.8e-10, 0.198, 0.245 | PDLC03914,Menshen__NsnC_2723509649, 1, 8.3e-87, 0.991, 0.997 | PDLC03879,Menshen__NsnC_2507451963, 1, 3.1e-06, 0.267, 0.197 | PDLC03896,Menshen__NsnC_2623244837, 1, 0.0032, 0.123, 0.129 | PDLC03899,Menshen__NsnC_2635923458, 1, 0.034, 0.156, 0.174 | PDLC03899,Menshen__NsnC_2635923458, 2, 0.42, 0.108, 0.154 | PDLC03912,Menshen__NsnC_2705968471, 1, 2.6e-10, 0.462, 0.402","PDLC03914, Menshen__NsnC_2723509649, 8.3e-87, 0.991, 0.997 | PDLC03912, Menshen__NsnC_2705968471, 2.6e-10, 0.462, 0.402 | PDLC03908, Menshen__NsnC_2670026569, 2.8e-10, 0.198, 0.245 | PDLC03879, Menshen__NsnC_2507451963, 3.1e-06, 0.267, 0.197 | PDLC03896, Menshen__NsnC_2623244837, 0.0032, 0.123, 0.129"
9,JBEGGL010000002.1,RM_type_I,JBEGGL010000002.1_20,PDLC03049,REase_I_00010,REase_I,0,0,0.991,0.988,22757,25138,+,-,20,878,"PDLC03049,REase_I_00010, 1, 0, 0.991, 0.988 | PDLC03047,REase_I_00008, 1, 4.4e-35, 0.599, 0.428 | PDLC03050,REase_I_00011, 1, 4.7e-67, 0.254, 0.913 | PDLC03045,REase_I_00006, 1, 5.3e-11, 0.246, 0.209 | PDLC03042,REase_I_00003, 1, 3.7, 0.055, 0.037 | PDLC03042,REase_I_00003, 2, 1.9e-38, 0.47, 0.344 | PDLC03040,REase_I_00001, 1, 0.00097, 0.084, 0.066 | PDLC03048,REase_I_00009, 1, 5.1e-12, 0.243, 0.216","PDLC03049, REase_I_00010, 0, 0.991, 0.988 | PDLC03050, REase_I_00011, 4.7e-67, 0.254, 0.913 | PDLC03042, REase_I_00003, 1.9e-38, 0.47, 0.344 | PDLC03047, REase_I_00008, 4.4e-35, 0.599, 0.428 | PDLC03048, REase_I_00009, 5.1e-12, 0.243, 0.216"
9,JBEGGL010000002.1,RM_type_I,JBEGGL010000002.1_23,PDLC03025,MTase_I_00008,MTase_I,7.799999999999996e-274,8.099999999999995e-257,0.882,0.759,26564,28033,+,-,23,878,"PDLC03028,MTase_I_00011, 1, 1.3e-13, 0.402, 0.17 | PDLC03031,MTase_I_00014, 1, 1.5e-30, 0.459, 0.283 | PDLC03021,MTase_I_00004, 1, 4e-187, 0.982, 0.996 | PDLC03020,MTase_I_00003, 1, 3.5e-10, 0.461, 0.585 | PDLC03038,MTase_I_00021, 1, 6.9e-16, 0.412, 0.233 | PDLC03029,MTase_I_00012, 1, 3.3e-23, 0.524, 0.418 | PDLC03027,MTase_I_00010, 1, 5.8e-25, 0.504, 0.312 | PDLC03037,MTase_I_00020, 1, 1.4e-05, 0.42, 0.256 | PDLC03018,MTase_I_00001, 1, 6.1e-12, 0.127, 0.081 | PDLC03018,MTase_I_00001, 2, 0.075, 0.122, 0.076 | PDLC03018,MTase_I_00001, 3, 5.8e-06, 0.163, 0.107 | PDLC03039,MTase_I_00022, 1, 9.5e-17, 0.469, 0.329 | PDLC03036,MTase_I_00019, 1, 7.5e-08, 0.149, 0.12 | PDLC03036,MTase_I_00019, 2, 3.8e-47, 0.594, 0.472 | PDLC03035,MTase_I_00018, 1, 1.5e-20, 0.52, 0.395 | PDLC03022,MTase_I_00005, 1, 5.8e-30, 0.657, 0.38 | PDLC03026,MTase_I_00009, 1, 1.6e-75, 0.959, 0.938 | PDLC03023,MTase_I_00006, 1, 0.02, 0.263, 0.209 | PDLC03023,MTase_I_00006, 2, 0.019, 0.071, 0.049 | PDLC03033,MTase_I_00016, 1, 4.1e-20, 0.665, 0.617 | PDLC03025,MTase_I_00008, 1, 8.1e-257, 0.882, 0.759 | PDLC03025,MTase_I_00008, 2, 9.4e-16, 0.106, 0.091 | PDLC03034,MTase_I_00017, 1, 1.7e-09, 0.169, 0.118 | PDLC03034,MTase_I_00017, 2, 1.4e-10, 0.21, 0.164 | PDLC03019,MTase_I_00002, 1, 8.5e-15, 0.48, 0.249 | PDLC03024,MTase_I_00007, 1, 0.51, 0.19, 0.158 | PDLC03024,MTase_I_00007, 2, 1.4, 0.086, 0.065 | PDLC03030,MTase_I_00013, 1, 7.9e-07, 0.214, 0.143 | PDLC03030,MTase_I_00013, 2, 0.00022, 0.151, 0.11 | PDLC03032,MTase_I_00015, 1, 1.2e-20, 0.553, 0.275","PDLC03025, MTase_I_00008, 8.1e-257, 0.882, 0.759 | PDLC03021, MTase_I_00004, 4e-187, 0.982, 0.996 | PDLC03026, MTase_I_00009, 1.6e-75, 0.959, 0.938 | PDLC03036, MTase_I_00019, 3.8e-47, 0.594, 0.472 | PDLC03031, MTase_I_00014, 1.5e-30, 0.459, 0.283"
