sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JBEFUQ010000001.1_RM_Type_II_17	RM	RM_Type_II	Defense	JBEFUQ010000001.1_315	JBEFUQ010000001.1_316	JBEFUQ010000001.1_315,JBEFUQ010000001.1_316	2	RM_Type_II__Type_II_MTases_FAM_3,RM_Type_II__Type_II_REase30
JBEFUQ010000002.1_HEC-09_10	HEC-09	HEC-09	Defense	JBEFUQ010000002.1_356	JBEFUQ010000002.1_356	JBEFUQ010000002.1_356	1	HEC-09__HEC-09
JBEFUQ010000003.1_RM_Type_IV_20	RM	RM_Type_IV	Defense	JBEFUQ010000003.1_8	JBEFUQ010000003.1_8	JBEFUQ010000003.1_8	1	RM_Type_IV__Type_IV_03
JBEFUQ010000003.1_Shango_1	Shango	Shango	Defense	JBEFUQ010000003.1_10	JBEFUQ010000003.1_12	JBEFUQ010000003.1_10,JBEFUQ010000003.1_11,JBEFUQ010000003.1_12	3	Shango__SngA,Shango__SngB,Shango__SngC
JBEFUQ010000008.1_RM_Type_I_15	RM	RM_Type_I	Defense	JBEFUQ010000008.1_22	JBEFUQ010000008.1_26	JBEFUQ010000008.1_22,JBEFUQ010000008.1_25,JBEFUQ010000008.1_26	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JBEFUQ010000009.1_RM_Type_I_19	RM	RM_Type_I	Defense	JBEFUQ010000009.1_162	JBEFUQ010000009.1_165	JBEFUQ010000009.1_162,JBEFUQ010000009.1_164,JBEFUQ010000009.1_165	3	RM__Type_I_MTases_FAM_3,RM__Type_I_REases_FAM_1.einsi_trimmed,RM__Type_I_S_52
JBEFUQ010000011.1_CapRel_2	CapRel	CapRel	Defense	JBEFUQ010000011.1_63	JBEFUQ010000011.1_63	JBEFUQ010000011.1_63	1	CapRel__CapRel
JBEFUQ010000012.1_SoFic_3	SoFIC	SoFic	Defense	JBEFUQ010000012.1_109	JBEFUQ010000012.1_109	JBEFUQ010000012.1_109	1	SoFic__SoFic
JBEFUQ010000012.1_dCTPdeaminase_4	dCTPdeaminase	dCTPdeaminase	Defense	JBEFUQ010000012.1_115	JBEFUQ010000012.1_115	JBEFUQ010000012.1_115	1	dCTPdeaminase__dCTPdeaminase
JBEFUQ010000017.1_SoFic_5	SoFIC	SoFic	Defense	JBEFUQ010000017.1_86	JBEFUQ010000017.1_86	JBEFUQ010000017.1_86	1	SoFic__SoFic
JBEFUQ010000019.1_Gao_TerY_13	Gao_TerY	Gao_TerY	Defense	JBEFUQ010000019.1_4	JBEFUQ010000019.1_6	JBEFUQ010000019.1_4,JBEFUQ010000019.1_5,JBEFUQ010000019.1_6	3	Gao_TerY__TerYA,Gao_TerY__TerYB,Gao_TerY__TerYC
JBEFUQ010000019.1_CBASS_I_12	CBASS	CBASS_I	Defense	JBEFUQ010000019.1_8	JBEFUQ010000019.1_9	JBEFUQ010000019.1_8,JBEFUQ010000019.1_9	2	CBASS__Cyclase_new,CBASS__Effector_2TM_S_2TMBeta
JBEFUQ010000020.1_RM_Type_III_16	RM	RM_Type_III	Defense	JBEFUQ010000020.1_1	JBEFUQ010000020.1_2	JBEFUQ010000020.1_1,JBEFUQ010000020.1_2	2	RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed
JBEFUQ010000020.1_Retron_XII_6	Retron	Retron_XII	Defense	JBEFUQ010000020.1_47	JBEFUQ010000020.1_47	JBEFUQ010000020.1_47	1	Retron_XII__RT_12
JBEFUQ010000026.1_Wadjet_I_9	Wadjet	Wadjet_I	Defense	JBEFUQ010000026.1_28	JBEFUQ010000026.1_31	JBEFUQ010000026.1_28,JBEFUQ010000026.1_29,JBEFUQ010000026.1_31	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
JBEFUQ010000028.1_RM_Type_IV_21	RM	RM_Type_IV	Defense	JBEFUQ010000028.1_3	JBEFUQ010000028.1_3	JBEFUQ010000028.1_3	1	RM_Type_IV__Type_IV_03
JBEFUQ010000036.1_Zorya_TypeIII_7	Zorya	Zorya_TypeIII	Defense	JBEFUQ010000036.1_8	JBEFUQ010000036.1_11	JBEFUQ010000036.1_8,JBEFUQ010000036.1_9,JBEFUQ010000036.1_10,JBEFUQ010000036.1_11	4	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorA,Zorya__ZorB
