seq_name	chromosome_score	plasmid_score	virus_score
JAUIPJ010000001.1	0.4739	0.5075	0.0186
JAUIPJ010000002.1	0.4741	0.4920	0.0339
JAUIPJ010000003.1	0.4907	0.4880	0.0213
JAUIPJ010000004.1	0.4155	0.5421	0.0424
JAUIPJ010000005.1	0.4027	0.5546	0.0427
JAUIPJ010000006.1	0.5006	0.4449	0.0545
JAUIPJ010000007.1	0.3882	0.5756	0.0361
JAUIPJ010000008.1	0.3799	0.5816	0.0385
JAUIPJ010000009.1	0.3739	0.5908	0.0354
JAUIPJ010000010.1	0.3836	0.5768	0.0396
JAUIPJ010000011.1	0.4422	0.5212	0.0366
JAUIPJ010000012.1	0.3889	0.5331	0.0780
JAUIPJ010000013.1	0.3922	0.5580	0.0498
JAUIPJ010000014.1	0.3375	0.6403	0.0222
JAUIPJ010000015.1	0.3688	0.5914	0.0397
JAUIPJ010000016.1	0.4134	0.5697	0.0169
JAUIPJ010000017.1	0.4711	0.5117	0.0172
JAUIPJ010000018.1	0.4637	0.5212	0.0151
JAUIPJ010000019.1	0.4259	0.5687	0.0054
JAUIPJ010000020.1	0.4928	0.4910	0.0161
JAUIPJ010000021.1	0.5105	0.4601	0.0294
JAUIPJ010000022.1	0.5260	0.3993	0.0747
JAUIPJ010000023.1	0.4612	0.4218	0.1169
JAUIPJ010000024.1	0.5818	0.3999	0.0183
JAUIPJ010000025.1	0.4155	0.5277	0.0568
JAUIPJ010000026.1	0.4628	0.5206	0.0165
JAUIPJ010000027.1	0.5141	0.4525	0.0334
JAUIPJ010000028.1	0.4403	0.5365	0.0232
JAUIPJ010000029.1	0.4784	0.4925	0.0291
JAUIPJ010000030.1	0.4338	0.5541	0.0121
JAUIPJ010000031.1	0.4264	0.5423	0.0313
JAUIPJ010000032.1	0.4747	0.4989	0.0264
JAUIPJ010000033.1	0.3991	0.5232	0.0777
JAUIPJ010000034.1	0.4818	0.4994	0.0188
JAUIPJ010000035.1	0.4194	0.5101	0.0705
JAUIPJ010000036.1	0.4989	0.4830	0.0181
JAUIPJ010000037.1	0.3926	0.4516	0.1557
JAUIPJ010000038.1	0.4698	0.5088	0.0214
JAUIPJ010000039.1	0.4927	0.4182	0.0890
JAUIPJ010000040.1	0.4420	0.5406	0.0173
JAUIPJ010000041.1	0.4139	0.4654	0.1207
JAUIPJ010000042.1	0.2731	0.6840	0.0428
JAUIPJ010000043.1	0.4058	0.5921	0.0021
JAUIPJ010000044.1	0.5724	0.4254	0.0022
JAUIPJ010000045.1	0.2963	0.6110	0.0927
JAUIPJ010000046.1	0.5657	0.4067	0.0276
JAUIPJ010000047.1	0.3454	0.5916	0.0631
JAUIPJ010000048.1	0.3817	0.5616	0.0567
JAUIPJ010000049.1	0.4396	0.4415	0.1189
JAUIPJ010000050.1	0.4688	0.5239	0.0073
JAUIPJ010000051.1	0.6189	0.3710	0.0101
JAUIPJ010000052.1	0.6607	0.0785	0.2607
JAUIPJ010000053.1	0.0887	0.8546	0.0567
JAUIPJ010000054.1	0.3379	0.6566	0.0055
JAUIPJ010000055.1	0.4443	0.5531	0.0026
JAUIPJ010000056.1	0.1095	0.7537	0.1367
JAUIPJ010000057.1	0.3433	0.6475	0.0092
JAUIPJ010000058.1	0.1867	0.6606	0.1527
JAUIPJ010000059.1	0.1992	0.7199	0.0809
JAUIPJ010000060.1	0.3874	0.6003	0.0123
JAUIPJ010000061.1	0.6705	0.3292	0.0003
JAUIPJ010000062.1	0.1539	0.8190	0.0271
JAUIPJ010000063.1	0.3745	0.5696	0.0559
JAUIPJ010000064.1	0.3972	0.5849	0.0179
JAUIPJ010000065.1	0.0614	0.9081	0.0305
JAUIPJ010000066.1	0.5595	0.4349	0.0056
JAUIPJ010000067.1	0.8175	0.1726	0.0099
JAUIPJ010000068.1	0.6949	0.2992	0.0059
JAUIPJ010000069.1	0.3616	0.6138	0.0246
JAUIPJ010000070.1	0.6765	0.2328	0.0907
JAUIPJ010000071.1	0.0014	0.9928	0.0058
JAUIPJ010000072.1	0.3537	0.3609	0.2855
JAUIPJ010000073.1	0.6795	0.1982	0.1223
JAUIPJ010000074.1	0.1498	0.4616	0.3886
JAUIPJ010000075.1	0.3184	0.5756	0.1060
JAUIPJ010000076.1	0.3628	0.2554	0.3818
JAUIPJ010000077.1	0.2727	0.5892	0.1381
JAUIPJ010000078.1	0.1960	0.0523	0.7517
JAUIPJ010000079.1	0.4145	0.1634	0.4221
JAUIPJ010000080.1	0.1041	0.6623	0.2336
JAUIPJ010000081.1	0.2303	0.5128	0.2569
JAUIPJ010000082.1	0.3397	0.4553	0.2049
JAUIPJ010000083.1	0.5836	0.3142	0.1023
JAUIPJ010000084.1	0.4912	0.3852	0.1236
JAUIPJ010000085.1	0.4625	0.3779	0.1596
JAUIPJ010000086.1	0.1233	0.7420	0.1347
JAUIPJ010000087.1	0.2930	0.4114	0.2956
JAUIPJ010000088.1	0.1680	0.1884	0.6436
JAUIPJ010000089.1	0.6054	0.1748	0.2198
JAUIPJ010000090.1	0.1903	0.0918	0.7179
JAUIPJ010000091.1	0.5518	0.2354	0.2128
JAUIPJ010000092.1	0.5114	0.2226	0.2660
JAUIPJ010000093.1	0.4790	0.2640	0.2570
JAUIPJ010000094.1	0.4582	0.1127	0.4292
