sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JBEFVW010000003.1_RM_Type_I_17	RM	RM_Type_I	Defense	JBEFVW010000003.1_101	JBEFVW010000003.1_105	JBEFVW010000003.1_101,JBEFVW010000003.1_102,JBEFVW010000003.1_105	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JBEFVW010000003.1_RM_Type_IV_18	RM	RM_Type_IV	Defense	JBEFVW010000003.1_277	JBEFVW010000003.1_278	JBEFVW010000003.1_277,JBEFVW010000003.1_278	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
JBEFVW010000004.1_RM_Type_I_14	RM	RM_Type_I	Defense	JBEFVW010000004.1_187	JBEFVW010000004.1_190	JBEFVW010000004.1_187,JBEFVW010000004.1_188,JBEFVW010000004.1_190	3	RM__Type_I_MTases_FAM_3,RM__Type_I_REases_FAM_1.einsi_trimmed,RM__Type_I_S_52
JBEFVW010000004.1_RM_Type_II_15	RM	RM_Type_II	Defense	JBEFVW010000004.1_261	JBEFVW010000004.1_262	JBEFVW010000004.1_261,JBEFVW010000004.1_262	2	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_REase06
JBEFVW010000008.1_CapRel_5	CapRel	CapRel	Defense	JBEFVW010000008.1_174	JBEFVW010000008.1_174	JBEFVW010000008.1_174	1	CapRel__CapRel
JBEFVW010000013.1_RM_Type_III_12	RM	RM_Type_III	Defense	JBEFVW010000013.1_80	JBEFVW010000013.1_81	JBEFVW010000013.1_80,JBEFVW010000013.1_81	2	RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed
JBEFVW010000013.1_SoFic_10	SoFIC	SoFic	Defense	JBEFVW010000013.1_82	JBEFVW010000013.1_82	JBEFVW010000013.1_82	1	SoFic__SoFic
JBEFVW010000016.1_RloC_8	RloC	RloC	Defense	JBEFVW010000016.1_2	JBEFVW010000016.1_2	JBEFVW010000016.1_2	1	RloC__RloC
JBEFVW010000020.1_PD-T7-5_1	PD-T7-5	PD-T7-5	Defense	JBEFVW010000020.1_1	JBEFVW010000020.1_1	JBEFVW010000020.1_1	1	PD-T7-5__PD-T7-5
JBEFVW010000024.1_Wadjet_I_4	Wadjet	Wadjet_I	Defense	JBEFVW010000024.1_9	JBEFVW010000024.1_12	JBEFVW010000024.1_9,JBEFVW010000024.1_11,JBEFVW010000024.1_12	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
JBEFVW010000024.1_DS-32_2	DS-32	DS-32	Defense	JBEFVW010000024.1_40	JBEFVW010000024.1_41	JBEFVW010000024.1_40,JBEFVW010000024.1_41	2	DS-32__DS-32A,DS-32__DS-32B
JBEFVW010000027.1_SoFic_11	SoFIC	SoFic	Defense	JBEFVW010000027.1_10	JBEFVW010000027.1_10	JBEFVW010000027.1_10	1	SoFic__SoFic
JBEFVW010000030.1_Zorya_TypeIII_9	Zorya	Zorya_TypeIII	Defense	JBEFVW010000030.1_16	JBEFVW010000030.1_19	JBEFVW010000030.1_16,JBEFVW010000030.1_17,JBEFVW010000030.1_19	3	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorB
JBEFVW010000034.1_Mokosh_TypeII_7	Mokosh	Mokosh_TypeII	Defense	JBEFVW010000034.1_5	JBEFVW010000034.1_5	JBEFVW010000034.1_5	1	Mokosh_TypeII__MkoC
JBEFVW010000034.1_Gabija_6	Gabija	Gabija	Defense	JBEFVW010000034.1_6	JBEFVW010000034.1_7	JBEFVW010000034.1_6,JBEFVW010000034.1_7	2	Gabija__GajA,Gabija__GajB_1
