seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAYIWQ010000131.1	901	No terminal repeats	1	11	1.0000	NA	1	1.7183	T_virB6	NA
JAYIWQ010000080.1	6975	No terminal repeats	8	11	1.0000	NA	0	5.4218	NA	NA
JAYIWQ010000091.1	3179	No terminal repeats	4	11	0.9999	NA	1	3.4366	T_virB6	NA
JAYIWQ010000088.1	3528	No terminal repeats	5	11	0.9999	NA	0	1.7183	NA	NA
JAYIWQ010000042.1	38839	DTR	49	11	0.9999	NA	10	15.0803	T_virB2;T_virB3;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10	NA
JAYIWQ010000146.1	718	No terminal repeats	1	11	0.9999	NA	1	1.7183	T_virB6	NA
JAYIWQ010000060.1	16202	No terminal repeats	12	11	0.9999	NA	0	2.2605	NA	NA
JAYIWQ010000034.1	60376	No terminal repeats	63	11	0.9999	NA	1	15.9379	MOBQ	NF000496
JAYIWQ010000087.1	3642	No terminal repeats	5	11	0.9996	NA	0	1.1242	NA	NA
JAYIWQ010000052.1	28138	No terminal repeats	23	11	0.9994	NA	1	7.7567	NA	NA
JAYIWQ010000089.1	3413	No terminal repeats	3	11	0.9990	NA	0	1.6693	NA	NA
JAYIWQ010000049.1	30858	No terminal repeats	29	11	0.9989	NA	0	2.2996	NA	NA
JAYIWQ010000061.1	15181	No terminal repeats	12	11	0.9981	NA	0	1.2466	NA	NA
JAYIWQ010000092.1	2523	No terminal repeats	3	11	0.9975	NA	2	2.6906	T_virB6;virb4	NA
JAYIWQ010000065.1	13145	No terminal repeats	11	11	0.9967	NA	0	1.6371	NA	NA
JAYIWQ010000046.1	33303	No terminal repeats	29	11	0.9708	NA	0	3.0122	NA	NA
JAYIWQ010000075.1	7280	No terminal repeats	11	11	0.9510	NA	0	1.1627	NA	NA
JAYIWQ010000085.1	5407	No terminal repeats	3	11	0.9004	NA	0	1.3652	NA	NA
JAYIWQ010000177.1	586	No terminal repeats	1	11	0.8926	NA	1	0.9724	virb4	NA
JAYIWQ010000069.1	10693	No terminal repeats	8	11	0.8155	NA	0	0.3312	NA	NA
JAYIWQ010000063.1	14821	No terminal repeats	12	11	0.7077	NA	0	0.5815	NA	NF033135
