hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JAYGXP010000001.1_41	JAYGXP010000001.1	41	831	BREX__brxHI	2.3e-50	169.6	0.854	0.762	23	655
JAYGXP010000001.1_41	JAYGXP010000001.1	41	831	Shango__SngC	4.8e-63	211.8	0.869	0.771	16	656
JAYGXP010000001.1_178	JAYGXP010000001.1	178	277	CBASS__AG_E1_ThiF	3.7e-35	119.4	0.582	0.516	20	162
JAYGXP010000001.1_179	JAYGXP010000001.1	179	256	Gao_Qat__QatD	4.5e-17	60.1	0.953	0.973	2	250
JAYGXP010000001.1_189	JAYGXP010000001.1	189	242	Zorya__ZorB	1.7e-11	41.8	0.562	0.558	93	227
JAYGXP010000001.1_259	JAYGXP010000001.1	259	215	DEDDh_I_II_III_IV_V_VI_1	1.9e-24	84.6	0.994	0.814	26	200
JAYGXP010000001.1_290	JAYGXP010000001.1	290	482	DEDDh_I_II_III_IV_V_VI_1	5.8e-17	60.2	0.975	0.373	6	185
JAYGXP010000001.1_308	JAYGXP010000001.1	308	1168	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.1e-10	39.1	0.635	0.406	657	1130
JAYGXP010000001.1_308	JAYGXP010000001.1	308	1168	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	7.6e-12	42.0	0.434	0.415	1	485
JAYGXP010000001.1_308	JAYGXP010000001.1	308	1168	Wadjet__JetC_I	1.2e-13	47.8	0.45	0.43	341	842
JAYGXP010000002.1_24	JAYGXP010000002.1	360	414	Dnd__DndA	2.8e-35	119.9	0.865	0.821	33	372
JAYGXP010000002.1_159	JAYGXP010000002.1	495	503	RM_Type_II__Type_II_MTases_FAM_29	2.9e-06	24.0	0.418	0.487	165	409
JAYGXP010000002.1_159	JAYGXP010000002.1	495	503	RM_Type_II__Type_II_MTases_FAM_13	3.2e-13	47.0	0.415	0.485	158	401
JAYGXP010000002.1_159	JAYGXP010000002.1	495	503	RM_Type_II__Type_II_MTases_FAM_14	2.2e-13	47.4	0.455	0.505	176	429
