replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
JAUIPF010000003.1	JAUIPF010000003.1_26	RM__Type_I_REases_FAM_0.einsi_trimmed	720	defense-finder-models/RM/RM/RM_Type_I	JAUIPF010000003.1_RM_Type_I_15	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1097	8.5e-230	763.8	0.98	0.964	10	1067		JAUIPF010000003.1_PrrC_14	RM	RM_Type_I	Defense
JAUIPF010000003.1	JAUIPF010000003.1_27	RM__Type_I_S_51	721	defense-finder-models/RM/RM/RM_Type_I	JAUIPF010000003.1_RM_Type_I_15	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	416	8.6e-70	233.4	0.836	0.99	2	413		JAUIPF010000003.1_PrrC_14	RM	RM_Type_I	Defense
JAUIPF010000003.1	JAUIPF010000003.1_29	RM__Type_I_MTases_FAM_0	723	defense-finder-models/RM/RM/RM_Type_I	JAUIPF010000003.1_RM_Type_I_15	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	503	2.8000000000000002e-167	555.6	0.992	0.99	4	501		JAUIPF010000003.1_PrrC_14	RM	RM_Type_I	Defense
JAUIPF010000009.1	JAUIPF010000009.1_62	AbiV__AbiV	1776	defense-finder-models/DefenseFinder/AbiV/AbiV	JAUIPF010000009.1_AbiV_4	1	1	1.0	1.0	1	AbiV__AbiV	mandatory	223	2.3e-11	41.9	0.647	0.587	16	146			AbiV	AbiV	Defense
JAUIPF010000010.1	JAUIPF010000010.1_6	DS-33__DS-33	1833	defense-finder-models/DefenseFinder/DS-33/DS-33	JAUIPF010000010.1_DS-33_8	1	1	1.0	1.0	1	DS-33__DS-33	mandatory	312	4.2e-91	303.2	0.935	0.939	16	308			DS-33	DS-33	Defense
JAUIPF010000018.1	JAUIPF010000018.1_52	pAgo__pAgo_S1B	2658	defense-finder-models/DefenseFinder/pAgo/pAgo_S1B	JAUIPF010000018.1_pAgo_S1B_7	1	1	1.0	1.5	1	pAgo__pAgo_S1B	mandatory	483	8.6e-196	649.1	0.994	0.99	5	482			pAgo	pAgo_S1B	Defense
JAUIPF010000018.1	JAUIPF010000018.1_53	pAgo__SIR2APAZ	2659	defense-finder-models/DefenseFinder/pAgo/pAgo_S1B	JAUIPF010000018.1_pAgo_S1B_7	1	1	1.0	1.5	1	pAgo__SIR2APAZ	accessory	623	8.5e-205	679.5	0.997	0.978	6	614			pAgo	pAgo_S1B	Defense
JAUIPF010000021.1	JAUIPF010000021.1_33	SoFic__SoFic	2889	defense-finder-models/DefenseFinder/SoFIC/SoFic	JAUIPF010000021.1_SoFic_9	1	1	1.0	1.0	1	SoFic__SoFic	mandatory	373	1.0999999999999999e-120	401.1	0.975	0.93	9	355			SoFIC	SoFic	Defense
JAUIPF010000023.1	JAUIPF010000023.1_10	Wadjet__JetC_I	3016	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	JAUIPF010000023.1_Wadjet_I_3	1	1	0.75	3.0	1	Wadjet__JetC_I	mandatory	1339	0.0	1191.3	0.994	0.82	25	1122		JAUIPF010000023.1_Wadjet_2	Wadjet	Wadjet_I	Defense
JAUIPF010000023.1	JAUIPF010000023.1_12	Wadjet__JetB_I	3018	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	JAUIPF010000023.1_Wadjet_I_3	1	1	0.75	3.0	1	Wadjet__JetB_I	mandatory	236	4.6e-67	223.8	0.839	0.975	3	232		JAUIPF010000023.1_Wadjet_2	Wadjet	Wadjet_I	Defense
