seq_name	chromosome_score	plasmid_score	virus_score
JAUIPB010000001.1	0.4844	0.4995	0.0161
JAUIPB010000002.1	0.4762	0.5003	0.0235
JAUIPB010000003.1	0.4781	0.5094	0.0125
JAUIPB010000004.1	0.4426	0.5269	0.0305
JAUIPB010000005.1	0.5297	0.4225	0.0479
JAUIPB010000006.1	0.4840	0.4940	0.0220
JAUIPB010000007.1	0.3878	0.5735	0.0387
JAUIPB010000008.1	0.3931	0.5776	0.0293
JAUIPB010000009.1	0.3674	0.6000	0.0327
JAUIPB010000010.1	0.3969	0.5680	0.0351
JAUIPB010000011.1	0.4272	0.5446	0.0282
JAUIPB010000012.1	0.3749	0.5826	0.0425
JAUIPB010000013.1	0.4182	0.5413	0.0405
JAUIPB010000014.1	0.4027	0.5469	0.0504
JAUIPB010000015.1	0.4675	0.5119	0.0206
JAUIPB010000016.1	0.4254	0.5455	0.0291
JAUIPB010000017.1	0.4870	0.4393	0.0737
JAUIPB010000018.1	0.4686	0.5166	0.0148
JAUIPB010000019.1	0.4656	0.5275	0.0069
JAUIPB010000020.1	0.5016	0.4916	0.0068
JAUIPB010000021.1	0.4531	0.5174	0.0295
JAUIPB010000022.1	0.3515	0.6206	0.0279
JAUIPB010000023.1	0.5231	0.4560	0.0209
JAUIPB010000024.1	0.4652	0.5035	0.0314
JAUIPB010000025.1	0.5442	0.4219	0.0339
JAUIPB010000026.1	0.5346	0.4547	0.0107
JAUIPB010000027.1	0.3960	0.5877	0.0164
JAUIPB010000028.1	0.3020	0.6657	0.0323
JAUIPB010000029.1	0.4522	0.5435	0.0042
JAUIPB010000030.1	0.3861	0.5823	0.0315
JAUIPB010000031.1	0.4928	0.4757	0.0315
JAUIPB010000032.1	0.5651	0.4315	0.0033
JAUIPB010000033.1	0.5568	0.4160	0.0272
JAUIPB010000034.1	0.4748	0.5067	0.0185
JAUIPB010000035.1	0.3205	0.5645	0.1150
JAUIPB010000036.1	0.5246	0.4483	0.0271
JAUIPB010000037.1	0.4390	0.5286	0.0324
JAUIPB010000038.1	0.3999	0.5753	0.0248
JAUIPB010000039.1	0.2387	0.6455	0.1159
JAUIPB010000040.1	0.4625	0.5162	0.0214
JAUIPB010000041.1	0.3659	0.5528	0.0813
JAUIPB010000042.1	0.5338	0.4194	0.0468
JAUIPB010000043.1	0.3980	0.5780	0.0241
JAUIPB010000044.1	0.3980	0.4674	0.1347
JAUIPB010000045.1	0.3998	0.5981	0.0021
JAUIPB010000046.1	0.3764	0.6177	0.0059
JAUIPB010000047.1	0.4088	0.3974	0.1937
JAUIPB010000048.1	0.3655	0.5799	0.0546
JAUIPB010000049.1	0.5799	0.4045	0.0156
JAUIPB010000050.1	0.3645	0.5637	0.0718
JAUIPB010000051.1	0.3959	0.4979	0.1063
JAUIPB010000052.1	0.5231	0.4682	0.0087
JAUIPB010000053.1	0.2970	0.5759	0.1271
JAUIPB010000054.1	0.3949	0.6014	0.0037
JAUIPB010000055.1	0.4435	0.5178	0.0386
JAUIPB010000056.1	0.6866	0.1509	0.1625
JAUIPB010000057.1	0.0840	0.8607	0.0553
JAUIPB010000058.1	0.4720	0.5244	0.0037
JAUIPB010000059.1	0.3602	0.6308	0.0091
JAUIPB010000060.1	0.1305	0.7587	0.1108
JAUIPB010000061.1	0.3903	0.2665	0.3432
JAUIPB010000062.1	0.1992	0.7199	0.0809
JAUIPB010000063.1	0.0373	0.7493	0.2135
JAUIPB010000064.1	0.3313	0.6549	0.0138
JAUIPB010000065.1	0.2779	0.7160	0.0061
JAUIPB010000066.1	0.2011	0.7456	0.0533
JAUIPB010000067.1	0.0634	0.6976	0.2390
JAUIPB010000068.1	0.2061	0.7884	0.0055
JAUIPB010000069.1	0.2443	0.7367	0.0190
JAUIPB010000070.1	0.1808	0.5468	0.2724
JAUIPB010000071.1	0.8243	0.1725	0.0032
JAUIPB010000072.1	0.2474	0.5579	0.1947
JAUIPB010000073.1	0.6775	0.1580	0.1646
JAUIPB010000074.1	0.7487	0.2133	0.0380
JAUIPB010000075.1	0.3494	0.3977	0.2529
JAUIPB010000076.1	0.1498	0.4616	0.3886
JAUIPB010000077.1	0.4918	0.4537	0.0545
JAUIPB010000078.1	0.6686	0.2725	0.0590
JAUIPB010000079.1	0.1601	0.0454	0.7945
JAUIPB010000080.1	0.1454	0.3942	0.4604
JAUIPB010000081.1	0.0751	0.0756	0.8493
JAUIPB010000082.1	0.6647	0.3241	0.0112
JAUIPB010000083.1	0.2993	0.4553	0.2455
JAUIPB010000084.1	0.2778	0.3325	0.3897
JAUIPB010000085.1	0.0730	0.7591	0.1679
JAUIPB010000086.1	0.3397	0.4553	0.2049
JAUIPB010000087.1	0.3816	0.4488	0.1696
JAUIPB010000088.1	0.5845	0.3038	0.1117
JAUIPB010000089.1	0.4625	0.3779	0.1596
JAUIPB010000090.1	0.2878	0.4107	0.3015
JAUIPB010000091.1	0.2365	0.1887	0.5748
JAUIPB010000092.1	0.1903	0.0918	0.7179
JAUIPB010000093.1	0.6059	0.1470	0.2470
JAUIPB010000094.1	0.5518	0.2354	0.2128
JAUIPB010000095.1	0.4343	0.1621	0.4035
