gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
JAYIMH010000020.1_1	220	834	615	-1	0.634	11	GGA/GAG/AGG	GENOMAD.167534.CP	1.074e-14	75	0	0	0	1	NA	NA	NA	PF16961;K07275;COG3047;TIGR04565	Outer membrane protein W
JAYIMH010000020.1_2	954	1577	624	-1	0.654	11	GGA/GAG/AGG	GENOMAD.167534.CP	1.286e-27	113	0	0	0	1	NA	NA	NA	PF16961;K07275;COG3047;TIGR04565	Outer membrane protein W
JAYIMH010000020.1_3	1796	2314	519	-1	0.638	11	GGAG/GAGG	GENOMAD.208558.PC	2.745e-05	46	0	0	0	1	NA	NA	NA	PF08332;TIGR02246;COG4875;K10533	conserved hypothetical protein
JAYIMH010000020.1_4	2845	3846	1002	1	0.624	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_5	4058	4528	471	1	0.590	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_6	4717	7425	2709	1	0.690	11	4Base/6BMM	GENOMAD.003280.CC	0.0	1243	0	0	0	1	NA	NA	NA	COG5373	NA
JAYIMH010000020.1_7	7425	8789	1365	1	0.722	11	AGGAG	GENOMAD.022838.CC	1.417e-128	418	0	0	0	1	NA	NA	NA	PF13163	NA
JAYIMH010000020.1_8	9089	10264	1176	1	0.664	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_9	10261	10908	648	1	0.673	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_10	11048	12574	1527	1	0.657	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_11	13039	14043	1005	1	0.634	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_12	14480	15019	540	-1	0.617	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_13	15527	16033	507	-1	0.692	11	GGAG/GAGG	GENOMAD.146265.CP	2.427e-08	55	0	0	0	1	NA	NA	NA	PF02544;COG2020;TIGR04571;K21310	Protein-S-isoprenylcysteine O-methyltransferase Ste14
JAYIMH010000020.1_14	16197	17156	960	-1	0.688	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_15	17173	18378	1206	-1	0.714	11	None	GENOMAD.126251.CP	8.067e-08	57	0	0	0	1	NA	NA	NA	PF06180;PF13241;COG4822;K24866;TIGR01470	Cobalamin biosynthesis protein CbiK, Co2+ chelatase
JAYIMH010000020.1_16	18542	19522	981	1	0.693	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_17	19617	19898	282	1	0.670	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_18	20041	20187	147	-1	0.605	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_19	20406	21602	1197	-1	0.674	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_20	21642	22217	576	1	0.719	11	3Base/5BMM	GENOMAD.063471.PP	3.986e-06	49	0	0	0	1	NA	NA	NA	PF11162	NA
JAYIMH010000020.1_21	22400	24427	2028	1	0.671	11	GGA/GAG/AGG	GENOMAD.127342.CP	2.34e-23	109	0	0	0	1	NA	NA	NA	PF11854;PF07715;TIGR01776;COG4773;K16090	TonB-dependent lactoferrin and transferrin receptors
JAYIMH010000020.1_22	24427	25989	1563	1	0.683	11	GGAG/GAGG	GENOMAD.154339.CP	9.767e-71	252	0	0	0	1	NA	NA	NA	PF03929;COG3182;K03863	PepSY-associated TM region
JAYIMH010000020.1_23	26020	26745	726	-1	0.660	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_24	26742	28448	1707	-1	0.663	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_25	28557	30404	1848	-1	0.692	11	GGA/GAG/AGG	GENOMAD.137367.CP	7.503e-15	81	0	0	0	1	NA	NA	NA	PF00175;PF08021;K02641;TIGR03224;COG0543	benzoyl-CoA oxygenase/reductase, BoxA protein
JAYIMH010000020.1_26	30585	31493	909	1	0.660	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIMH010000020.1_27	31493	33469	1977	1	0.659	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
