replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
CP168195.1	CP168195.1_27	AbiD__AbiD	27	defense-finder-models/DefenseFinder/AbiD/AbiD	CP168195.1_AbiD_1	1	1	1.0	1.0	1	AbiD__AbiD	mandatory	404	1.6000000000000001e-87	292.0	0.916	0.782	81	396			AbiD	AbiD	Defense
CP168195.1	CP168195.1_602	BREX__brxF	602	defense-finder-models/DefenseFinder/BREX/BREX_III	CP168195.1_BREX_III_4	1	1	0.4	4.0	1	BREX__brxF	mandatory	174	7.799999999999999e-55	183.2	0.837	0.879	17	169		CP168195.1_BREX_3	BREX	BREX_III	Defense
CP168195.1	CP168195.1_605	RM_Type_II__Type_II_REase06	605	defense-finder-models/RM/RM/RM_Type_II	CP168195.1_RM_Type_II_14	1	1	1.0	2.0	1	RM_Type_II__Type_II_REase01	mandatory	626	1e-09	36.6	0.846	0.796	23	520			RM	RM_Type_II	Defense
CP168195.1	CP168195.1_606	RM_Type_II__Type_II_MTases_FAM_27	606	defense-finder-models/RM/RM/RM_Type_II	CP168195.1_RM_Type_II_14	1	1	1.0	2.0	1	RM_Type_II__Type_II_MTases_FAM_0	mandatory	924	2.1e-177	590.2	0.949	0.947	46	920			RM	RM_Type_II	Defense
CP168195.1	CP168195.1_606	BREX__pglXI	606	defense-finder-models/DefenseFinder/BREX/BREX_III	CP168195.1_BREX_III_4	1	1	0.4	4.0	1	BREX__pglXI	mandatory	924	0.0	1719.5	0.997	0.998	1	922		CP168195.1_BREX_3	BREX	BREX_III	Defense
CP168195.1	CP168195.1_607	BREX__brxHII	607	defense-finder-models/DefenseFinder/BREX/BREX_III	CP168195.1_BREX_III_4	1	1	0.4	4.0	1	BREX__brxHII	mandatory	945	0.0	1382.1	0.997	0.978	10	933		CP168195.1_BREX_3	BREX	BREX_III	Defense
CP168195.1	CP168195.1_608	BREX__pglZ3	608	defense-finder-models/DefenseFinder/BREX/BREX_III	CP168195.1_BREX_III_4	1	1	0.4	4.0	1	BREX__pglZB	mandatory	683	8.8e-235	778.9	0.995	0.985	6	678		CP168195.1_BREX_3	BREX	BREX_III	Defense
CP168195.1	CP168195.1_631	Zorya_III__ZorF3	631	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	CP168195.1_Zorya_TypeIII_11	1	1	1.0	4.0	1	Zorya_III__ZorF3	mandatory	219	6.9e-79	263.3	0.827	0.986	1	216			Zorya	Zorya_TypeIII	Defense
CP168195.1	CP168195.1_632	Zorya__ZorB	632	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	CP168195.1_Zorya_TypeIII_11	1	1	1.0	4.0	1	Zorya__ZorB	mandatory	224	1.7e-15	55.1	0.838	0.906	6	208			Zorya	Zorya_TypeIII	Defense
CP168195.1	CP168195.1_633	Zorya__ZorA	633	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	CP168195.1_Zorya_TypeIII_11	1	1	1.0	4.0	1	Zorya__ZorA2	mandatory	897	9.7e-06	22.6	0.559	0.438	120	512			Zorya	Zorya_TypeIII	Defense
