hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JBEGGK010000001.1_87	JBEGGK010000001.1	87	180	DarTG__DarG	6.999999999999999e-66	220.3	0.744	0.978	1	176
JBEGGK010000001.1_134	JBEGGK010000001.1	134	1088	Mokosh_type_I__MkoA_D	3.7000000000000003e-72	242.2	0.67	0.786	213	1067
JBEGGK010000001.1_147	JBEGGK010000001.1	147	309	AbiEii__AbiEii	1.3000000000000002e-42	144.4	0.967	0.851	10	272
JBEGGK010000001.1_148	JBEGGK010000001.1	148	253	AbiEii__AbiEi_4	1.8e-07	29.2	0.673	0.13	26	58
JBEGGK010000001.1_148	JBEGGK010000001.1	148	253	AbiEii__AbiEi_3	5.9e-34	115.0	0.918	0.569	101	244
JBEGGK010000002.1_44	JBEGGK010000002.1	199	245	DEDDh_I_II_III_IV_V_VI_1	2e-35	120.3	0.994	0.665	4	166
JBEGGK010000002.1_51	JBEGGK010000002.1	206	824	Dodola__DolB	4.4e-10	37.1	0.411	0.203	310	476
JBEGGK010000002.1_91	JBEGGK010000002.1	246	408	Zorya__ZorB	2.8e-05	21.5	0.449	0.267	296	404
JBEGGK010000003.1_140	JBEGGK010000003.1	450	237	RM_Type_II__Type_II_MTases_FAM_18	6.6e-05	20.1	0.466	0.523	2	125
JBEGGK010000003.1_140	JBEGGK010000003.1	450	237	RM_Type_II__Type_II_MTases_FAM_17	2.4e-06	25.2	0.819	0.768	13	194
JBEGGK010000003.1_140	JBEGGK010000003.1	450	237	RM_Type_II__Type_II_MTases_FAM_3	6.7e-38	128.6	0.903	0.987	2	235
JBEGGK010000003.1_140	JBEGGK010000003.1	450	237	RM_Type_II__Type_II_MTases_FAM_1	5.4e-40	135.6	0.883	0.987	2	235
JBEGGK010000004.1_6	JBEGGK010000004.1	466	121	Dpd__QueD	1.0000000000000001e-57	191.6	0.967	0.959	5	120
