replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
JBEGEZ010000105.1	JBEGEZ010000105.1_1	Mokosh_TypeII__MkoC	317	defense-finder-models/DefenseFinder/Mokosh/Mokosh_TypeII	JBEGEZ010000105.1_Mokosh_TypeII_13	1	1	1.0	1.0	1	Mokosh_TypeII__MkoC	mandatory	1172	0.0	1454.3	0.998	0.996	1	1167			Mokosh	Mokosh_TypeII	Defense
JBEGEZ010000116.1	JBEGEZ010000116.1_1	Gabija__GajB_1	478	defense-finder-models/DefenseFinder/Gabija/Gabija	JBEGEZ010000116.1_Gabija_8	1	1	1.0	2.0	1	Gabija__GajB_1	mandatory	622	4.1e-108	360.2	0.977	0.976	13	619			Gabija	Gabija	Defense
JBEGEZ010000116.1	JBEGEZ010000116.1_2	Gabija__GajA	479	defense-finder-models/DefenseFinder/Gabija/Gabija	JBEGEZ010000116.1_Gabija_8	1	1	1.0	2.0	1	Gabija__GajA	mandatory	763	1.1000000000000001e-125	418.8	0.997	0.976	1	745			Gabija	Gabija	Defense
JBEGEZ010000117.1	JBEGEZ010000117.1_2	RM_Type_IIG__Type_IIG_FAM_2.einsi_trimmed	483	defense-finder-models/RM/RM/RM_Type_IIG	JBEGEZ010000117.1_RM_Type_IIG_19	1	1	0.167	1.0	1	RM_Type_IIG__Type_IIG_FAM_2.einsi_trimmed	mandatory	1523	4.3999999999999995e-268	890.8	0.814	0.915	7	1400			RM	RM_Type_IIG	Defense
JBEGEZ010000013.1	JBEGEZ010000013.1_71	RloC__RloC	723	defense-finder-models/DefenseFinder/RloC/RloC	JBEGEZ010000013.1_RloC_12	1	1	1.0	1.0	1	RloC__RloC	mandatory	869	4.3999999999999995e-112	374.0	0.99	0.901	80	862			RloC	RloC	Defense
JBEGEZ010000145.1	JBEGEZ010000145.1_1	HEC-09__HEC-09	868	defense-finder-models/DefenseFinder/HEC-09/HEC-09	JBEGEZ010000145.1_HEC-09_10	1	1	1.0	1.0	1	HEC-09__HEC-09	mandatory	228	2.8000000000000002e-33	113.1	0.761	0.961	5	223			HEC-09	HEC-09	Defense
JBEGEZ010000025.1	JBEGEZ010000025.1_28	HEC-09__HEC-09	1648	defense-finder-models/DefenseFinder/HEC-09/HEC-09	JBEGEZ010000025.1_HEC-09_9	1	1	1.0	1.0	1	HEC-09__HEC-09	mandatory	319	7.900000000000001e-32	108.3	0.825	0.777	5	252			HEC-09	HEC-09	Defense
JBEGEZ010000029.1	JBEGEZ010000029.1_2	RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed	1839	defense-finder-models/RM/RM/RM_Type_III	JBEGEZ010000029.1_RM_Type_III_17	1	1	1.0	2.0	1	RM_Type_III__Type_III_REases_FAM_0.einsi_trimmed	mandatory	884	3.2000000000000002e-111	370.9	0.931	0.938	51	879			RM	RM_Type_III	Defense
JBEGEZ010000029.1	JBEGEZ010000029.1_3	RM_Type_III__Type_III_MTases_FAM_0	1840	defense-finder-models/RM/RM/RM_Type_III	JBEGEZ010000029.1_RM_Type_III_17	1	1	1.0	2.0	1	RM_Type_III__Type_III_MTases_FAM_0	mandatory	521	2.2000000000000003e-111	371.8	0.693	0.777	2	406			RM	RM_Type_III	Defense
JBEGEZ010000034.1	JBEGEZ010000034.1_17	Wadjet__JetA_I	2178	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	JBEGEZ010000034.1_Wadjet_I_3	1	1	1.0	4.0	1	Wadjet__JetA_I	mandatory	509	1.6e-77	259.5	0.974	0.935	21	496		JBEGEZ010000034.1_Wadjet_2	Wadjet	Wadjet_I	Defense
JBEGEZ010000034.1	JBEGEZ010000034.1_18	Wadjet__JetB_I	2179	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	JBEGEZ010000034.1_Wadjet_I_3	1	1	1.0	4.0	1	Wadjet__JetB_I	mandatory	235	1e-37	127.7	0.793	0.83	30	224		JBEGEZ010000034.1_Wadjet_2	Wadjet	Wadjet_I	Defense
JBEGEZ010000034.1	JBEGEZ010000034.1_19	Wadjet__JetC_I	2180	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	JBEGEZ010000034.1_Wadjet_I_3	1	1	1.0	4.0	1	Wadjet__JetC_I	mandatory	1104	3.3e-218	725.2	0.988	0.979	13	1093		JBEGEZ010000034.1_Wadjet_2	Wadjet	Wadjet_I	Defense
JBEGEZ010000034.1	JBEGEZ010000034.1_20	Wadjet__JetD_I	2181	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	JBEGEZ010000034.1_Wadjet_I_3	1	1	1.0	4.0	1	Wadjet__JetD_I	mandatory	384	2.1e-63	212.8	0.964	0.984	1	378		JBEGEZ010000034.1_Wadjet_2	Wadjet	Wadjet_I	Defense
JBEGEZ010000037.1	JBEGEZ010000037.1_34	Retron_XI__RT_11	2336	defense-finder-models/DefenseFinder/Retron/Retron_XI	JBEGEZ010000037.1_Retron_XI_1	1	1	1.0	1.0	1	Retron_XI__RT_11	mandatory	541	4.6e-152	505.4	0.982	0.98	4	533			Retron	Retron_XI	Defense
JBEGEZ010000038.1	JBEGEZ010000038.1_33	AbiD__AbiD	2369	defense-finder-models/DefenseFinder/AbiD/AbiD	JBEGEZ010000038.1_AbiD_7	1	1	1.0	1.0	1	AbiD__AbiD	mandatory	307	1.2000000000000001e-74	249.6	0.929	0.987	1	303			AbiD	AbiD	Defense
JBEGEZ010000004.1	JBEGEZ010000004.1_52	PD-Lambda-1__PD-Lambda-1	2454	defense-finder-models/DefenseFinder/PD-Lambda-1/PD-Lambda-1	JBEGEZ010000004.1_PD-Lambda-1_6	1	1	1.0	1.0	1	PD-Lambda-1__PD-Lambda-1	mandatory	436	2.5e-121	403.8	0.803	0.878	47	429			PD-Lambda-1	PD-Lambda-1	Defense
JBEGEZ010000005.1	JBEGEZ010000005.1_65	SoFic__SoFic	2930	defense-finder-models/DefenseFinder/SoFIC/SoFic	JBEGEZ010000005.1_SoFic_14	1	1	1.0	1.0	1	SoFic__SoFic	mandatory	385	1.3e-121	404.1	0.981	0.909	18	367			SoFIC	SoFic	Defense
JBEGEZ010000052.1	JBEGEZ010000052.1_17	Wadjet__JetA_I	3059	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	JBEGEZ010000052.1_Wadjet_I_5	1	1	1.0	4.0	1	Wadjet__JetA_I	mandatory	490	1.2e-149	497.4	0.994	0.992	2	487		JBEGEZ010000052.1_Wadjet_4	Wadjet	Wadjet_I	Defense
