replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
CP168119.1	CP168119.1_59	CBASS__Cyclase_new	59	defense-finder-models/DefenseFinder/CBASS/CBASS_I	CP168119.1_CBASS_I_4	1	1	1.0	2.0	1	CBASS__Cyclase_SMODS	mandatory	372	1e-123	410.8	0.989	0.984	3	368		CP168119.1_CBASS_3	CBASS	CBASS_I	Defense
CP168119.1	CP168119.1_60	CBASS__Effector_2TM_S_2TMBeta	60	defense-finder-models/DefenseFinder/CBASS/CBASS_I	CP168119.1_CBASS_I_4	1	1	1.0	2.0	1	CBASS__Effector_2TM_S_2TMBeta	mandatory	210	8.899999999999999e-49	163.5	0.939	0.795	38	204		CP168119.1_CBASS_3	CBASS	CBASS_I	Defense
CP168119.1	CP168119.1_250	cas6f_I_II_III_IV_V_VI_3	250	CasFinder/CAS_Class1-Subtype-I-F	CP168119.1_CAS_Class1-Subtype-I-F_19	1	1	1.0	6.0	1	cas6f_I_II_III_IV_V_VI_3	accessory	189	4.3999999999999995e-62	207.5	1.0	0.979	4	188		CP168119.1_CAS_Class1-Type-I_20,CP168119.1_CAS_Cluster_21	Cas	CAS_Class1-Subtype-I-F	Defense
CP168119.1	CP168119.1_251	cas7f_I-F_2	251	CasFinder/CAS_Class1-Subtype-I-F	CP168119.1_CAS_Class1-Subtype-I-F_19	1	1	1.0	6.0	1	cas7f_I-F_3	mandatory	346	1.8e-140	465.9	0.997	0.971	7	342		CP168119.1_CAS_Class1-Type-I_20,CP168119.1_CAS_Cluster_21	Cas	CAS_Class1-Subtype-I-F	Defense
CP168119.1	CP168119.1_252	cas5f_I-F_4	252	CasFinder/CAS_Class1-Subtype-I-F	CP168119.1_CAS_Class1-Subtype-I-F_19	1	1	1.0	6.0	1	cas5f_I-F_4	mandatory	336	3.5e-109	362.6	1.0	0.905	11	314		CP168119.1_CAS_Class1-Type-I_20,CP168119.1_CAS_Cluster_21	Cas	CAS_Class1-Subtype-I-F	Defense
CP168119.1	CP168119.1_253	cas8f_I-F_8	253	CasFinder/CAS_Class1-Subtype-I-F	CP168119.1_CAS_Class1-Subtype-I-F_19	1	1	1.0	6.0	1	cas8f_I-F_8	mandatory	455	5.7e-132	438.2	1.0	0.857	42	431		CP168119.1_CAS_Class1-Type-I_20,CP168119.1_CAS_Cluster_21	Cas	CAS_Class1-Subtype-I-F	Defense
CP168119.1	CP168119.1_254	cas3f_I-F_1	254	CasFinder/CAS_Class1-Subtype-I-F	CP168119.1_CAS_Class1-Subtype-I-F_19	1	1	1.0	6.0	1	cas3f_I-F_1	mandatory	1123	0.0	1238.9	0.999	0.996	1	1118		CP168119.1_CAS_Class1-Type-I_20,CP168119.1_CAS_Cluster_21	Cas	CAS_Class1-Subtype-I-F	Defense
CP168119.1	CP168119.1_255	cas1_I-F_1	255	CasFinder/CAS_Class1-Subtype-I-F	CP168119.1_CAS_Class1-Subtype-I-F_19	1	1	1.0	6.0	1	cas1_I-F_1	mandatory	330	8.1e-155	512.6	0.997	0.924	12	316		CP168119.1_CAS_Class1-Type-I_20,CP168119.1_CAS_Cluster_21	Cas	CAS_Class1-Subtype-I-F	Defense
CP168119.1	CP168119.1_581	AbiU__AbiU	581	defense-finder-models/DefenseFinder/AbiU/AbiU	CP168119.1_AbiU_1	1	1	1.0	1.0	1	AbiU__AbiU	mandatory	579	2.9e-48	162.7	0.85	0.829	20	499			AbiU	AbiU	Defense
CP168119.1	CP168119.1_1312	RM_Type_IV__FAM_1	1312	defense-finder-models/RM/RM/RM_Type_IV	CP168119.1_RM_Type_IV_17	1	1	0.333	2.0	1	RM_Type_IV__FAM_1	mandatory	843	8.2e-84	280.6	0.492	0.563	311	785			RM	RM_Type_IV	Defense
