sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JBEGEK010000107.1_Gabija_5	Gabija	Gabija	Defense	JBEGEK010000107.1_9	JBEGEK010000107.1_10	JBEGEK010000107.1_9,JBEGEK010000107.1_10	2	Gabija__GajA,Gabija__GajB_3
JBEGEK010000030.1_Zorya_TypeIII_1	Zorya	Zorya_TypeIII	Defense	JBEGEK010000030.1_22	JBEGEK010000030.1_25	JBEGEK010000030.1_22,JBEGEK010000030.1_24,JBEGEK010000030.1_25	3	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorB
JBEGEK010000037.1_RM_Type_I_13	RM	RM_Type_I	Defense	JBEGEK010000037.1_5	JBEGEK010000037.1_9	JBEGEK010000037.1_5,JBEGEK010000037.1_6,JBEGEK010000037.1_9	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JBEGEK010000038.1_AbiJ_6	AbiJ	AbiJ	Defense	JBEGEK010000038.1_13	JBEGEK010000038.1_13	JBEGEK010000038.1_13	1	AbiJ__AbiJ
JBEGEK010000004.1_RM_Type_III_16	RM	RM_Type_III	Defense	JBEGEK010000004.1_89	JBEGEK010000004.1_90	JBEGEK010000004.1_89,JBEGEK010000004.1_90	2	RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed
JBEGEK010000056.1_Shango_4	Shango	Shango	Defense	JBEGEK010000056.1_17	JBEGEK010000056.1_19	JBEGEK010000056.1_17,JBEGEK010000056.1_18,JBEGEK010000056.1_19	3	Shango__SngA,Shango__SngB,Shango__SngC
JBEGEK010000057.1_Wadjet_I_3	Wadjet	Wadjet_I	Defense	JBEGEK010000057.1_23	JBEGEK010000057.1_26	JBEGEK010000057.1_23,JBEGEK010000057.1_24,JBEGEK010000057.1_25,JBEGEK010000057.1_26	4	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I
JBEGEK010000058.1_RloC_9	RloC	RloC	Defense	JBEGEK010000058.1_1	JBEGEK010000058.1_1	JBEGEK010000058.1_1	1	RloC__RloC
JBEGEK010000058.1_DS-10_8	DS-10	DS-10	Defense	JBEGEK010000058.1_2	JBEGEK010000058.1_2	JBEGEK010000058.1_2	1	DS-10__DS-10
JBEGEK010000058.1_SoFic_10	SoFIC	SoFic	Defense	JBEGEK010000058.1_15	JBEGEK010000058.1_15	JBEGEK010000058.1_15	1	SoFic__SoFic
JBEGEK010000007.1_SoFic_11	SoFIC	SoFic	Defense	JBEGEK010000007.1_37	JBEGEK010000007.1_37	JBEGEK010000007.1_37	1	SoFic__SoFic
JBEGEK010000085.1_RM_Type_I_15	RM	RM_Type_I	Defense	JBEGEK010000085.1_17	JBEGEK010000085.1_18	JBEGEK010000085.1_17,JBEGEK010000085.1_18	2	RM__Type_I_MTases_FAM_2,RM__Type_I_S_52
JBEGEK010000087.1_HEC-09_7	HEC-09	HEC-09	Defense	JBEGEK010000087.1_5	JBEGEK010000087.1_5	JBEGEK010000087.1_5	1	HEC-09__HEC-09
