seq_name	chromosome_score	plasmid_score	virus_score
JAUIPF010000001.1	0.9999	0.0001	0.0000
JAUIPF010000002.1	0.9997	0.0003	0.0000
JAUIPF010000003.1	0.9999	0.0001	0.0000
JAUIPF010000004.1	0.9996	0.0004	0.0000
JAUIPF010000005.1	1.0000	0.0000	0.0000
JAUIPF010000006.1	0.9999	0.0001	0.0000
JAUIPF010000007.1	1.0000	0.0000	0.0000
JAUIPF010000008.1	1.0000	0.0000	0.0000
JAUIPF010000009.1	0.9971	0.0029	0.0000
JAUIPF010000010.1	0.9911	0.0089	0.0000
JAUIPF010000011.1	0.9996	0.0004	0.0000
JAUIPF010000012.1	0.9999	0.0001	0.0000
JAUIPF010000013.1	1.0000	0.0000	0.0000
JAUIPF010000014.1	1.0000	0.0000	0.0000
JAUIPF010000015.1	1.0000	0.0000	0.0000
JAUIPF010000016.1	1.0000	0.0000	0.0000
JAUIPF010000017.1	0.9999	0.0001	0.0000
JAUIPF010000018.1	0.0072	0.9928	0.0000
JAUIPF010000019.1	0.9997	0.0003	0.0000
JAUIPF010000020.1	1.0000	0.0000	0.0000
JAUIPF010000021.1	0.9999	0.0001	0.0000
JAUIPF010000022.1	0.9537	0.0463	0.0000
JAUIPF010000023.1	0.8888	0.1111	0.0000
JAUIPF010000024.1	0.9997	0.0003	0.0000
JAUIPF010000025.1	1.0000	0.0000	0.0000
JAUIPF010000026.1	1.0000	0.0000	0.0000
JAUIPF010000027.1	1.0000	0.0000	0.0000
JAUIPF010000028.1	0.9993	0.0007	0.0000
JAUIPF010000029.1	1.0000	0.0000	0.0000
JAUIPF010000030.1	0.9999	0.0001	0.0000
JAUIPF010000031.1	0.9984	0.0016	0.0000
JAUIPF010000032.1	1.0000	0.0000	0.0000
JAUIPF010000033.1	0.7813	0.2187	0.0000
JAUIPF010000034.1	0.9996	0.0004	0.0000
JAUIPF010000035.1	0.9990	0.0010	0.0000
JAUIPF010000036.1	0.8578	0.0220	0.1202
JAUIPF010000037.1	0.9998	0.0002	0.0000
JAUIPF010000038.1	0.0004	0.9996	0.0000
JAUIPF010000039.1	0.9999	0.0001	0.0000
JAUIPF010000040.1	0.1604	0.8395	0.0000
JAUIPF010000041.1	0.3706	0.6294	0.0000
JAUIPF010000042.1	1.0000	0.0000	0.0000
JAUIPF010000043.1	0.9999	0.0001	0.0000
JAUIPF010000044.1	0.9743	0.0256	0.0000
JAUIPF010000045.1	0.9915	0.0085	0.0000
JAUIPF010000046.1	1.0000	0.0000	0.0000
JAUIPF010000047.1	0.1976	0.8024	0.0000
JAUIPF010000048.1	1.0000	0.0000	0.0000
JAUIPF010000049.1	0.9999	0.0001	0.0000
JAUIPF010000050.1	0.9039	0.0961	0.0000
JAUIPF010000051.1	0.8684	0.1316	0.0000
JAUIPF010000052.1	0.9998	0.0000	0.0002
JAUIPF010000053.1	0.0026	0.9973	0.0000
JAUIPF010000054.1	0.9994	0.0006	0.0000
JAUIPF010000055.1	0.7978	0.2022	0.0000
JAUIPF010000056.1	0.1909	0.8091	0.0000
JAUIPF010000057.1	0.9848	0.0152	0.0000
JAUIPF010000058.1	0.9998	0.0002	0.0000
JAUIPF010000059.1	0.6023	0.1542	0.2436
JAUIPF010000060.1	0.6358	0.3622	0.0020
JAUIPF010000061.1	0.8802	0.1198	0.0000
JAUIPF010000062.1	0.0059	0.9940	0.0001
JAUIPF010000063.1	0.7619	0.1103	0.1278
JAUIPF010000064.1	0.2560	0.7411	0.0029
JAUIPF010000065.1	0.1931	0.1899	0.6170
JAUIPF010000066.1	0.9977	0.0023	0.0001
JAUIPF010000067.1	0.0243	0.0072	0.9685
JAUIPF010000068.1	0.0002	0.9998	0.0000
JAUIPF010000069.1	0.2087	0.7913	0.0001
JAUIPF010000070.1	0.9806	0.0193	0.0001
JAUIPF010000071.1	0.8228	0.1769	0.0002
JAUIPF010000072.1	0.0003	0.9996	0.0000
JAUIPF010000073.1	0.0811	0.9188	0.0001
JAUIPF010000074.1	0.6703	0.1648	0.1649
JAUIPF010000075.1	0.7790	0.0913	0.1297
JAUIPF010000076.1	0.9898	0.0093	0.0010
JAUIPF010000077.1	0.4520	0.2406	0.3074
JAUIPF010000078.1	0.6478	0.3508	0.0014
JAUIPF010000079.1	0.8368	0.1100	0.0532
JAUIPF010000080.1	0.9051	0.0533	0.0416
JAUIPF010000081.1	0.4520	0.2406	0.3074
JAUIPF010000082.1	0.7094	0.0335	0.2571
JAUIPF010000083.1	0.8323	0.1628	0.0049
JAUIPF010000084.1	0.0301	0.9401	0.0298
JAUIPF010000085.1	0.7790	0.0913	0.1297
JAUIPF010000086.1	0.4620	0.2214	0.3166
JAUIPF010000087.1	0.6340	0.1384	0.2275
JAUIPF010000088.1	0.9085	0.0522	0.0393
JAUIPF010000089.1	0.7400	0.2589	0.0011
JAUIPF010000090.1	0.4521	0.2406	0.3073
JAUIPF010000091.1	0.6364	0.0281	0.3354
JAUIPF010000092.1	0.6650	0.0294	0.3056
JAUIPF010000093.1	0.5347	0.1697	0.2956
JAUIPF010000094.1	0.6650	0.0294	0.3056
JAUIPF010000095.1	0.7032	0.0374	0.2594
JAUIPF010000096.1	0.5728	0.0286	0.3985
