seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
JAUIPW010000001.1	353	34	0	1	11	0.2273	0.8635	0.2748	0.0000	0.7252	0.0000	0.0992	0.2691	0.0623	0.0567	0.0000	0.0028	0.0198	0.0000	0.0142	0.4306	0.0595	0.0340	0.8359	0.4807	0.0000	0.0000	0.0000	0.0000	0.0000	97.9916	-174.5764	-408.2041
JAUIPW010000002.1	195	0	0	0	11	0.3402	0.8471	0.3692	0.0000	0.6308	0.0000	0.0359	0.3179	0.0154	0.0410	0.0000	0.0000	0.0051	0.0000	0.0000	0.3692	0.0410	0.0051	0.7569	0.6518	0.0000	0.0000	0.0000	0.0000	0.0000	22.8936	-31.5799	-224.7876
JAUIPW010000003.1	194	2	0	0	11	0.3575	0.8483	0.3041	0.0000	0.6959	0.0000	0.0928	0.3041	0.0206	0.0464	0.0000	0.0000	0.0155	0.0000	0.0206	0.4175	0.0464	0.0361	0.8047	0.5547	0.0000	0.0000	0.0000	0.0000	0.0206	44.1572	-74.6161	-228.5030
JAUIPW010000004.1	164	1	0	0	11	0.3129	0.8358	0.2500	0.0000	0.7500	0.0000	0.0427	0.2805	0.0183	0.0488	0.0000	0.0000	0.0183	0.0000	0.0244	0.3415	0.0488	0.0427	0.7793	0.5938	0.0000	0.0000	0.0000	0.0000	0.0000	19.1750	-49.8869	-165.1267
JAUIPW010000005.1	111	4	0	0	11	0.2455	0.8798	0.3063	0.0000	0.6937	0.0000	0.0360	0.2793	0.0541	0.0450	0.0000	0.0000	0.0090	0.0000	0.0000	0.3694	0.0450	0.0090	0.7691	0.6328	0.0000	0.0000	0.0000	0.0000	0.0000	17.9453	-31.3038	-120.8053
JAUIPW010000006.1	123	0	0	0	11	0.2541	0.8711	0.2927	0.0000	0.7073	0.0000	0.0813	0.2846	0.0163	0.0488	0.0000	0.0000	0.0163	0.0000	0.0081	0.3821	0.0488	0.0244	0.7816	0.6067	0.0000	0.0000	0.0000	0.0000	0.0000	22.3872	-36.9307	-139.8303
JAUIPW010000007.1	118	1	0	1	11	0.3248	0.8578	0.2542	0.0000	0.7458	0.0000	0.0508	0.2712	0.0339	0.0169	0.0085	0.0000	0.0000	0.0000	0.0339	0.3559	0.0254	0.0339	0.7747	0.5944	0.0000	0.0000	0.0000	0.0000	0.0000	11.8877	-32.5658	-112.5848
JAUIPW010000008.1	127	1	0	0	11	0.2778	0.8510	0.2677	0.0000	0.7323	0.0000	0.0630	0.3622	0.0551	0.0394	0.0000	0.0000	0.0079	0.0000	0.0079	0.4803	0.0394	0.0157	0.7939	0.5977	0.0000	0.0000	0.0000	0.0000	0.0000	30.4014	-50.3017	-171.3155
JAUIPW010000009.1	141	0	1	0	11	0.3857	0.8313	0.2057	0.0000	0.7943	0.0000	0.0284	0.2057	0.0142	0.1135	0.0000	0.0000	0.0213	0.0000	0.0213	0.2482	0.1135	0.0426	0.7433	0.6534	0.0000	0.0000	0.0000	0.0456	0.0071	-3.5764	-19.6394	-134.4489
JAUIPW010000010.1	130	1	1	1	11	0.3178	0.8720	0.3231	0.0000	0.6769	0.0000	0.1000	0.2538	0.0154	0.0538	0.0000	0.0000	0.0231	0.0000	0.0308	0.3692	0.0538	0.0538	0.7936	0.4979	0.0000	0.0000	0.0000	0.0000	0.0077	23.0981	-50.9954	-134.1629
JAUIPW010000011.1	127	2	0	0	11	0.2619	0.8791	0.2756	0.0000	0.7244	0.0000	0.0630	0.3386	0.0236	0.0394	0.0000	0.0000	0.0000	0.0000	0.0000	0.4252	0.0394	0.0000	0.7958	0.6056	0.0000	0.0000	0.0000	0.0000	0.0000	30.3550	-35.9372	-160.3604
JAUIPW010000012.1	101	0	0	0	11	0.3500	0.8827	0.3168	0.0000	0.6832	0.0000	0.0099	0.3861	0.0396	0.0693	0.0000	0.0000	0.0000	0.0099	0.0297	0.4356	0.0693	0.0396	0.7669	0.6278	0.0000	0.0000	0.0000	0.0011	0.0099	4.6752	-24.4950	-137.3815
JAUIPW010000013.1	100	1	0	0	11	0.2020	0.8750	0.3200	0.0000	0.6800	0.0000	0.0400	0.3700	0.0200	0.0500	0.0000	0.0000	0.0000	0.0000	0.0000	0.4300	0.0500	0.0000	0.7744	0.6327	0.0000	0.0000	0.0000	0.0001	0.0000	16.8822	-21.4779	-133.2249
JAUIPW010000014.1	120	0	0	0	11	0.3613	0.8553	0.3333	0.0000	0.6667	0.0000	0.0667	0.3000	0.0083	0.0667	0.0167	0.0000	0.0000	0.0000	0.0000	0.3750	0.0833	0.0000	0.7583	0.6519	0.0000	0.0000	0.0000	0.0006	0.0000	14.2060	-16.3329	-148.5332
JAUIPW010000015.1	87	0	1	1	11	0.3605	0.7975	0.3333	0.0000	0.6667	0.0000	0.0345	0.2989	0.0575	0.0575	0.0115	0.0000	0.0460	0.0000	0.0000	0.3908	0.0690	0.0460	0.7925	0.5871	0.0000	0.0000	0.0000	0.0001	0.0000	11.1199	-32.8031	-101.1357
JAUIPW010000016.1	105	0	0	0	11	0.2885	0.8756	0.3238	0.0000	0.6762	0.0000	0.0762	0.3333	0.0286	0.0190	0.0000	0.0000	0.0571	0.0000	0.0095	0.4381	0.0190	0.0667	0.8138	0.4553	0.0000	0.0000	0.0001	0.0000	0.0000	29.9705	-57.8365	-122.3127
JAUIPW010000017.1	94	1	3	0	11	0.3011	0.8547	0.3191	0.0000	0.6809	0.0000	0.1383	0.3191	0.0426	0.0319	0.0319	0.0000	0.0000	0.0000	0.0000	0.5000	0.0638	0.0000	0.8358	0.5490	0.0000	0.0000	0.0000	0.0000	0.0000	31.1181	-36.1716	-130.1652
JAUIPW010000018.1	94	1	0	0	11	0.2688	0.8645	0.3617	0.0000	0.6383	0.0000	0.0426	0.2766	0.0106	0.0426	0.0000	0.0000	0.0213	0.0000	0.0106	0.3298	0.0426	0.0319	0.7699	0.6071	0.0000	0.0000	0.0000	0.0003	0.0000	11.4070	-24.4754	-92.4696
JAUIPW010000019.1	81	3	1	1	11	0.3625	0.8761	0.3580	0.0000	0.6420	0.0000	0.0123	0.3086	0.0370	0.0123	0.0123	0.0123	0.0247	0.0123	0.0000	0.3580	0.0370	0.0370	0.7934	0.5202	0.0000	0.0000	0.0001	0.0002	0.0000	8.8816	-26.2166	-81.5562
JAUIPW010000020.1	82	2	0	0	11	0.2222	0.8754	0.2683	0.0000	0.7317	0.0000	0.0366	0.2561	0.0122	0.0488	0.0244	0.0122	0.0122	0.0000	0.0122	0.3049	0.0854	0.0244	0.8249	0.5635	0.0000	0.0000	0.0000	0.0019	0.0000	7.7811	-18.3442	-81.8289
JAUIPW010000021.1	83	2	0	0	11	0.3293	0.8286	0.2410	0.0000	0.7590	0.0000	0.0843	0.3133	0.0723	0.0241	0.0000	0.0000	0.0120	0.0000	0.0120	0.4699	0.0241	0.0241	0.8151	0.5625	0.0000	0.0000	0.0002	0.0000	0.0000	27.2960	-44.6111	-99.2406
JAUIPW010000022.1	73	3	5	0	11	0.1806	0.8974	0.1096	0.0000	0.8904	0.0000	0.1096	0.3699	0.0411	0.0548	0.0274	0.0000	0.0000	0.0000	0.0000	0.5205	0.0822	0.0000	0.8522	0.5232	0.0000	0.0000	0.0000	0.0000	0.0000	25.9124	-31.0159	-110.9153
JAUIPW010000023.1	59	0	0	0	11	0.2414	0.9033	0.3898	0.0000	0.6102	0.0000	0.0339	0.3220	0.0000	0.0678	0.0000	0.0000	0.0000	0.0000	0.0000	0.3559	0.0678	0.0000	0.7752	0.6317	0.0000	0.0000	0.0000	0.0313	0.0000	6.8647	-6.8647	-71.4921
JAUIPW010000024.1	57	0	1	0	11	0.4821	0.8659	0.3684	0.0000	0.6316	0.0000	0.0351	0.4386	0.0175	0.0526	0.0175	0.0000	0.0000	0.0000	0.0000	0.4912	0.0702	0.0000	0.7902	0.6127	0.0000	0.0000	0.0000	0.0059	0.0000	9.8554	-11.2636	-90.8444
JAUIPW010000025.1	71	2	0	0	11	0.3286	0.8427	0.3239	0.0000	0.6761	0.0000	0.0000	0.2113	0.0282	0.1268	0.0423	0.0000	0.0000	0.0000	0.0000	0.2394	0.1690	0.0000	0.6534	0.7570	0.0000	0.0000	0.0000	0.8597	0.0000	-4.2099	2.0915	-77.1251
JAUIPW010000026.1	60	0	1	0	11	0.2542	0.8686	0.2500	0.0000	0.7500	0.0000	0.0333	0.1500	0.0000	0.1000	0.0000	0.0000	0.0167	0.0000	0.0333	0.1833	0.1000	0.0500	0.7108	0.6091	0.0000	0.0008	0.0053	0.1297	0.0000	-1.3990	-9.4562	-43.0495
JAUIPW010000027.1	59	1	0	0	11	0.2414	0.8421	0.3051	0.0000	0.6949	0.0000	0.0678	0.2034	0.0678	0.0000	0.0000	0.0000	0.0508	0.0169	0.0000	0.3390	0.0000	0.0678	0.8359	0.3661	0.0000	0.0000	0.1160	0.0001	0.0000	10.1385	-30.7905	-44.8549
JAUIPW010000028.1	57	0	0	3	11	0.2321	0.8479	0.2105	0.0000	0.7895	0.0000	0.0877	0.2456	0.0351	0.0000	0.0000	0.0000	0.0000	0.0702	0.1053	0.3684	0.0000	0.1754	0.7991	0.4027	0.0000	0.0017	0.8288	0.0003	0.0000	-4.0274	-33.8591	-39.3888
JAUIPW010000029.1	50	1	0	0	11	0.2857	0.8711	0.2400	0.0000	0.7600	0.0000	0.0600	0.2000	0.0000	0.0400	0.0000	0.0000	0.0000	0.0000	0.0200	0.2600	0.0400	0.0200	0.7660	0.5726	0.0000	0.0002	0.0095	0.0221	0.0000	5.8571	-9.2937	-39.3430
JAUIPW010000030.1	37	0	0	0	11	0.2500	0.8781	0.1622	0.0000	0.8378	0.0000	0.0541	0.2973	0.0000	0.0270	0.0270	0.0000	0.0000	0.0000	0.0000	0.3514	0.0541	0.0000	0.6584	0.7526	0.0000	0.0005	0.0007	0.3918	0.0000	0.8793	-0.8793	-42.1047
JAUIPW010000031.1	50	3	0	0	11	0.2449	0.8449	0.2800	0.0000	0.7200	0.0000	0.0600	0.2600	0.0400	0.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.3600	0.0200	0.0000	0.8250	0.5651	0.0000	0.0000	0.0043	0.0012	0.0000	12.7877	-15.4536	-49.1404
JAUIPW010000032.1	49	1	0	0	11	0.3333	0.8013	0.3673	0.0000	0.6327	0.0000	0.0204	0.2449	0.0204	0.1429	0.0000	0.0000	0.0000	0.0000	0.0000	0.2857	0.1429	0.0000	0.6658	0.7461	0.0000	0.0000	0.0001	0.1326	0.0000	3.2393	-5.1112	-58.5982
JAUIPW010000033.1	39	0	0	0	11	0.0000	0.8928	0.2564	0.0000	0.7436	0.0000	0.0513	0.4103	0.0000	0.0256	0.0000	0.0000	0.0256	0.0000	0.0256	0.4615	0.0256	0.0513	0.7833	0.6127	0.0000	0.0000	0.0037	0.0094	0.0000	5.9292	-13.0693	-52.1568
JAUIPW010000034.1	44	0	1	0	11	0.4186	0.8148	0.3636	0.0000	0.6364	0.0000	0.0000	0.2045	0.0000	0.1364	0.0000	0.0000	0.0000	0.0000	0.0000	0.2045	0.1364	0.0000	0.6411	0.7673	0.0000	0.0007	0.0003	0.6822	0.0000	-1.5565	1.5026	-44.5952
JAUIPW010000035.1	47	0	0	0	11	0.3913	0.8319	0.1915	0.0000	0.8085	0.0000	0.0213	0.1064	0.0000	0.0213	0.0213	0.0000	0.0000	0.0000	0.0000	0.1277	0.0426	0.0000	0.8280	0.5606	0.0000	0.0130	0.0292	0.3053	0.0000	1.6448	-1.6448	-21.3857
JAUIPW010000036.1	29	0	0	0	11	0.3929	0.8472	0.1379	0.0000	0.8621	0.0000	0.0000	0.3448	0.0000	0.0000	0.0000	0.0000	0.0345	0.0000	0.0000	0.3448	0.0000	0.0345	0.7425	0.6699	0.0000	0.0049	0.0090	0.3483	0.0000	0.4036	-3.1218	-31.2983
JAUIPW010000037.1	35	0	0	1	11	0.2353	0.8271	0.3714	0.0000	0.6286	0.0000	0.0571	0.4000	0.0286	0.1714	0.0286	0.0000	0.0286	0.0000	0.0000	0.4857	0.2000	0.0286	0.6528	0.7561	0.0000	0.0000	0.0000	0.3593	0.0000	-0.7473	-4.8025	-65.9687
JAUIPW010000038.1	33	0	0	0	11	0.2188	0.8190	0.4545	0.0000	0.5455	0.0000	0.0909	0.3939	0.0303	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5152	0.0000	0.0000	0.8245	0.5659	0.0000	0.0000	0.0083	0.0016	0.0000	12.2868	-14.1769	-44.8736
JAUIPW010000039.1	30	0	0	0	11	0.3448	0.8451	0.2667	0.0000	0.7333	0.0000	0.0000	0.3333	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.1000	0.0000	0.6207	0.7840	0.0000	0.0031	0.0006	0.8418	0.0000	-3.3434	3.3434	-38.8882
JAUIPW010000040.1	22	0	0	0	11	0.4286	0.8189	0.1818	0.0000	0.8182	0.0000	0.0000	0.3182	0.0455	0.0455	0.0000	0.0000	0.0000	0.0000	0.0000	0.3636	0.0455	0.0000	0.7718	0.6359	0.0000	0.0089	0.0248	0.2621	0.0000	1.5566	-3.3143	-24.8057
JAUIPW010000041.1	31	1	0	0	11	0.3000	0.8437	0.3548	0.0000	0.6452	0.0000	0.0323	0.3226	0.0000	0.0645	0.0000	0.0000	0.0323	0.0000	0.0000	0.3548	0.0645	0.0323	0.7960	0.5718	0.0000	0.0005	0.0106	0.0448	0.0000	4.8250	-8.3785	-36.8069
JAUIPW010000042.1	34	0	0	0	11	0.3333	0.8727	0.2647	0.0000	0.7353	0.0000	0.0588	0.1471	0.0000	0.0294	0.0000	0.0000	0.0000	0.0000	0.0000	0.2059	0.0294	0.0000	0.8289	0.5593	0.0000	0.0056	0.0670	0.0729	0.0000	5.0856	-5.0856	-21.1818
