sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JAYGQG010000006.1_RloC_3	RloC	RloC	Defense	JAYGQG010000006.1_169	JAYGQG010000006.1_169	JAYGQG010000006.1_169	1	RloC__RloC
JAYGQG010000007.1_RM_Type_I_16	RM	RM_Type_I	Defense	JAYGQG010000007.1_130	JAYGQG010000007.1_133	JAYGQG010000007.1_130,JAYGQG010000007.1_131,JAYGQG010000007.1_133	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JAYGQG010000009.1_SoFic_5	SoFIC	SoFic	Defense	JAYGQG010000009.1_22	JAYGQG010000009.1_22	JAYGQG010000009.1_22	1	SoFic__SoFic
JAYGQG010000009.1_AbiD_4	AbiD	AbiD	Defense	JAYGQG010000009.1_129	JAYGQG010000009.1_129	JAYGQG010000009.1_129	1	AbiD__AbiD
JAYGQG010000011.1_AbiQ_13	AbiQ	AbiQ	Defense	JAYGQG010000011.1_5	JAYGQG010000011.1_5	JAYGQG010000011.1_5	1	AbiQ__AbiQ
JAYGQG010000013.1_PrrC_17	PrrC	PrrC	Defense	JAYGQG010000013.1_49	JAYGQG010000013.1_53	JAYGQG010000013.1_49,JAYGQG010000013.1_50,JAYGQG010000013.1_51,JAYGQG010000013.1_53	4	PrrC__PrrC,RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JAYGQG010000015.1_RM_Type_IV_21	RM	RM_Type_IV	Defense	JAYGQG010000015.1_88	JAYGQG010000015.1_89	JAYGQG010000015.1_88,JAYGQG010000015.1_89	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
JAYGQG010000016.1_RM_Type_II_14	RM	RM_Type_II	Defense	JAYGQG010000016.1_78	JAYGQG010000016.1_80	JAYGQG010000016.1_78,JAYGQG010000016.1_80	2	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_REase38
JAYGQG010000019.1_DS-1_8	DS-1	DS-1	Defense	JAYGQG010000019.1_3	JAYGQG010000019.1_4	JAYGQG010000019.1_3,JAYGQG010000019.1_4	2	DS-1__DS-1A,DS-1__DS-1B
JAYGQG010000021.1_SoFic_6	SoFIC	SoFic	Defense	JAYGQG010000021.1_7	JAYGQG010000021.1_7	JAYGQG010000021.1_7	1	SoFic__SoFic
JAYGQG010000036.1_Retron_XII_2	Retron	Retron_XII	Defense	JAYGQG010000036.1_1	JAYGQG010000036.1_1	JAYGQG010000036.1_1	1	Retron_XII__RT_12
JAYGQG010000038.1_Prometheus_11	Prometheus	Prometheus	Defense	JAYGQG010000038.1_9	JAYGQG010000038.1_9	JAYGQG010000038.1_9	1	Prometheus__ProA
JAYGQG010000039.1_Wadjet_I_10	Wadjet	Wadjet_I	Defense	JAYGQG010000039.1_6	JAYGQG010000039.1_9	JAYGQG010000039.1_6,JAYGQG010000039.1_8,JAYGQG010000039.1_9	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
JAYGQG010000047.1_Gao_Ppl_12	Gao_Ppl	Gao_Ppl	Defense	JAYGQG010000047.1_12	JAYGQG010000047.1_12	JAYGQG010000047.1_12	1	Gao_Ppl__PplA
JAYGQG010000048.1_Zorya_TypeIII_1	Zorya	Zorya_TypeIII	Defense	JAYGQG010000048.1_4	JAYGQG010000048.1_7	JAYGQG010000048.1_4,JAYGQG010000048.1_6,JAYGQG010000048.1_7	3	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorB
JAYGQG010000051.1_RM_Type_I_20	RM	RM_Type_I	Defense	JAYGQG010000051.1_19	JAYGQG010000051.1_21	JAYGQG010000051.1_19,JAYGQG010000051.1_21	2	RM__Type_I_MTases_FAM_3,RM__Type_I_S_52
JAYGQG010000066.1_AbiE_7	AbiE	AbiE	Defense	JAYGQG010000066.1_4	JAYGQG010000066.1_5	JAYGQG010000066.1_4,JAYGQG010000066.1_5	2	AbiEii__AbiEi_3,AbiEii__AbiEii
