hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JBEFVR010000001.1_1	JBEFVR010000001.1	1	293	PD-T7-2__PD-T7-2_A	4.5e-28	96.1	0.579	0.877	17	273
JBEFVR010000001.1_1	JBEFVR010000001.1	1	293	Gao_Her_SIR__SIR2	1e-48	164.4	0.417	0.584	111	281
JBEFVR010000001.1_54	JBEFVR010000001.1	54	180	DarTG__DarG	2.2999999999999997e-67	225.1	0.739	0.972	1	175
JBEFVR010000002.1_42	JBEFVR010000002.1	349	831	BREX__brxHI	2.3e-50	169.6	0.854	0.762	23	655
JBEFVR010000002.1_42	JBEFVR010000002.1	349	831	Shango__SngC	4.8e-63	211.8	0.869	0.771	16	656
JBEFVR010000002.1_179	JBEFVR010000002.1	486	277	CBASS__AG_E1_ThiF	3.7e-35	119.4	0.582	0.516	20	162
JBEFVR010000002.1_180	JBEFVR010000002.1	487	256	Gao_Qat__QatD	4.5e-17	60.1	0.953	0.973	2	250
JBEFVR010000002.1_190	JBEFVR010000002.1	497	242	Zorya__ZorB	1.7e-11	41.8	0.562	0.558	93	227
JBEFVR010000002.1_260	JBEFVR010000002.1	567	215	DEDDh_I_II_III_IV_V_VI_1	1.9e-24	84.6	0.994	0.814	26	200
JBEFVR010000002.1_291	JBEFVR010000002.1	598	482	DEDDh_I_II_III_IV_V_VI_1	5.8e-17	60.2	0.975	0.373	6	185
JBEFVR010000002.1_309	JBEFVR010000002.1	616	1168	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.1e-10	39.1	0.635	0.406	657	1130
JBEFVR010000002.1_309	JBEFVR010000002.1	616	1168	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	7.6e-12	42.0	0.434	0.415	1	485
JBEFVR010000002.1_309	JBEFVR010000002.1	616	1168	Wadjet__JetC_I	1.2e-13	47.8	0.45	0.43	341	842
JBEFVR010000003.1_43	JBEFVR010000003.1	687	228	Dpd__QueE	7.9e-07	26.8	0.652	0.658	71	220
JBEFVR010000003.1_44	JBEFVR010000003.1	688	225	Dpd__QueC	2.8999999999999998e-52	175.1	0.986	0.978	2	221
JBEFVR010000003.1_60	JBEFVR010000003.1	704	601	PsyrTA__PsyrT	4.0999999999999995e-90	300.7	0.517	0.576	4	349
JBEFVR010000003.1_76	JBEFVR010000003.1	720	669	csf4_IV-A_1	7.1e-33	112.0	0.401	0.395	25	288
JBEFVR010000003.1_78	JBEFVR010000003.1	722	308	Brig1__ADP_ribosyl	1.7000000000000002e-58	196.5	0.436	0.929	5	290
JBEFVR010000003.1_101	JBEFVR010000003.1	745	1097	RM__Type_I_REases_FAM_0.einsi_trimmed	2.7e-229	762.1	0.98	0.964	10	1067
JBEFVR010000003.1_102	JBEFVR010000003.1	746	427	RM__Type_I_S_02	2.9e-21	74.0	0.452	0.475	4	206
JBEFVR010000003.1_102	JBEFVR010000003.1	746	427	RM__Type_I_S_04	6.3e-58	195.0	0.752	0.984	3	422
JBEFVR010000003.1_102	JBEFVR010000003.1	746	427	RM__Type_I_S_51	4.1e-86	287.2	0.834	0.988	3	424
JBEFVR010000003.1_105	JBEFVR010000003.1	749	503	RM_Type_II__Type_II_MTases_FAM_29	2.9e-06	24.0	0.418	0.487	165	409
JBEFVR010000003.1_105	JBEFVR010000003.1	749	503	RM_Type_II__Type_II_MTases_FAM_13	3.2e-13	47.0	0.415	0.485	158	401
JBEFVR010000003.1_105	JBEFVR010000003.1	749	503	RM_Type_II__Type_II_MTases_FAM_14	2.3e-13	47.4	0.455	0.505	176	429
JBEFVR010000003.1_105	JBEFVR010000003.1	749	503	RM_Type_II__Type_II_MTases_FAM_6	3.6e-16	56.8	0.443	0.489	177	422
JBEFVR010000003.1_105	JBEFVR010000003.1	749	503	RM_Type_II__Type_II_MTases_FAM_33	2.6e-38	130.0	0.451	0.477	159	398
JBEFVR010000003.1_105	JBEFVR010000003.1	749	503	RM__Type_I_MTases_FAM_1	1.2000000000000001e-55	186.9	0.747	0.722	132	494
JBEFVR010000003.1_105	JBEFVR010000003.1	749	503	RM__Type_I_MTases_FAM_3	2.3999999999999997e-59	199.1	0.678	0.847	10	435
JBEFVR010000003.1_105	JBEFVR010000003.1	749	503	PrrC__EcoprrI	8.1e-96	320.2	0.954	0.982	7	500
JBEFVR010000003.1_105	JBEFVR010000003.1	749	503	RM__Type_I_MTases_FAM_0	1.7000000000000002e-166	553.0	0.992	0.99	4	501
JBEFVR010000003.1_241	JBEFVR010000003.1	885	414	Dnd__DndA	2.8e-35	119.9	0.865	0.821	33	372
JBEFVR010000003.1_277	JBEFVR010000003.1	921	843	RM_Type_IV__FAM_1	8.4e-84	280.6	0.492	0.563	311	785
JBEFVR010000003.1_278	JBEFVR010000003.1	922	432	RM_Type_IV__Type_IV_01	2.4e-49	167.3	0.667	0.801	39	384
JBEFVR010000003.1_278	JBEFVR010000003.1	922	432	RM_Type_IV__FAM_2	1.4000000000000001e-55	186.7	0.889	0.894	1	386
JBEFVR010000004.1_121	JBEFVR010000004.1	1063	368	Veles__VlsB1	9.8e-105	348.6	0.951	0.957	15	366
JBEFVR010000004.1_121	JBEFVR010000004.1	1063	368	Veles__VlsB2	5.7e-105	349.4	0.923	0.954	16	366
JBEFVR010000004.1_144	JBEFVR010000004.1	1086	118	Dpd__QueD	1.4e-57	191.1	0.958	0.975	3	117
JBEFVR010000005.1_10	JBEFVR010000005.1	1222	299	Ukko__UkkD1	1.7e-60	202.6	0.947	0.88	20	282
JBEFVR010000005.1_10	JBEFVR010000005.1	1222	299	Ukko__UkkD2	1.7e-60	202.6	0.947	0.88	20	282
JBEFVR010000005.1_144	JBEFVR010000005.1	1356	416	RM_Type_II__Type_II_MTases_FAM_22	5.700000000000001e-34	115.8	0.451	0.399	74	239
JBEFVR010000005.1_144	JBEFVR010000005.1	1356	416	DISARM_2__drmMII	7.8e-37	125.1	0.477	0.406	70	238
JBEFVR010000005.1_144	JBEFVR010000005.1	1356	416	RM_Type_II__Type_II_MTases_FAM_0	1.6e-40	137.5	0.497	0.416	70	242
JBEFVR010000005.1_144	JBEFVR010000005.1	1356	416	RM_Type_II__Type_II_MTases_FAM_2	1.9000000000000002e-58	196.1	0.527	0.43	72	250
JBEFVR010000005.1_144	JBEFVR010000005.1	1356	416	Druantia_II__DruM	1.1e-61	207.1	0.848	0.74	71	378
JBEFVR010000005.1_200	JBEFVR010000005.1	1412	1624	Mokosh_type_I__MkoA_D	4.9e-69	231.8	0.688	0.631	447	1470
JBEFVR010000005.1_215	JBEFVR010000005.1	1427	322	WYL_I_II_III_IV_V_VI_4	1e-39	134.3	0.965	0.528	144	313
JBEFVR010000005.1_215	JBEFVR010000005.1	1427	322	WYL_I_II_III_IV_V_VI_1	2.2999999999999997e-67	225.7	0.984	0.994	1	320
JBEFVR010000007.1_34	JBEFVR010000007.1	1724	374	Veles__VlsB1	4.7e-115	382.5	0.949	0.933	18	366
JBEFVR010000007.1_34	JBEFVR010000007.1	1724	374	Veles__VlsB2	1.1e-115	384.6	0.921	0.941	15	366
JBEFVR010000008.1_63	JBEFVR010000008.1	1920	379	CBASS__AG_E1_ThiF	3.6e-71	237.3	0.996	0.631	118	356
JBEFVR010000008.1_85	JBEFVR010000008.1	1942	761	Dodola__DolB	1.9000000000000002e-20	71.2	0.488	0.252	430	621
JBEFVR010000008.1_120	JBEFVR010000008.1	1977	370	Veles__VlsB1	1.8999999999999998e-125	416.7	0.97	0.978	3	364
JBEFVR010000008.1_120	JBEFVR010000008.1	1977	370	Veles__VlsB2	3.4000000000000003e-128	425.9	0.936	0.981	2	364
JBEFVR010000010.1_9	JBEFVR010000010.1	2163	251	Retron_VII_2__DUF3800	2e-09	36.0	0.972	0.817	8	212
JBEFVR010000011.1_40	JBEFVR010000011.1	2342	264	Ukko__UkkA1	2.2999999999999998e-92	307.3	0.941	0.962	9	262
JBEFVR010000011.1_40	JBEFVR010000011.1	2342	264	Ukko__UkkA2	2.2999999999999998e-92	307.3	0.941	0.962	9	262
JBEFVR010000011.1_43	JBEFVR010000011.1	2345	368	Ukko__UkkD1	1.6000000000000001e-28	97.8	0.477	0.361	3	135
JBEFVR010000011.1_43	JBEFVR010000011.1	2345	368	Ukko__UkkD2	1.6000000000000001e-28	97.8	0.477	0.361	3	135
JBEFVR010000012.1_18	JBEFVR010000012.1	2458	314	DEDDh_I_II_III_IV_V_VI_1	1.1e-25	88.6	0.994	0.475	44	192
JBEFVR010000012.1_50	JBEFVR010000012.1	2490	383	SoFic__SoFic	5.5000000000000007e-123	408.7	0.961	0.901	18	362
JBEFVR010000012.1_51	JBEFVR010000012.1	2491	544	RM_Type_II__Type_II_MTases_FAM_8	9.2e-06	23.0	0.413	0.386	168	377
JBEFVR010000012.1_51	JBEFVR010000012.1	2491	544	RM_Type_II__Type_II_MTases_FAM_1	3e-15	54.4	0.56	0.292	70	228
JBEFVR010000012.1_51	JBEFVR010000012.1	2491	544	RM_Type_II__Type_II_MTases_FAM_3	1.1999999999999998e-22	78.6	0.84	0.599	63	388
JBEFVR010000012.1_51	JBEFVR010000012.1	2491	544	RM_Type_II__Type_II_MTases_FAM_37	2.3999999999999997e-41	139.9	0.738	0.596	65	388
JBEFVR010000012.1_51	JBEFVR010000012.1	2491	544	RM_Type_III__Type_III_MTases_FAM_0	3.9e-134	446.9	0.718	0.787	11	438
JBEFVR010000012.1_52	JBEFVR010000012.1	2492	834	RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed	2.2e-13	47.2	0.415	0.412	37	380
JBEFVR010000013.1_23	JBEFVR010000013.1	2596	195	DEDDh_I_II_III_IV_V_VI_1	3.2e-11	41.6	0.956	0.805	12	168
JBEFVR010000014.1_64	JBEFVR010000014.1	2742	1465	Shango__SngC	1.6e-66	223.3	0.732	0.366	25	560
JBEFVR010000014.1_64	JBEFVR010000014.1	2742	1465	BREX__brxHI	2.6e-69	232.2	0.696	0.36	24	550
JBEFVR010000014.1_74	JBEFVR010000014.1	2752	340	WYL_I_II_III_IV_V_VI_4	1.3e-25	88.3	0.977	0.497	143	311
JBEFVR010000014.1_74	JBEFVR010000014.1	2752	340	WYL_I_II_III_IV_V_VI_1	4.3e-51	172.2	0.974	0.918	4	315
JBEFVR010000015.1_33	JBEFVR010000015.1	2818	257	CapRel__CapRel	3.4e-21	73.7	0.417	0.626	2	162
JBEFVR010000015.1_54	JBEFVR010000015.1	2839	928	UG9__DNA_pol	4.8e-31	106.1	0.667	0.4	524	894
JBEFVR010000015.1_61	JBEFVR010000015.1	2846	724	Gabija__GajB_3	5e-13	46.9	0.654	0.378	21	294
JBEFVR010000015.1_61	JBEFVR010000015.1	2846	724	Gabija__GajB_1	9.900000000000001e-35	118.2	0.916	0.834	13	616
JBEFVR010000015.1_61	JBEFVR010000015.1	2846	724	UG35__UvrD	2.3e-77	258.7	0.532	0.599	4	437
JBEFVR010000015.1_61	JBEFVR010000015.1	2846	724	Gabija__GajB_2	8.499999999999999e-103	342.8	0.777	0.88	1	637
JBEFVR010000015.1_63	JBEFVR010000015.1	2848	475	DISARM__drmC	7.6e-17	59.6	0.57	0.299	296	437
JBEFVR010000016.1_18	JBEFVR010000016.1	2910	379	PsyrTA__PsyrA	2.1e-29	100.6	0.746	0.778	75	369
JBEFVR010000016.1_18	JBEFVR010000016.1	2910	379	ShosTA__ShosA	2.1000000000000002e-57	192.5	0.68	0.538	81	284
JBEFVR010000016.1_90	JBEFVR010000016.1	2982	583	UG6__DnaG	1.9e-34	117.1	0.817	0.492	34	320
JBEFVR010000017.1_27	JBEFVR010000017.1	3024	527	DRT2__RmuC	1.5e-06	24.9	0.502	0.448	245	480
JBEFVR010000017.1_54	JBEFVR010000017.1	3051	920	Thoeris_IV__ThsA_Casp4	1.5000000000000001e-25	88.3	0.651	0.245	496	720
