seq_name	chromosome_score	plasmid_score	virus_score
JAYISB010000001.1	0.9621	0.0349	0.0030
JAYISB010000010.1	0.0001	0.9999	0.0000
JAYISB010000100.1	0.4990	0.1700	0.3310
JAYISB010000011.1	0.9176	0.0772	0.0052
JAYISB010000012.1	0.9771	0.0208	0.0021
JAYISB010000013.1	0.9846	0.0134	0.0020
JAYISB010000014.1	0.8937	0.1000	0.0063
JAYISB010000015.1	0.9526	0.0442	0.0031
JAYISB010000016.1	0.9682	0.0289	0.0029
JAYISB010000017.1	0.9750	0.0229	0.0021
JAYISB010000018.1	0.9629	0.0343	0.0027
JAYISB010000019.1	0.9614	0.0359	0.0028
JAYISB010000002.1	0.9466	0.0496	0.0038
JAYISB010000020.1	0.9003	0.0942	0.0055
JAYISB010000021.1	0.9791	0.0191	0.0018
JAYISB010000022.1	0.8345	0.1562	0.0093
JAYISB010000023.1	0.9879	0.0109	0.0011
JAYISB010000024.1	0.9893	0.0097	0.0011
JAYISB010000025.1	0.0005	0.9994	0.0001
JAYISB010000026.1	0.9700	0.0275	0.0025
JAYISB010000027.1	0.0000	1.0000	0.0000
JAYISB010000028.1	0.9611	0.0361	0.0028
JAYISB010000029.1	0.9233	0.0723	0.0044
JAYISB010000003.1	0.9466	0.0495	0.0039
JAYISB010000030.1	0.8776	0.1154	0.0069
JAYISB010000031.1	0.9532	0.0436	0.0032
JAYISB010000032.1	0.8756	0.1175	0.0069
JAYISB010000033.1	0.8988	0.0941	0.0071
JAYISB010000034.1	0.9933	0.0061	0.0007
JAYISB010000035.1	0.9068	0.0862	0.0069
JAYISB010000036.1	0.9861	0.0126	0.0013
JAYISB010000037.1	0.8958	0.0985	0.0057
JAYISB010000038.1	0.9588	0.0377	0.0034
JAYISB010000039.1	0.0000	1.0000	0.0000
JAYISB010000004.1	0.9718	0.0253	0.0029
JAYISB010000040.1	0.9849	0.0134	0.0017
JAYISB010000041.1	0.7583	0.2325	0.0093
JAYISB010000042.1	0.9561	0.0406	0.0033
JAYISB010000043.1	0.7558	0.2375	0.0067
JAYISB010000044.1	0.9699	0.0275	0.0026
JAYISB010000045.1	0.9029	0.0918	0.0053
JAYISB010000046.1	0.0002	0.9997	0.0001
JAYISB010000047.1	0.9461	0.0494	0.0045
JAYISB010000048.1	0.9202	0.0742	0.0055
JAYISB010000049.1	0.9466	0.0501	0.0033
JAYISB010000005.1	0.9277	0.0676	0.0047
JAYISB010000050.1	0.9808	0.0173	0.0019
JAYISB010000051.1	0.9890	0.0099	0.0011
JAYISB010000052.1	0.6661	0.3223	0.0116
JAYISB010000053.1	0.9781	0.0195	0.0024
JAYISB010000054.1	0.8098	0.1833	0.0070
JAYISB010000055.1	0.0661	0.0224	0.9115
JAYISB010000056.1	0.0001	0.9998	0.0001
JAYISB010000057.1	0.9783	0.0192	0.0025
JAYISB010000058.1	0.8596	0.1348	0.0056
JAYISB010000059.1	0.9965	0.0031	0.0004
JAYISB010000006.1	0.0000	0.9999	0.0001
JAYISB010000060.1	0.0000	0.9999	0.0001
JAYISB010000061.1	0.9621	0.0327	0.0052
JAYISB010000062.1	0.0476	0.9494	0.0031
JAYISB010000063.1	0.9773	0.0209	0.0018
JAYISB010000064.1	0.0001	0.9996	0.0003
JAYISB010000065.1	0.0001	0.9998	0.0001
JAYISB010000066.1	0.9866	0.0121	0.0013
JAYISB010000067.1	0.9311	0.0660	0.0029
JAYISB010000068.1	0.0006	0.9983	0.0011
JAYISB010000069.1	0.3038	0.6250	0.0712
JAYISB010000007.1	0.9449	0.0511	0.0040
JAYISB010000070.1	0.9869	0.0118	0.0013
JAYISB010000071.1	0.0048	0.0307	0.9645
JAYISB010000072.1	0.0001	0.9999	0.0000
JAYISB010000073.1	0.0265	0.9588	0.0147
JAYISB010000074.1	0.0000	1.0000	0.0000
JAYISB010000075.1	0.9590	0.0405	0.0005
JAYISB010000076.1	0.5815	0.4038	0.0146
JAYISB010000077.1	0.0004	0.9995	0.0001
JAYISB010000078.1	0.0014	0.0009	0.9977
JAYISB010000079.1	0.0118	0.9759	0.0124
JAYISB010000008.1	0.9675	0.0297	0.0028
JAYISB010000080.1	0.5146	0.3972	0.0882
JAYISB010000081.1	0.6548	0.3411	0.0041
JAYISB010000082.1	0.0000	0.0001	0.9998
JAYISB010000083.1	0.7896	0.1549	0.0555
JAYISB010000084.1	0.1039	0.8467	0.0494
JAYISB010000085.1	0.6699	0.2770	0.0531
JAYISB010000086.1	0.5167	0.3953	0.0880
JAYISB010000087.1	0.9786	0.0186	0.0028
JAYISB010000088.1	0.1456	0.7982	0.0562
JAYISB010000089.1	0.2803	0.6985	0.0211
JAYISB010000009.1	0.9632	0.0337	0.0031
JAYISB010000090.1	0.0734	0.8957	0.0309
JAYISB010000091.1	0.0005	0.9988	0.0008
JAYISB010000092.1	0.9167	0.0776	0.0057
JAYISB010000093.1	0.0002	0.9995	0.0003
JAYISB010000094.1	0.5047	0.4681	0.0272
JAYISB010000095.1	0.0036	0.0006	0.9957
JAYISB010000096.1	0.9343	0.0450	0.0208
JAYISB010000097.1	0.0399	0.0764	0.8837
JAYISB010000098.1	0.2307	0.6932	0.0761
JAYISB010000099.1	0.3331	0.6602	0.0067
