replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
JAYFSM010000014.1	JAYFSM010000014.1_2	Wadjet__JetD_II	714	defense-finder-models/DefenseFinder/Wadjet/Wadjet_II	JAYFSM010000014.1_Wadjet_II_3	1	1	1.0	4.0	1	Wadjet__JetD_II	mandatory	433	8.4e-110	365.6	0.948	0.963	10	426		JAYFSM010000014.1_Wadjet_2	Wadjet	Wadjet_II	Defense
JAYFSM010000014.1	JAYFSM010000014.1_3	Wadjet__JetC_II	715	defense-finder-models/DefenseFinder/Wadjet/Wadjet_II	JAYFSM010000014.1_Wadjet_II_3	1	1	1.0	4.0	1	Wadjet__JetC_II	mandatory	1376	0.0	1194.3	0.996	0.98	15	1363		JAYFSM010000014.1_Wadjet_2	Wadjet	Wadjet_II	Defense
JAYFSM010000014.1	JAYFSM010000014.1_4	Wadjet__JetB_II	716	defense-finder-models/DefenseFinder/Wadjet/Wadjet_II	JAYFSM010000014.1_Wadjet_II_3	1	1	1.0	4.0	1	Wadjet__JetB_II	mandatory	423	3.0999999999999998e-105	350.4	0.947	0.946	12	411		JAYFSM010000014.1_Wadjet_2	Wadjet	Wadjet_II	Defense
JAYFSM010000014.1	JAYFSM010000014.1_5	Wadjet__JetA_II	717	defense-finder-models/DefenseFinder/Wadjet/Wadjet_II	JAYFSM010000014.1_Wadjet_II_3	1	1	1.0	4.0	1	Wadjet__JetA_II	mandatory	515	1.4999999999999998e-147	490.4	0.941	0.984	5	511		JAYFSM010000014.1_Wadjet_2	Wadjet	Wadjet_II	Defense
JAYFSM010000014.1	JAYFSM010000014.1_6	Prometheus__ProA	718	defense-finder-models/DefenseFinder/Prometheus/Prometheus	JAYFSM010000014.1_Prometheus_1	1	1	1.0	1.0	1	Prometheus__ProA	mandatory	2211	0.0	1082.7	0.527	0.434	1248	2206			Prometheus	Prometheus	Defense
JAYFSM010000002.1	JAYFSM010000002.1_4	RM__Type_I_MTases_FAM_0	1197	defense-finder-models/RM/RM/RM_Type_I	JAYFSM010000002.1_RM_Type_I_20	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	503	9.8e-167	553.8	0.992	0.99	4	501		JAYFSM010000002.1_PrrC_19	RM	RM_Type_I	Defense
JAYFSM010000002.1	JAYFSM010000002.1_7	RM__Type_I_S_51	1200	defense-finder-models/RM/RM/RM_Type_I	JAYFSM010000002.1_RM_Type_I_20	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	415	2.2e-72	241.9	0.836	0.99	2	412		JAYFSM010000002.1_PrrC_19	RM	RM_Type_I	Defense
JAYFSM010000002.1	JAYFSM010000002.1_8	RM__Type_I_REases_FAM_0.einsi_trimmed	1201	defense-finder-models/RM/RM/RM_Type_I	JAYFSM010000002.1_RM_Type_I_20	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1097	5.5e-235	780.9	0.98	0.964	10	1067		JAYFSM010000002.1_PrrC_19	RM	RM_Type_I	Defense
JAYFSM010000020.1	JAYFSM010000020.1_2	AbiEii__AbiEii	1487	defense-finder-models/DefenseFinder/AbiE/AbiE	JAYFSM010000020.1_AbiE_13	1	1	1.0	2.0	1	AbiEii__AbiEii	mandatory	315	7.2e-36	122.3	0.962	0.683	17	231			AbiE	AbiE	Defense
JAYFSM010000020.1	JAYFSM010000020.1_3	AbiEii__AbiEi_3	1488	defense-finder-models/DefenseFinder/AbiE/AbiE	JAYFSM010000020.1_AbiE_13	1	1	1.0	2.0	1	AbiEii__AbiEi_1	mandatory	274	6.7e-33	111.6	0.987	0.599	102	265			AbiE	AbiE	Defense
