seq_name	chromosome_score	plasmid_score	virus_score
JAYITI010000001.1	0.4617	0.5082	0.0301
JAYITI010000010.1	0.4266	0.5276	0.0458
JAYITI010000011.1	0.3921	0.5726	0.0353
JAYITI010000012.1	0.4759	0.4694	0.0547
JAYITI010000013.1	0.4150	0.5473	0.0377
JAYITI010000014.1	0.4735	0.5073	0.0191
JAYITI010000015.1	0.4637	0.5128	0.0235
JAYITI010000016.1	0.3828	0.6009	0.0163
JAYITI010000017.1	0.3940	0.5591	0.0469
JAYITI010000018.1	0.4019	0.5453	0.0528
JAYITI010000019.1	0.4456	0.5341	0.0203
JAYITI010000002.1	0.4638	0.5075	0.0287
JAYITI010000020.1	0.4200	0.5565	0.0235
JAYITI010000021.1	0.4747	0.4796	0.0457
JAYITI010000022.1	0.5339	0.3904	0.0757
JAYITI010000023.1	0.2793	0.6275	0.0932
JAYITI010000024.1	0.5103	0.4389	0.0509
JAYITI010000025.1	0.4663	0.5037	0.0300
JAYITI010000026.1	0.4015	0.5334	0.0650
JAYITI010000027.1	0.3517	0.6075	0.0408
JAYITI010000028.1	0.5020	0.4657	0.0323
JAYITI010000029.1	0.4796	0.4946	0.0258
JAYITI010000003.1	0.4603	0.5167	0.0231
JAYITI010000030.1	0.6076	0.3792	0.0131
JAYITI010000031.1	0.4302	0.5646	0.0052
JAYITI010000032.1	0.1927	0.7018	0.1055
JAYITI010000033.1	0.4329	0.5336	0.0336
JAYITI010000034.1	0.4328	0.5531	0.0142
JAYITI010000035.1	0.3672	0.6069	0.0260
JAYITI010000036.1	0.4408	0.5555	0.0036
JAYITI010000037.1	0.4407	0.5314	0.0280
JAYITI010000038.1	0.4592	0.5316	0.0092
JAYITI010000039.1	0.3901	0.5592	0.0508
JAYITI010000004.1	0.4677	0.4920	0.0403
JAYITI010000040.1	0.3782	0.6197	0.0021
JAYITI010000041.1	0.4518	0.5328	0.0154
JAYITI010000042.1	0.4005	0.5807	0.0188
JAYITI010000043.1	0.4626	0.4695	0.0678
JAYITI010000044.1	0.4225	0.5655	0.0119
JAYITI010000045.1	0.3243	0.6475	0.0282
JAYITI010000046.1	0.3317	0.6217	0.0466
JAYITI010000047.1	0.5733	0.3974	0.0293
JAYITI010000048.1	0.6524	0.3433	0.0043
JAYITI010000049.1	0.1856	0.6610	0.1534
JAYITI010000005.1	0.4893	0.4902	0.0205
JAYITI010000050.1	0.2376	0.6597	0.1027
JAYITI010000051.1	0.0285	0.8604	0.1111
JAYITI010000052.1	0.4325	0.5621	0.0054
JAYITI010000053.1	0.2964	0.6772	0.0263
JAYITI010000054.1	0.5884	0.3925	0.0191
JAYITI010000055.1	0.6135	0.3785	0.0081
JAYITI010000056.1	0.0634	0.6976	0.2390
JAYITI010000057.1	0.7698	0.2209	0.0094
JAYITI010000058.1	0.0025	0.7448	0.2527
JAYITI010000059.1	0.8997	0.0787	0.0215
JAYITI010000006.1	0.4239	0.5324	0.0437
JAYITI010000060.1	0.0852	0.8038	0.1110
JAYITI010000061.1	0.4648	0.5229	0.0124
JAYITI010000062.1	0.2969	0.3637	0.3394
JAYITI010000063.1	0.2331	0.5694	0.1975
JAYITI010000064.1	0.1129	0.7191	0.1680
JAYITI010000065.1	0.2379	0.5909	0.1712
JAYITI010000066.1	0.3959	0.5910	0.0131
JAYITI010000067.1	0.5931	0.3369	0.0700
JAYITI010000068.1	0.7144	0.1941	0.0915
JAYITI010000069.1	0.6063	0.3418	0.0519
JAYITI010000007.1	0.4173	0.5455	0.0372
JAYITI010000070.1	0.6056	0.3724	0.0220
JAYITI010000071.1	0.6989	0.2709	0.0302
JAYITI010000072.1	0.4091	0.4984	0.0925
JAYITI010000073.1	0.4596	0.4930	0.0475
JAYITI010000074.1	0.6437	0.3100	0.0463
JAYITI010000075.1	0.2960	0.6810	0.0230
JAYITI010000076.1	0.4054	0.5665	0.0281
JAYITI010000077.1	0.5196	0.3303	0.1501
JAYITI010000078.1	0.2398	0.5199	0.2402
JAYITI010000079.1	0.2667	0.6342	0.0991
JAYITI010000008.1	0.4441	0.5419	0.0140
JAYITI010000080.1	0.1863	0.5134	0.3003
JAYITI010000081.1	0.4447	0.3938	0.1615
JAYITI010000082.1	0.4416	0.3299	0.2285
JAYITI010000009.1	0.4030	0.5801	0.0170
