hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JAUINV010000001.1_55	JAUINV010000001.1	55	246	DEDDh_I_II_III_IV_V_VI_1	1.2e-35	120.9	0.994	0.663	4	166
JAUINV010000001.1_62	JAUINV010000001.1	62	824	Dodola__DolB	1.3e-10	38.8	0.408	0.201	311	476
JAUINV010000002.1_34	JAUINV010000002.1	407	831	BREX__brxHI	6.899999999999999e-51	171.3	0.854	0.762	23	655
JAUINV010000002.1_34	JAUINV010000002.1	407	831	Shango__SngC	1.2e-63	213.7	0.869	0.771	16	656
JAUINV010000002.1_169	JAUINV010000002.1	542	277	CBASS__AG_E1_ThiF	7.1e-35	118.5	0.582	0.516	20	162
JAUINV010000002.1_170	JAUINV010000002.1	543	256	Gao_Qat__QatD	4.7e-17	60.1	0.953	0.973	2	250
JAUINV010000002.1_180	JAUINV010000002.1	553	242	Zorya__ZorB	1.7e-11	41.8	0.562	0.558	93	227
JAUINV010000003.1_2	JAUINV010000003.1	566	659	Gabija__GajB_3	2.4e-16	57.8	0.657	0.413	20	291
JAUINV010000003.1_2	JAUINV010000003.1	566	659	UG35__UvrD	1.2e-83	279.5	0.515	0.634	4	421
JAUINV010000003.1_2	JAUINV010000003.1	566	659	Gabija__GajB_2	3.2e-97	324.4	0.775	0.962	4	637
JAUINV010000003.1_118	JAUINV010000003.1	682	475	DISARM__drmC	7.6e-17	59.6	0.57	0.299	296	437
JAUINV010000003.1_120	JAUINV010000003.1	684	724	Gabija__GajB_1	1.2e-34	117.9	0.916	0.834	13	616
JAUINV010000003.1_120	JAUINV010000003.1	684	724	UG35__UvrD	5.3e-77	257.5	0.532	0.599	4	437
JAUINV010000003.1_120	JAUINV010000003.1	684	724	Gabija__GajB_2	1.1e-102	342.4	0.777	0.88	1	637
JAUINV010000003.1_126	JAUINV010000003.1	690	928	UG9__DNA_pol	5.8e-31	105.9	0.669	0.401	524	895
JAUINV010000004.1_64	JAUINV010000004.1	787	398	CBASS__AG_E1_ThiF	1.8e-71	238.3	0.996	0.601	137	375
JAUINV010000004.1_86	JAUINV010000004.1	809	761	Dodola__DolB	3e-21	73.9	0.491	0.254	429	621
JAUINV010000004.1_120	JAUINV010000004.1	843	417	Veles__VlsB1	2.3e-129	429.6	0.976	0.871	52	414
JAUINV010000004.1_120	JAUINV010000004.1	843	417	Veles__VlsB2	8.100000000000001e-132	437.8	0.944	0.875	51	415
JAUINV010000004.1_121	JAUINV010000004.1	844	348	Veles__VlsA1	5e-69	230.7	0.983	0.839	10	301
JAUINV010000004.1_121	JAUINV010000004.1	844	348	Veles__VlsA2	5.2e-70	233.7	0.979	0.83	9	297
JAUINV010000006.1_39	JAUINV010000006.1	1075	1465	Shango__SngC	1.0000000000000001e-65	220.6	0.732	0.366	25	560
JAUINV010000006.1_39	JAUINV010000006.1	1075	1465	BREX__brxHI	9.4e-70	233.7	0.733	0.377	24	576
JAUINV010000006.1_48	JAUINV010000006.1	1084	340	WYL_I_II_III_IV_V_VI_4	7.5e-25	85.9	0.977	0.497	143	311
JAUINV010000006.1_48	JAUINV010000006.1	1084	340	WYL_I_II_III_IV_V_VI_1	5e-49	165.4	0.974	0.918	4	315
JAUINV010000006.1_100	JAUINV010000006.1	1136	382	Dpd__DpdA	4.3e-08	30.2	0.52	0.545	141	348
JAUINV010000007.1_4	JAUINV010000007.1	1173	324	Abi2__Abi_2	1.8999999999999997e-51	172.9	0.994	0.627	35	237
JAUINV010000007.1_4	JAUINV010000007.1	1173	324	AbiD__AbiD	1.1999999999999998e-88	295.5	0.913	0.972	5	319
JAUINV010000007.1_9	JAUINV010000007.1	1178	609	Gabija__GajA	1.5e-36	124.3	0.758	0.813	1	495
JAUINV010000007.1_15	JAUINV010000007.1	1184	337	Thoeris__ThsB_Global	1.3e-09	36.2	0.435	0.249	3	86
JAUINV010000007.1_15	JAUINV010000007.1	1184	337	SDIC1__SDIC1A	2.6e-144	478.0	0.997	0.97	1	327
JAUINV010000007.1_46	JAUINV010000007.1	1215	1168	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	2.1e-10	38.2	0.635	0.406	657	1130
JAUINV010000007.1_46	JAUINV010000007.1	1215	1168	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	3.7e-12	43.0	0.434	0.415	1	485
JAUINV010000007.1_46	JAUINV010000007.1	1215	1168	Wadjet__JetC_I	8.1e-14	48.4	0.45	0.43	341	842
JAUINV010000007.1_62	JAUINV010000007.1	1231	482	DEDDh_I_II_III_IV_V_VI_1	5.9e-17	60.2	0.975	0.373	6	185
JAUINV010000007.1_94	JAUINV010000007.1	1263	215	DEDDh_I_II_III_IV_V_VI_1	1.9e-24	84.6	0.994	0.814	26	200
JAUINV010000008.1_13	JAUINV010000008.1	1340	862	Dodola__DolB	2.3999999999999996e-22	77.4	0.597	0.277	485	723
JAUINV010000008.1_69	JAUINV010000008.1	1396	228	Dpd__QueE	8.8e-07	26.6	0.652	0.658	71	220
JAUINV010000008.1_70	JAUINV010000008.1	1397	225	Dpd__QueC	5.6e-53	177.4	0.986	0.978	2	221
JAUINV010000008.1_85	JAUINV010000008.1	1412	601	PsyrTA__PsyrT	3.5e-90	301.0	0.517	0.576	4	349
JAUINV010000008.1_103	JAUINV010000008.1	1430	308	Brig1__ADP_ribosyl	4.3e-59	198.5	0.439	0.935	5	292
JAUINV010000009.1_22	JAUINV010000009.1	1471	383	SoFic__SoFic	5.5000000000000007e-123	408.7	0.961	0.901	18	362
JAUINV010000009.1_23	JAUINV010000009.1	1472	544	RM_Type_II__Type_II_MTases_FAM_8	1.7e-06	25.4	0.413	0.386	168	377
JAUINV010000009.1_23	JAUINV010000009.1	1472	544	RM_Type_II__Type_II_MTases_FAM_1	2.6e-14	51.3	0.538	0.279	70	221
JAUINV010000009.1_23	JAUINV010000009.1	1472	544	RM_Type_II__Type_II_MTases_FAM_3	1.8999999999999998e-23	81.2	0.84	0.599	63	388
JAUINV010000009.1_23	JAUINV010000009.1	1472	544	RM_Type_II__Type_II_MTases_FAM_37	2.6000000000000003e-42	143.1	0.724	0.574	65	376
JAUINV010000009.1_23	JAUINV010000009.1	1472	544	RM_Type_III__Type_III_MTases_FAM_0	1.1e-130	435.4	0.717	0.785	11	437
JAUINV010000009.1_100	JAUINV010000009.1	1549	326	DISARM__drmC	2.1e-15	54.9	0.536	0.417	190	325
JAUINV010000009.1_109	JAUINV010000009.1	1558	269	Gao_Qat__QatD	1.9e-15	54.8	0.772	0.747	16	216
JAUINV010000010.1_24	JAUINV010000010.1	1596	195	DEDDh_I_II_III_IV_V_VI_1	2.9e-11	41.7	0.956	0.805	12	168
JAUINV010000011.1_8	JAUINV010000011.1	1690	251	Retron_VII_2__DUF3800	6.2e-10	37.6	0.972	0.817	8	212
JAUINV010000012.1_16	JAUINV010000012.1	1819	583	UG6__DnaG	1.9e-34	117.1	0.817	0.492	34	320
JAUINV010000012.1_87	JAUINV010000012.1	1890	379	PsyrTA__PsyrA	7e-30	102.2	0.746	0.778	75	369
JAUINV010000012.1_87	JAUINV010000012.1	1890	379	ShosTA__ShosA	1.2e-56	190.0	0.68	0.538	81	284
JAUINV010000013.1_19	JAUINV010000013.1	1926	299	Ukko__UkkD1	1.7e-60	202.6	0.947	0.88	20	282
JAUINV010000013.1_19	JAUINV010000013.1	1926	299	Ukko__UkkD2	1.7e-60	202.6	0.947	0.88	20	282
JAUINV010000013.1_49	JAUINV010000013.1	1956	995	RM__Type_I_REases_FAM_0.einsi_trimmed	9e-140	465.7	0.443	0.468	2	467
JAUINV010000013.1_50	JAUINV010000013.1	1957	403	RM__Type_I_S_04	2e-25	87.8	0.731	0.926	23	395
JAUINV010000013.1_50	JAUINV010000013.1	1957	403	RM__Type_I_S_03	2.8e-26	90.7	0.408	0.476	18	209
JAUINV010000013.1_50	JAUINV010000013.1	1957	403	RM__Type_I_S_51	4.7e-35	118.8	0.466	0.598	3	243
JAUINV010000013.1_51	JAUINV010000013.1	1958	367	PrrC__PrrC	2.2e-64	215.4	0.981	0.981	2	361
JAUINV010000013.1_53	JAUINV010000013.1	1960	539	RM_Type_II__Type_II_MTases_FAM_28	7.3e-11	39.2	0.41	0.477	201	457
JAUINV010000013.1_53	JAUINV010000013.1	1960	539	RM_Type_II__Type_II_MTases_FAM_29	3.6e-12	43.5	0.42	0.481	182	440
JAUINV010000013.1_53	JAUINV010000013.1	1960	539	RM_Type_II__Type_II_MTases_FAM_6	3.7e-17	60.1	0.443	0.481	198	456
JAUINV010000013.1_53	JAUINV010000013.1	1960	539	RM_Type_II__Type_II_MTases_FAM_14	3.9e-19	66.4	0.439	0.479	200	457
JAUINV010000013.1_53	JAUINV010000013.1	1960	539	RM_Type_II__Type_II_MTases_FAM_13	3e-21	73.6	0.448	0.512	165	440
JAUINV010000013.1_53	JAUINV010000013.1	1960	539	RM_Type_II__Type_II_MTases_FAM_33	9.6e-34	114.9	0.47	0.486	169	430
JAUINV010000013.1_53	JAUINV010000013.1	1960	539	RM__Type_I_MTases_FAM_1	1.4e-51	173.4	0.941	0.915	28	520
