hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
CP168186.1_15	CP168186.1	15	487	DISARM__drmC	7.7e-18	63.2	0.615	0.316	300	453
CP168186.1_39	CP168186.1	39	420	TniQ_I-F_1	1.4e-11	43.7	0.971	0.31	20	149
CP168186.1_129	CP168186.1	129	747	CBASS__AG_E1_ThiF	3.3e-14	51.1	0.406	0.135	370	470
CP168186.1_129	CP168186.1	129	747	CBASS__Jab	3.8e-27	93.3	0.649	0.183	603	739
CP168186.1_129	CP168186.1	129	747	6A_MBL__cap2_3	3e-50	169.2	0.535	0.521	352	740
CP168186.1_130	CP168186.1	130	387	6A_MBL__MblB	4.8e-43	145.5	0.966	0.956	5	374
CP168186.1_142	CP168186.1	142	385	SoFic__SoFic	1.1e-121	404.7	0.981	0.909	18	367
CP168186.1_252	CP168186.1	252	711	csf4_IV-A_1	1.1e-39	134.8	0.904	0.914	39	688
CP168186.1_342	CP168186.1	342	832	BREX__brxHI	5e-43	145.6	0.463	0.406	77	414
CP168186.1_574	CP168186.1	574	180	DarTG__DarG	1.4e-66	222.8	0.744	0.978	1	176
CP168186.1_734	CP168186.1	734	355	RM_Type_II__Type_II_MTases_FAM_38	6.6e-07	27.2	0.45	0.403	43	185
CP168186.1_825	CP168186.1	825	824	Dodola__DolB	5.3e-10	37.1	0.411	0.203	310	476
CP168186.1_832	CP168186.1	832	245	DEDDh_I_II_III_IV_V_VI_1	1.9e-35	120.6	0.994	0.665	4	166
CP168186.1_905	CP168186.1	905	623	Gabija__GajA	3.2e-80	268.8	0.985	0.995	1	620
CP168186.1_906	CP168186.1	906	406	Gabija__GajB_2	2.2e-48	163.5	0.451	0.732	8	304
CP168186.1_970	CP168186.1	970	212	DEDDh_I_II_III_IV_V_VI_1	2.5e-24	84.4	0.994	0.825	26	200
CP168186.1_1005	CP168186.1	1005	482	DEDDh_I_II_III_IV_V_VI_1	5.6e-17	60.6	0.975	0.373	6	185
CP168186.1_1019	CP168186.1	1019	1168	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	2e-11	41.8	0.646	0.406	657	1130
CP168186.1_1019	CP168186.1	1019	1168	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	2.8e-12	43.7	0.434	0.415	1	485
CP168186.1_1019	CP168186.1	1019	1168	Wadjet__JetC_I	7.7e-14	48.7	0.448	0.428	343	842
CP168186.1_1157	CP168186.1	1157	382	Dpd__DpdA	2.4e-07	28.0	0.52	0.545	141	348
CP168186.1_1220	CP168186.1	1220	299	WYL_I_II_III_IV_V_VI_4	3.2e-22	77.6	0.988	0.572	119	289
CP168186.1_1220	CP168186.1	1220	299	WYL_I_II_III_IV_V_VI_1	8.3e-43	145.3	0.901	0.967	2	290
CP168186.1_1228	CP168186.1	1228	1481	Shango__SngC	2.7000000000000003e-65	219.5	0.744	0.369	16	561
CP168186.1_1228	CP168186.1	1228	1481	BREX__brxHI	4.2e-70	235.1	0.726	0.369	6	552
CP168186.1_1393	CP168186.1	1393	1097	RM__Type_I_REases_FAM_0.einsi_trimmed	4.4999999999999995e-229	761.7	0.98	0.964	10	1067
CP168186.1_1394	CP168186.1	1394	402	RM__Type_I_S_52	3.9e-28	96.8	0.68	0.988	2	398
CP168186.1_1394	CP168186.1	1394	402	RM__Type_I_S_04	1.1e-40	138.5	0.761	0.983	2	396
CP168186.1_1394	CP168186.1	1394	402	RM__Type_I_S_51	9.299999999999999e-60	200.6	0.836	0.99	2	399
CP168186.1_1397	CP168186.1	1397	526	RM_Type_II__Type_II_MTases_FAM_29	5.2e-05	20.2	0.494	0.597	165	478
CP168186.1_1397	CP168186.1	1397	526	RM_Type_II__Type_II_MTases_FAM_13	7.3e-10	36.2	0.41	0.502	159	422
CP168186.1_1397	CP168186.1	1397	526	RM_Type_II__Type_II_MTases_FAM_14	4.9e-10	36.6	0.44	0.511	176	444
CP168186.1_1397	CP168186.1	1397	526	RM_Type_II__Type_II_MTases_FAM_6	1.4e-11	41.9	0.446	0.515	177	447
CP168186.1_1397	CP168186.1	1397	526	RM_Type_II__Type_II_MTases_FAM_33	2.5e-37	127.0	0.451	0.5	159	421
CP168186.1_1397	CP168186.1	1397	526	RM__Type_I_MTases_FAM_3	8.8e-56	187.6	0.68	0.856	10	459
CP168186.1_1397	CP168186.1	1397	526	PrrC__EcoprrI	5.8e-95	317.7	0.958	0.994	1	523
CP168186.1_1397	CP168186.1	1397	526	RM__Type_I_MTases_FAM_0	4.900000000000001e-162	538.6	0.992	0.99	4	524
CP168186.1_1546	CP168186.1	1546	415	Dnd__DndA	6.6e-35	119.0	0.865	0.819	34	373
CP168186.1_1608	CP168186.1	1608	521	DISARM__drmC	4.1e-14	51.0	0.479	0.261	329	464
CP168186.1_1983	CP168186.1	1983	269	CBASS__AG_E1_ThiF	1e-17	62.6	0.717	0.725	13	207
CP168186.1_2075	CP168186.1	2075	375	Veles__VlsB1	2.3e-113	377.3	0.959	0.941	18	370
CP168186.1_2075	CP168186.1	2075	375	Veles__VlsB2	2.2e-113	377.4	0.926	0.944	16	369
CP168186.1_2208	CP168186.1	2208	1450	Hypnos__HyoA	0.0	1390.6	0.992	0.979	6	1425
CP168186.1_2222	CP168186.1	2222	209	DarTG__DarT	2.8e-22	77.7	0.91	0.794	19	184
CP168186.1_2250	CP168186.1	2250	374	DS-1__DS-1A	8e-30	102.2	0.738	0.791	70	365
CP168186.1_2251	CP168186.1	2251	187	DS-1__DS-1B	1e-30	105.3	0.423	0.984	1	184
CP168186.1_2253	CP168186.1	2253	261	DS-1__DS-1B	3.1e-47	159.7	0.557	0.862	28	252
CP168186.1_2357	CP168186.1	2357	325	Zorya__ZorB	1.8e-06	25.7	0.596	0.468	119	270
CP168186.1_2408	CP168186.1	2408	370	Veles__VlsB1	1.4e-125	417.5	0.97	0.978	3	364
CP168186.1_2408	CP168186.1	2408	370	Veles__VlsB2	3.1e-128	426.3	0.933	0.978	2	363
CP168186.1_2444	CP168186.1	2444	761	Dodola__DolB	2.3000000000000002e-20	71.2	0.488	0.252	430	621
CP168186.1_2465	CP168186.1	2465	400	CBASS__AG_E1_ThiF	2.0000000000000002e-69	231.9	0.992	0.595	138	375
CP168186.1_2500	CP168186.1	2500	372	PD-Lambda-2__PD-Lambda-2_B	4.5e-35	119.5	0.789	0.882	20	347
CP168186.1_2513	CP168186.1	2513	2213	Mokosh_type_I__MkoA_D	5.7e-98	327.9	0.916	0.725	307	1911
CP168186.1_2513	CP168186.1	2513	2213	Prometheus__ProA	0.0	1086.3	0.527	0.434	1249	2209
CP168186.1_2549	CP168186.1	2549	167	CBASS__Jab	5.1e-37	125.5	0.64	0.802	9	142
CP168186.1_2550	CP168186.1	2550	576	CBASS__AG_E2_Prok-E2_B	4.9e-08	31.0	0.709	0.16	63	154
CP168186.1_2550	CP168186.1	2550	576	CBASS__AG_E1_ThiF	3.8999999999999995e-22	77.0	0.492	0.212	320	441
CP168186.1_2551	CP168186.1	2551	348	CBASS__Cyclase_II	2e-42	143.7	0.882	0.851	11	306
CP168186.1_2552	CP168186.1	2552	362	CBASS__Phospholipase	1.6e-81	272.4	0.915	0.928	2	337
CP168186.1_2553	CP168186.1	2553	298	WYL_I_II_III_IV_V_VI_4	4.3e-12	44.7	0.599	0.409	130	251
CP168186.1_2660	CP168186.1	2660	155	Veles__VlsC1	4e-37	125.8	0.959	0.974	2	152
CP168186.1_2660	CP168186.1	2660	155	Veles__VlsC2	2.3e-37	126.6	0.953	0.961	3	151
CP168186.1_2714	CP168186.1	2714	372	PD-Lambda-2__PD-Lambda-2_B	4.5e-35	119.5	0.789	0.882	20	347
CP168186.1_2734	CP168186.1	2734	195	DEDDh_I_II_III_IV_V_VI_1	2.8e-10	38.8	0.956	0.805	12	168
CP168186.1_2744	CP168186.1	2744	67	MADS__mad1	2.5e-13	48.0	0.817	0.866	8	65
CP168186.1_2773	CP168186.1	2773	669	csf4_IV-A_1	2e-32	110.8	0.402	0.396	25	289
