replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
JBEGGB010000048.1	JBEGGB010000048.1_19	Wadjet__JetA_I	2410	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	JBEGGB010000048.1_Wadjet_I_12	1	1	0.75	3.0	1	Wadjet__JetA_I	mandatory	490	1.7e-155	516.8	0.994	0.992	2	487		JBEGGB010000048.1_Wadjet_11	Wadjet	Wadjet_I	Defense
JBEGGB010000048.1	JBEGGB010000048.1_20	Wadjet__JetB_I	2411	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	JBEGGB010000048.1_Wadjet_I_12	1	1	0.75	3.0	1	Wadjet__JetB_I	mandatory	234	1.2e-66	222.5	0.843	0.979	1	229		JBEGGB010000048.1_Wadjet_11	Wadjet	Wadjet_I	Defense
JBEGGB010000048.1	JBEGGB010000048.1_21	Wadjet__JetC_I	2412	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	JBEGGB010000048.1_Wadjet_I_12	1	1	0.75	3.0	1	Wadjet__JetC_I	mandatory	1355	0.0	1180.2	0.994	0.81	25	1122		JBEGGB010000048.1_Wadjet_11	Wadjet	Wadjet_I	Defense
JBEGGB010000051.1	JBEGGB010000051.1_20	Zorya_III__ZorG3	2485	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	JBEGGB010000051.1_Zorya_TypeIII_3	1	1	1.0	4.0	1	Zorya_III__ZorG3	mandatory	246	1.2e-93	311.6	0.892	0.992	1	244			Zorya	Zorya_TypeIII	Defense
JBEGGB010000051.1	JBEGGB010000051.1_21	Zorya__ZorA	2486	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	JBEGGB010000051.1_Zorya_TypeIII_3	1	1	1.0	4.0	1	Zorya__ZorA2	mandatory	902	6.4e-06	23.2	0.695	0.579	120	641			Zorya	Zorya_TypeIII	Defense
JBEGGB010000051.1	JBEGGB010000051.1_22	Zorya__ZorB	2487	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	JBEGGB010000051.1_Zorya_TypeIII_3	1	1	1.0	4.0	1	Zorya__ZorB	mandatory	225	2.2e-15	54.8	0.838	0.893	7	207			Zorya	Zorya_TypeIII	Defense
JBEGGB010000051.1	JBEGGB010000051.1_23	Zorya_III__ZorF3	2488	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	JBEGGB010000051.1_Zorya_TypeIII_3	1	1	1.0	4.0	1	Zorya_III__ZorF3	mandatory	217	9.900000000000001e-81	269.3	0.819	0.977	1	212			Zorya	Zorya_TypeIII	Defense
JBEGGB010000057.1	JBEGGB010000057.1_23	Prometheus__ProA	2662	defense-finder-models/DefenseFinder/Prometheus/Prometheus	JBEGGB010000057.1_Prometheus_17	1	1	1.0	1.0	1	Prometheus__ProA	mandatory	2213	0.0	1086.3	0.527	0.434	1249	2209			Prometheus	Prometheus	Defense
JBEGGB010000072.1	JBEGGB010000072.1_28	CBASS__Jab	3061	defense-finder-models/DefenseFinder/CBASS/CBASS_II	JBEGGB010000072.1_CBASS_II_7	1	1	1.0	3.0	1	CBASS__E2	mandatory	167	4.6e-37	125.5	0.64	0.802	9	142		JBEGGB010000072.1_CBASS_5	CBASS	CBASS_II	Defense
JBEGGB010000072.1	JBEGGB010000072.1_29	CBASS__AG_E1_ThiF	3062	defense-finder-models/DefenseFinder/CBASS/CBASS_II	JBEGGB010000072.1_CBASS_II_7	1	1	1.0	3.0	1	CBASS__E2	mandatory	576	3.5000000000000005e-22	77.0	0.492	0.212	320	441		JBEGGB010000072.1_CBASS_5	CBASS	CBASS_II	Defense
JBEGGB010000072.1	JBEGGB010000072.1_30	CBASS__Cyclase_II	3063	defense-finder-models/DefenseFinder/CBASS/CBASS_II	JBEGGB010000072.1_CBASS_II_7	1	1	1.0	3.0	1	CBASS__Cyclase_SMODS	mandatory	348	1.8e-42	143.7	0.882	0.851	11	306		JBEGGB010000072.1_CBASS_5,JBEGGB010000072.1_CBASS_I_6	CBASS	CBASS_II	Defense
JBEGGB010000072.1	JBEGGB010000072.1_31	CBASS__Phospholipase	3064	defense-finder-models/DefenseFinder/CBASS/CBASS_II	JBEGGB010000072.1_CBASS_II_7	1	1	1.0	3.0	1	CBASS__Effector_2TM_S_2TMBeta	mandatory	362	1.4e-81	272.4	0.915	0.928	2	337		JBEGGB010000072.1_CBASS_5,JBEGGB010000072.1_CBASS_I_6	CBASS	CBASS_II	Defense
JBEGGB010000095.1	JBEGGB010000095.1_6	HEC-09__HEC-09	3518	defense-finder-models/DefenseFinder/HEC-09/HEC-09	JBEGGB010000095.1_HEC-09_15	1	1	1.0	1.0	1	HEC-09__HEC-09	mandatory	234	2.4e-36	123.2	0.805	0.979	5	233			HEC-09	HEC-09	Defense
JBEGGB010000106.1	JBEGGB010000106.1_6	SoFic__SoFic	3710	defense-finder-models/DefenseFinder/SoFIC/SoFic	JBEGGB010000106.1_SoFic_18	1	1	1.0	1.0	1	SoFic__SoFic	mandatory	385	9.7e-122	404.7	0.981	0.909	18	367			SoFIC	SoFic	Defense
JBEGGB010000132.1	JBEGGB010000132.1_6	6A_MBL__MblB	4056	defense-finder-models/DefenseFinder/6A_MBL/6A_MBL	JBEGGB010000132.1_6A_MBL_14	1	1	1.0	2.0	1	6A_MBL__MblB	mandatory	387	4.3e-43	145.5	0.966	0.956	5	374			6A_MBL	6A_MBL	Defense
JBEGGB010000132.1	JBEGGB010000132.1_7	6A_MBL__cap2_3	4057	defense-finder-models/DefenseFinder/6A_MBL/6A_MBL	JBEGGB010000132.1_6A_MBL_14	1	1	1.0	2.0	1	6A_MBL__cap2_3	mandatory	747	2.7e-50	169.2	0.535	0.521	352	740			6A_MBL	6A_MBL	Defense
JBEGGB010000137.1	JBEGGB010000137.1_12	DS-1__DS-1A	4105	defense-finder-models/DefenseFinder/DS-1/DS-1	JBEGGB010000137.1_DS-1_4	1	1	1.0	2.0	1	DS-1__DS-1A	mandatory	389	8.4e-30	102.0	0.738	0.761	85	380			DS-1	DS-1	Defense
JBEGGB010000137.1	JBEGGB010000137.1_13	DS-1__DS-1B	4106	defense-finder-models/DefenseFinder/DS-1/DS-1	JBEGGB010000137.1_DS-1_4	1	1	1.0	2.0	1	DS-1__DS-1B	mandatory	187	9.2e-31	105.3	0.423	0.984	1	184			DS-1	DS-1	Defense
