sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JAYIPR010000001.1_RM_Type_I_15	RM	RM_Type_I	Defense	JAYIPR010000001.1_131	JAYIPR010000001.1_134	JAYIPR010000001.1_131,JAYIPR010000001.1_132,JAYIPR010000001.1_134	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JAYIPR010000003.1_RM_Type_I_17	RM	RM_Type_I	Defense	JAYIPR010000003.1_161	JAYIPR010000003.1_164	JAYIPR010000003.1_161,JAYIPR010000003.1_164	2	RM__Type_I_MTases_FAM_3,RM__Type_I_REases_FAM_1.einsi_trimmed
JAYIPR010000005.1_SoFic_9	SoFIC	SoFic	Defense	JAYIPR010000005.1_42	JAYIPR010000005.1_42	JAYIPR010000005.1_42	1	SoFic__SoFic
JAYIPR010000009.1_SoFic_11	SoFIC	SoFic	Defense	JAYIPR010000009.1_52	JAYIPR010000009.1_52	JAYIPR010000009.1_52	1	SoFic__SoFic
JAYIPR010000013.1_PrrC_18	PrrC	PrrC	Defense	JAYIPR010000013.1_48	JAYIPR010000013.1_52	JAYIPR010000013.1_48,JAYIPR010000013.1_50,JAYIPR010000013.1_51,JAYIPR010000013.1_52	4	PrrC__PrrC,RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JAYIPR010000021.1_RM_Type_IV_13	RM	RM_Type_IV	Defense	JAYIPR010000021.1_1	JAYIPR010000021.1_2	JAYIPR010000021.1_1,JAYIPR010000021.1_2	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
JAYIPR010000022.1_CBASS_I_5	CBASS	CBASS_I	Defense	JAYIPR010000022.1_53	JAYIPR010000022.1_54	JAYIPR010000022.1_53,JAYIPR010000022.1_54	2	CBASS__Cyclase_new,CBASS__Effector_2TM_S_2TMBeta
JAYIPR010000022.1_Gao_TerY_6	Gao_TerY	Gao_TerY	Defense	JAYIPR010000022.1_56	JAYIPR010000022.1_58	JAYIPR010000022.1_56,JAYIPR010000022.1_57,JAYIPR010000022.1_58	3	Gao_TerY__TerYA,Gao_TerY__TerYB,Gao_TerY__TerYC
JAYIPR010000027.1_Gao_Ppl_2	Gao_Ppl	Gao_Ppl	Defense	JAYIPR010000027.1_39	JAYIPR010000027.1_39	JAYIPR010000027.1_39	1	Gao_Ppl__PplA
JAYIPR010000028.1_Prometheus_3	Prometheus	Prometheus	Defense	JAYIPR010000028.1_55	JAYIPR010000028.1_55	JAYIPR010000028.1_55	1	Prometheus__ProA
JAYIPR010000036.1_AbiD_10	AbiD	AbiD	Defense	JAYIPR010000036.1_13	JAYIPR010000036.1_13	JAYIPR010000036.1_13	1	AbiD__AbiD
JAYIPR010000043.1_Wadjet_I_8	Wadjet	Wadjet_I	Defense	JAYIPR010000043.1_17	JAYIPR010000043.1_20	JAYIPR010000043.1_17,JAYIPR010000043.1_18,JAYIPR010000043.1_20	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
JAYIPR010000044.1_Zorya_TypeIII_12	Zorya	Zorya_TypeIII	Defense	JAYIPR010000044.1_20	JAYIPR010000044.1_23	JAYIPR010000044.1_20,JAYIPR010000044.1_21,JAYIPR010000044.1_23	3	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorB
JAYIPR010000075.1_AbiE_1	AbiE	AbiE	Defense	JAYIPR010000075.1_3	JAYIPR010000075.1_4	JAYIPR010000075.1_3,JAYIPR010000075.1_4	2	AbiEii__AbiEi_3,AbiEii__AbiEii
