seq_name	chromosome_score	plasmid_score	virus_score
JBEFUX010000001.1	1.0000	0.0000	0.0000
JBEFUX010000002.1	0.9999	0.0001	0.0000
JBEFUX010000003.1	1.0000	0.0000	0.0000
JBEFUX010000004.1	0.9999	0.0001	0.0000
JBEFUX010000005.1	0.9995	0.0005	0.0000
JBEFUX010000006.1	1.0000	0.0000	0.0000
JBEFUX010000007.1	0.9998	0.0002	0.0000
JBEFUX010000008.1	0.9997	0.0003	0.0000
JBEFUX010000009.1	0.9997	0.0003	0.0000
JBEFUX010000010.1	1.0000	0.0000	0.0000
JBEFUX010000011.1	0.9998	0.0002	0.0000
JBEFUX010000012.1	1.0000	0.0000	0.0000
JBEFUX010000013.1	1.0000	0.0000	0.0000
JBEFUX010000014.1	0.9996	0.0004	0.0000
JBEFUX010000015.1	0.9997	0.0003	0.0000
JBEFUX010000016.1	1.0000	0.0000	0.0000
JBEFUX010000017.1	0.9997	0.0003	0.0000
JBEFUX010000018.1	1.0000	0.0000	0.0000
JBEFUX010000019.1	0.9999	0.0001	0.0000
JBEFUX010000020.1	0.9997	0.0003	0.0000
JBEFUX010000021.1	0.9995	0.0005	0.0000
JBEFUX010000022.1	1.0000	0.0000	0.0000
JBEFUX010000023.1	0.9999	0.0001	0.0000
JBEFUX010000024.1	1.0000	0.0000	0.0000
JBEFUX010000025.1	0.9999	0.0001	0.0000
JBEFUX010000026.1	1.0000	0.0000	0.0000
JBEFUX010000027.1	0.6389	0.3611	0.0000
JBEFUX010000028.1	0.9957	0.0043	0.0000
JBEFUX010000029.1	0.9998	0.0002	0.0000
JBEFUX010000030.1	1.0000	0.0000	0.0000
JBEFUX010000031.1	0.2210	0.7790	0.0000
JBEFUX010000032.1	0.9997	0.0003	0.0000
JBEFUX010000033.1	0.9965	0.0035	0.0000
JBEFUX010000034.1	0.9996	0.0004	0.0000
JBEFUX010000035.1	0.9984	0.0016	0.0000
JBEFUX010000036.1	0.9612	0.0388	0.0000
JBEFUX010000037.1	0.8001	0.1999	0.0000
JBEFUX010000038.1	0.9990	0.0010	0.0000
JBEFUX010000039.1	1.0000	0.0000	0.0000
JBEFUX010000040.1	0.2771	0.7229	0.0000
JBEFUX010000041.1	0.1211	0.8789	0.0000
JBEFUX010000042.1	1.0000	0.0000	0.0000
JBEFUX010000043.1	1.0000	0.0000	0.0000
JBEFUX010000044.1	0.8941	0.1058	0.0000
JBEFUX010000045.1	0.8923	0.1077	0.0000
JBEFUX010000046.1	0.9991	0.0009	0.0000
JBEFUX010000047.1	0.3138	0.6862	0.0000
JBEFUX010000048.1	1.0000	0.0000	0.0000
JBEFUX010000049.1	0.8909	0.0678	0.0413
JBEFUX010000050.1	0.9998	0.0000	0.0002
JBEFUX010000051.1	0.0386	0.9613	0.0001
JBEFUX010000052.1	0.0013	0.9987	0.0000
JBEFUX010000053.1	0.6584	0.2132	0.1284
JBEFUX010000054.1	0.6993	0.3006	0.0000
JBEFUX010000055.1	0.9331	0.0668	0.0001
JBEFUX010000056.1	0.0007	0.9990	0.0003
JBEFUX010000057.1	0.8298	0.0149	0.1553
JBEFUX010000058.1	0.6228	0.0125	0.3647
JBEFUX010000059.1	0.5739	0.4253	0.0008
JBEFUX010000060.1	0.8053	0.1457	0.0490
JBEFUX010000061.1	0.6155	0.3842	0.0003
JBEFUX010000062.1	0.0003	0.9997	0.0000
JBEFUX010000063.1	0.7791	0.2199	0.0010
JBEFUX010000064.1	0.0052	0.9948	0.0000
JBEFUX010000065.1	0.0004	0.9995	0.0001
JBEFUX010000066.1	0.5293	0.0723	0.3984
JBEFUX010000067.1	0.1740	0.8259	0.0001
JBEFUX010000068.1	0.6516	0.1240	0.2245
JBEFUX010000069.1	0.0002	0.9998	0.0000
JBEFUX010000070.1	0.0009	0.9990	0.0001
JBEFUX010000071.1	0.9160	0.0407	0.0433
JBEFUX010000072.1	0.5426	0.2128	0.2446
JBEFUX010000073.1	0.4739	0.2298	0.2963
JBEFUX010000074.1	0.7558	0.1847	0.0595
JBEFUX010000075.1	0.4695	0.2351	0.2955
JBEFUX010000076.1	0.7245	0.2105	0.0649
JBEFUX010000077.1	0.4520	0.2406	0.3074
JBEFUX010000078.1	0.8872	0.1095	0.0033
JBEFUX010000079.1	0.4943	0.2066	0.2991
JBEFUX010000080.1	0.0360	0.0014	0.9626
JBEFUX010000081.1	0.7094	0.0335	0.2571
JBEFUX010000082.1	0.7476	0.1064	0.1459
JBEFUX010000083.1	0.0005	0.9994	0.0001
JBEFUX010000084.1	0.6890	0.0569	0.2540
JBEFUX010000085.1	0.8239	0.0217	0.1544
JBEFUX010000086.1	0.7684	0.1141	0.1175
JBEFUX010000087.1	0.5434	0.2006	0.2560
JBEFUX010000088.1	0.8883	0.0114	0.1003
JBEFUX010000089.1	0.6154	0.0288	0.3558
JBEFUX010000090.1	0.0003	0.9997	0.0000
JBEFUX010000091.1	0.6151	0.0308	0.3542
JBEFUX010000092.1	0.6993	0.0544	0.2463
JBEFUX010000093.1	0.0015	0.9955	0.0029
JBEFUX010000094.1	0.5928	0.1768	0.2304
JBEFUX010000095.1	0.6557	0.3406	0.0037
JBEFUX010000096.1	0.7892	0.2099	0.0010
JBEFUX010000097.1	0.0003	0.9997	0.0000
JBEFUX010000098.1	0.5909	0.0276	0.3815
