gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
JAYIVB010000044.1_1	1332	1808	477	1	0.516	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_2	1879	2664	786	1	0.669	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_3	2690	5062	2373	1	0.647	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_4	5220	5531	312	1	0.615	11	GGA/GAG/AGG	GENOMAD.020425.PP	3.087e-17	78	0	1	0	1	NA	T_virB2	NA	PF04956;K03197;COG3838	TrbC/VIRB2 pilin
JAYIVB010000044.1_5	5544	5885	342	1	0.582	11	GGAG/GAGG	GENOMAD.048140.PP	2.856e-22	93	0	1	0	1	NA	T_virB3	NA	PF05101;K03198;COG3702	Type IV secretory pathway, VirB3 components
JAYIVB010000044.1_6	5891	8380	2490	1	0.592	11	GGA/GAG/AGG	GENOMAD.108687.PC	7.119e-135	453	0	1	0	1	NA	virb4	NA	PF19044;PF03135;PF05101;K03199;TIGR00929;COG3451	type IV secretion/conjugal transfer ATPase, VirB4 family
JAYIVB010000044.1_7	8393	8551	159	1	0.509	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_8	8564	9274	711	1	0.617	11	GGAG/GAGG	GENOMAD.066491.PP	5.946e-42	156	0	1	0	1	NA	T_virB5	NA	PF07996;K03200;TIGR02791;COG5314	Type IV secretion system proteins
JAYIVB010000044.1_9	9324	9599	276	1	0.612	11	GGAG/GAGG	GENOMAD.081565.PP	1.562e-26	104	0	0	0	1	NA	NA	NA	PF16342;K12084;TIGR04359;COG5567	entry exclusion lipoprotein TrbK
JAYIVB010000044.1_10	9600	10697	1098	1	0.598	11	GGAG/GAGG	GENOMAD.105811.PC	1.257e-19	94	0	1	0	1	NA	T_virB6	NA	K03201;COG3704	Type IV secretory pathway, VirB6 components
JAYIVB010000044.1_11	10822	10992	171	1	0.632	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_12	10995	11750	756	1	0.626	11	AGxAGG/AGGxGG	GENOMAD.094265.PC	4.319e-43	160	0	1	0	1	NA	T_virB8	NA	PF04335;K12081;COG3736;TIGR03781	VirB8 protein
JAYIVB010000044.1_13	11747	12625	879	1	0.611	11	GGAGG	GENOMAD.110958.PC	1.137e-49	181	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
JAYIVB010000044.1_14	12625	13755	1131	1	0.645	11	GGAG/GAGG	GENOMAD.106752.PC	5.597e-56	203	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_15	13871	14854	984	1	0.608	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_16	15057	17780	2724	1	0.616	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_17	17874	18500	627	1	0.632	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_18	18512	20188	1677	1	0.645	11	AGxAGG/AGGxGG	GENOMAD.053931.PP	2.269e-33	140	0	0	0	1	NA	NA	NA	PF18821	Large polyvalent protein-associated domain 7
JAYIVB010000044.1_19	20403	20963	561	1	0.665	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_20	20993	21595	603	1	0.629	11	GGAGG	GENOMAD.045648.PP	2.584e-54	190	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_21	21646	22749	1104	-1	0.659	11	GGA/GAG/AGG	GENOMAD.076695.PP	8.972e-32	131	0	1	0	1	NA	MOBP1	NA	PF03432;K18434;COG3843	Type IV secretory pathway, VirD2 components (relaxase)
JAYIVB010000044.1_22	22746	23264	519	-1	0.626	11	4Base/6BMM	GENOMAD.100169.PC	5.468e-84	274	0	1	0	1	NA	NA	NA	PF07328;COG4877	T-DNA border endonuclease VirD1
JAYIVB010000044.1_23	23977	25113	1137	-1	0.609	11	GGAGG	GENOMAD.093512.PP	6.021e-18	89	0	0	0	1	NA	NA	NA	PF06613	KorB C-terminal beta-barrel domain
JAYIVB010000044.1_24	25106	25966	861	-1	0.591	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_25	25963	26358	396	-1	0.576	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_26	26355	26726	372	-1	0.573	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYIVB010000044.1_27	28019	28843	825	-1	0.705	11	None	GENOMAD.023008.PP	4.304e-154	482	0	1	0	1	NA	NA	NA	PF02387	NA
