seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
JAYIWB010000001.1	265	5	1	1	11	0.3295	0.8508	0.2830	0.0000	0.7170	0.0000	0.0340	0.2943	0.0189	0.0377	0.0075	0.0000	0.0151	0.0038	0.0113	0.3472	0.0453	0.0302	0.7787	0.6015	0.0000	0.0000	0.0000	0.0000	0.0000	31.9232	-68.9549	-274.8051
JAYIWB010000002.1	222	6	2	0	11	0.3032	0.8580	0.2703	0.0000	0.7297	0.0000	0.0450	0.2703	0.0225	0.0586	0.0045	0.0000	0.0045	0.0000	0.0090	0.3378	0.0631	0.0135	0.7953	0.5971	0.0000	0.0000	0.0000	0.0000	0.0000	37.7248	-55.4912	-233.9574
JAYIWB010000003.1	200	3	0	0	11	0.2864	0.8524	0.2550	0.0000	0.7450	0.0000	0.0700	0.3050	0.0400	0.0500	0.0000	0.0000	0.0100	0.0000	0.0100	0.4150	0.0500	0.0200	0.7780	0.6083	0.0000	0.0000	0.0000	0.0000	0.0050	39.0929	-66.9487	-240.8147
JAYIWB010000004.1	198	2	0	1	11	0.2487	0.8820	0.3182	0.0000	0.6818	0.0000	0.0505	0.3131	0.0253	0.0556	0.0000	0.0000	0.0101	0.0000	0.0152	0.3889	0.0556	0.0253	0.7951	0.5697	0.0000	0.0000	0.0000	0.0000	0.0000	35.9861	-62.7044	-229.9151
JAYIWB010000005.1	148	0	0	0	11	0.3401	0.8448	0.3243	0.0000	0.6757	0.0000	0.0676	0.3108	0.0135	0.0811	0.0135	0.0000	0.0000	0.0000	0.0000	0.3919	0.0946	0.0000	0.7764	0.6302	0.0000	0.0000	0.0000	0.0000	0.0000	21.8581	-25.8751	-193.0322
JAYIWB010000006.1	122	1	0	0	11	0.2975	0.8519	0.2541	0.0000	0.7459	0.0000	0.0738	0.2623	0.0246	0.0410	0.0082	0.0000	0.0082	0.0000	0.0000	0.3607	0.0492	0.0082	0.7991	0.5983	0.0000	0.0000	0.0000	0.0000	0.0000	25.3203	-33.7324	-131.0620
JAYIWB010000007.1	127	0	0	0	11	0.3095	0.8810	0.3071	0.0000	0.6929	0.0000	0.0157	0.3465	0.0315	0.0630	0.0000	0.0000	0.0079	0.0079	0.0315	0.3937	0.0630	0.0472	0.7669	0.6218	0.0000	0.0000	0.0000	0.0002	0.0079	4.5297	-31.4897	-153.9503
JAYIWB010000008.1	127	2	0	0	11	0.3492	0.8322	0.2598	0.0000	0.7402	0.0000	0.0551	0.2913	0.0551	0.0315	0.0079	0.0000	0.0157	0.0000	0.0079	0.4016	0.0394	0.0236	0.7868	0.6096	0.0000	0.0000	0.0000	0.0000	0.0000	25.0361	-47.8105	-139.7261
JAYIWB010000009.1	126	0	1	0	11	0.4080	0.8244	0.2222	0.0000	0.7778	0.0000	0.0317	0.2143	0.0159	0.1270	0.0000	0.0000	0.0079	0.0000	0.0238	0.2619	0.1270	0.0317	0.7433	0.6573	0.0000	0.0000	0.0000	0.1280	0.0079	-3.2364	-12.9929	-129.4873
JAYIWB010000010.1	99	1	1	0	11	0.2755	0.8742	0.3434	0.0000	0.6566	0.0000	0.1010	0.3232	0.0101	0.0808	0.0000	0.0000	0.0303	0.0000	0.0202	0.4343	0.0808	0.0505	0.7663	0.5783	0.0000	0.0000	0.0000	0.0000	0.0101	17.0204	-36.5647	-131.6852
JAYIWB010000011.1	89	1	0	0	11	0.2841	0.8620	0.2921	0.0000	0.7079	0.0000	0.0337	0.1685	0.0337	0.0449	0.0000	0.0000	0.0225	0.0000	0.0112	0.2360	0.0449	0.0337	0.8122	0.5449	0.0000	0.0000	0.0042	0.0008	0.0000	7.9069	-25.0723	-59.9209
JAYIWB010000012.1	96	1	0	0	11	0.2842	0.8720	0.3229	0.0000	0.6771	0.0000	0.0417	0.2708	0.0104	0.0417	0.0000	0.0000	0.0208	0.0000	0.0104	0.3229	0.0417	0.0312	0.7699	0.6071	0.0000	0.0000	0.0000	0.0003	0.0000	11.4070	-24.4754	-92.4696
JAYIWB010000013.1	87	0	0	0	11	0.2674	0.8635	0.3103	0.0000	0.6897	0.0000	0.1379	0.3448	0.0460	0.0460	0.0000	0.0000	0.0000	0.0000	0.0000	0.5287	0.0460	0.0000	0.8078	0.5895	0.0000	0.0000	0.0000	0.0000	0.0000	31.5653	-36.6188	-127.0020
JAYIWB010000014.1	76	0	0	0	11	0.4400	0.8666	0.3816	0.0000	0.6184	0.0000	0.0263	0.4211	0.0000	0.0395	0.0000	0.0000	0.0132	0.0000	0.0000	0.4474	0.0395	0.0132	0.7989	0.5987	0.0000	0.0000	0.0000	0.0007	0.0000	13.0568	-16.8104	-107.3163
JAYIWB010000015.1	76	4	0	0	11	0.2000	0.8751	0.3158	0.0000	0.6842	0.0000	0.0526	0.2237	0.0658	0.0789	0.0000	0.0000	0.0263	0.0000	0.0000	0.3421	0.0789	0.0263	0.7610	0.6135	0.0000	0.0000	0.0001	0.0004	0.0000	11.2334	-25.5216	-81.4150
JAYIWB010000016.1	83	2	0	0	11	0.2195	0.8744	0.2771	0.0000	0.7229	0.0000	0.0361	0.2651	0.0120	0.0482	0.0241	0.0120	0.0120	0.0000	0.0120	0.3133	0.0843	0.0241	0.8249	0.5652	0.0000	0.0000	0.0000	0.0015	0.0000	8.2659	-18.8291	-84.8534
JAYIWB010000017.1	74	0	0	0	11	0.4247	0.7792	0.3784	0.0000	0.6216	0.0000	0.0270	0.2703	0.0135	0.0135	0.0000	0.0000	0.0000	0.0000	0.0000	0.3108	0.0135	0.0000	0.7561	0.6545	0.0000	0.0000	0.0000	0.0394	0.0000	5.8033	-7.7775	-68.4261
JAYIWB010000018.1	68	0	0	2	11	0.2985	0.8410	0.2500	0.0000	0.7500	0.0000	0.0441	0.2647	0.0735	0.0588	0.0147	0.0000	0.0441	0.0147	0.0147	0.3824	0.0735	0.0735	0.8045	0.5576	0.0000	0.0000	0.0023	0.0001	0.0000	8.3095	-33.5010	-72.7973
JAYIWB010000019.1	77	0	0	0	11	0.2763	0.8863	0.4026	0.0000	0.5974	0.0000	0.0909	0.2208	0.0260	0.0130	0.0000	0.0000	0.0519	0.0000	0.0130	0.3377	0.0130	0.0649	0.8124	0.3730	0.0000	0.0000	0.0246	0.0000	0.0000	17.9729	-37.7207	-63.9350
JAYIWB010000020.1	77	1	0	0	11	0.2368	0.8804	0.4026	0.0000	0.5974	0.0000	0.0390	0.3377	0.0260	0.0519	0.0000	0.0000	0.0000	0.0000	0.0000	0.4026	0.0519	0.0000	0.7992	0.6010	0.0000	0.0000	0.0000	0.0001	0.0000	16.2858	-20.8815	-95.1202
JAYIWB010000021.1	55	0	0	1	11	0.3333	0.8501	0.3273	0.0000	0.6727	0.0000	0.0909	0.3273	0.0182	0.0364	0.0000	0.0000	0.0000	0.0000	0.0545	0.4364	0.0364	0.0545	0.7846	0.5835	0.0000	0.0000	0.0017	0.0005	0.0000	9.0047	-21.4142	-65.1975
JAYIWB010000022.1	61	0	17	0	11	0.2500	0.8793	0.1311	0.0000	0.8689	0.0000	0.0164	0.0984	0.0164	0.3607	0.1148	0.0000	0.0000	0.0000	0.0164	0.1311	0.4754	0.0164	0.3512	0.9358	0.0000	0.0001	0.0000	1.0000	0.0000	-32.0643	27.3399	-90.2454
JAYIWB010000023.1	54	0	0	0	11	0.2830	0.8322	0.2037	0.0000	0.7963	0.0000	0.0556	0.3704	0.0000	0.0000	0.0000	0.0185	0.0185	0.0000	0.0000	0.4259	0.0185	0.0185	0.7834	0.6216	0.0000	0.0000	0.0002	0.0029	0.0000	9.2273	-14.2538	-65.2739
JAYIWB010000024.1	61	3	0	0	11	0.2500	0.8544	0.3279	0.0000	0.6721	0.0000	0.0984	0.2787	0.0328	0.0984	0.0000	0.0000	0.0328	0.0000	0.0000	0.4098	0.0984	0.0328	0.8272	0.5393	0.0000	0.0000	0.0001	0.0002	0.0000	14.4003	-23.5804	-79.5946
JAYIWB010000025.1	59	1	0	0	11	0.1897	0.8659	0.2203	0.0000	0.7797	0.0000	0.0508	0.3559	0.0339	0.0169	0.0000	0.0169	0.0339	0.0000	0.0169	0.4407	0.0339	0.0508	0.7846	0.5977	0.0000	0.0000	0.0004	0.0009	0.0000	7.8644	-22.2764	-72.0241
JAYIWB010000026.1	58	0	0	0	11	0.3860	0.8855	0.3276	0.0000	0.6724	0.0000	0.1379	0.3448	0.0172	0.0172	0.0000	0.0000	0.0517	0.0000	0.0517	0.5000	0.0172	0.1034	0.8849	0.3111	0.0000	0.0000	0.0783	0.0000	0.0517	20.1995	-42.6895	-67.5337
JAYIWB010000027.1	60	3	6	1	11	0.1356	0.8938	0.1333	0.0000	0.8667	0.0000	0.1333	0.2667	0.0500	0.0667	0.0500	0.0000	0.0000	0.0167	0.0333	0.4500	0.1167	0.0500	0.8511	0.5107	0.0000	0.0000	0.0002	0.0001	0.0000	10.5845	-26.0726	-76.3916
JAYIWB010000028.1	48	0	0	0	11	0.2553	0.8690	0.3333	0.0000	0.6667	0.0000	0.0417	0.3125	0.0000	0.0000	0.0208	0.0000	0.0000	0.0000	0.0208	0.3542	0.0208	0.0208	0.7693	0.6307	0.0000	0.0001	0.0011	0.0831	0.0000	2.9779	-6.7546	-48.6791
JAYIWB010000029.1	53	1	0	0	11	0.2500	0.8815	0.2830	0.0000	0.7170	0.0000	0.0755	0.2264	0.0755	0.0000	0.0000	0.0000	0.0566	0.0000	0.0000	0.3774	0.0000	0.0566	0.8419	0.4667	0.0000	0.0000	0.0635	0.0001	0.0000	12.5426	-29.4320	-46.1529
JAYIWB010000030.1	46	1	0	0	11	0.2889	0.8715	0.3261	0.0000	0.6739	0.0000	0.0217	0.3043	0.0217	0.0435	0.0000	0.0000	0.0435	0.0000	0.0000	0.3478	0.0435	0.0435	0.7895	0.5901	0.0000	0.0000	0.0047	0.0082	0.0000	6.4678	-15.2739	-49.4546
JAYIWB010000031.1	46	1	0	0	11	0.2444	0.8806	0.2609	0.0000	0.7391	0.0000	0.0652	0.1957	0.0000	0.0435	0.0000	0.0000	0.0000	0.0000	0.0217	0.2609	0.0435	0.0217	0.7572	0.5129	0.0000	0.0004	0.0138	0.0292	0.0000	5.2928	-8.7293	-36.1347
JAYIWB010000032.1	53	1	0	0	11	0.3462	0.7940	0.3396	0.0000	0.6604	0.0000	0.0189	0.2264	0.0189	0.1321	0.0189	0.0000	0.0000	0.0000	0.0000	0.2642	0.1509	0.0000	0.6643	0.7474	0.0000	0.0000	0.0000	0.2549	0.0000	1.6287	-3.5006	-60.5657
JAYIWB010000033.1	43	0	0	0	11	0.2619	0.8969	0.4186	0.0000	0.5814	0.0000	0.0000	0.4419	0.0233	0.0698	0.0000	0.0000	0.0000	0.0000	0.0000	0.4651	0.0698	0.0000	0.7486	0.6630	0.0000	0.0000	0.0000	0.1758	0.0000	2.6900	-4.1168	-67.8770
JAYIWB010000034.1	53	0	0	8	11	0.3462	0.8926	0.3019	0.0000	0.6981	0.0000	0.0377	0.2453	0.0000	0.0000	0.0189	0.0000	0.0000	0.1698	0.1132	0.2830	0.0189	0.2830	0.0524	0.2676	0.1216	0.9020	0.9955	0.0396	0.0000	-23.5509	-31.9387	-21.8378
