replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
JAYIMT010000001.1	JAYIMT010000001.1_70	RM__Type_I_MTases_FAM_0	70	defense-finder-models/RM/RM/RM_Type_I	JAYIMT010000001.1_RM_Type_I_18	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	503	2.8000000000000002e-167	555.6	0.992	0.99	4	501		JAYIMT010000001.1_PrrC_17	RM	RM_Type_I	Defense
JAYIMT010000001.1	JAYIMT010000001.1_73	RM__Type_I_S_51	73	defense-finder-models/RM/RM/RM_Type_I	JAYIMT010000001.1_RM_Type_I_18	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	211	3.2e-26	89.7	0.412	0.962	5	207		JAYIMT010000001.1_PrrC_17	RM	RM_Type_I	Defense
JAYIMT010000001.1	JAYIMT010000001.1_74	RM__Type_I_REases_FAM_0.einsi_trimmed	74	defense-finder-models/RM/RM/RM_Type_I	JAYIMT010000001.1_RM_Type_I_18	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1097	4.6e-230	764.6	0.98	0.964	10	1067		JAYIMT010000001.1_PrrC_17	RM	RM_Type_I	Defense
JAYIMT010000003.1	JAYIMT010000003.1_185	Zorya_III__ZorG3	626	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	JAYIMT010000003.1_Zorya_TypeIII_7	1	1	0.75	3.0	1	Zorya_III__ZorG3	mandatory	245	1.1e-90	301.7	0.892	0.992	1	243			Zorya	Zorya_TypeIII	Defense
JAYIMT010000003.1	JAYIMT010000003.1_187	Zorya__ZorB	628	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	JAYIMT010000003.1_Zorya_TypeIII_7	1	1	0.75	3.0	1	Zorya__ZorB	mandatory	216	3.2e-14	50.8	0.8	0.889	10	201			Zorya	Zorya_TypeIII	Defense
JAYIMT010000003.1	JAYIMT010000003.1_188	Zorya_III__ZorF3	629	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	JAYIMT010000003.1_Zorya_TypeIII_7	1	1	0.75	3.0	1	Zorya_III__ZorF3	mandatory	238	9.5e-73	243.0	0.827	0.975	1	232			Zorya	Zorya_TypeIII	Defense
JAYIMT010000004.1	JAYIMT010000004.1_86	SoFic__SoFic	734	defense-finder-models/DefenseFinder/SoFIC/SoFic	JAYIMT010000004.1_SoFic_10	1	1	1.0	1.0	1	SoFic__SoFic	mandatory	383	5.5e-123	408.7	0.961	0.901	18	362			SoFIC	SoFic	Defense
JAYIMT010000008.1	JAYIMT010000008.1_6	Gao_Ppl__PplA	1267	defense-finder-models/DefenseFinder/Gao_Ppl/Gao_Ppl	JAYIMT010000008.1_Gao_Ppl_5	1	1	1.0	1.0	1	Gao_Ppl__PplA	mandatory	943	3.4000000000000003e-125	416.9	0.997	0.989	6	938			Gao_Ppl	Gao_Ppl	Defense
JAYIMT010000008.1	JAYIMT010000008.1_64	RM__Type_I_MTases_FAM_0	1325	defense-finder-models/RM/PrrC/PrrC	JAYIMT010000008.1_PrrC_19	1	1	1.0	4.0	1	PrrC__EcoprrI	mandatory	537	4e-175	581.5	0.996	0.991	1	532		JAYIMT010000008.1_RM_Type_I_20	PrrC	PrrC	Defense
JAYIMT010000008.1	JAYIMT010000008.1_66	PrrC__PrrC	1327	defense-finder-models/RM/PrrC/PrrC	JAYIMT010000008.1_PrrC_19	1	1	1.0	4.0	1	PrrC__PrrC	mandatory	367	1.8e-61	205.9	0.984	0.984	2	362			PrrC	PrrC	Defense
JAYIMT010000008.1	JAYIMT010000008.1_67	RM__Type_I_S_51	1328	defense-finder-models/RM/PrrC/PrrC	JAYIMT010000008.1_PrrC_19	1	1	1.0	4.0	1	RM__Type_I_S_01	mandatory	431	2.7999999999999997e-41	139.3	0.53	0.603	164	423		JAYIMT010000008.1_RM_Type_I_20	PrrC	PrrC	Defense
