seq_name	chromosome_score	plasmid_score	virus_score
JBEFUR010000001.1	0.4744	0.5107	0.0149
JBEFUR010000002.1	0.4559	0.5133	0.0307
JBEFUR010000003.1	0.4412	0.5205	0.0384
JBEFUR010000004.1	0.4929	0.4831	0.0241
JBEFUR010000005.1	0.4611	0.4998	0.0392
JBEFUR010000006.1	0.5183	0.4443	0.0374
JBEFUR010000007.1	0.4842	0.5004	0.0154
JBEFUR010000008.1	0.4330	0.5242	0.0428
JBEFUR010000009.1	0.4548	0.5245	0.0207
JBEFUR010000010.1	0.4578	0.5149	0.0273
JBEFUR010000011.1	0.4668	0.5186	0.0146
JBEFUR010000012.1	0.4478	0.5352	0.0170
JBEFUR010000013.1	0.4504	0.5191	0.0304
JBEFUR010000014.1	0.3834	0.5705	0.0460
JBEFUR010000015.1	0.4158	0.5491	0.0351
JBEFUR010000016.1	0.4761	0.5006	0.0234
JBEFUR010000017.1	0.4229	0.5383	0.0389
JBEFUR010000018.1	0.4391	0.4469	0.1140
JBEFUR010000019.1	0.4305	0.5232	0.0463
JBEFUR010000020.1	0.4760	0.4949	0.0291
JBEFUR010000021.1	0.4917	0.4944	0.0139
JBEFUR010000022.1	0.4143	0.5711	0.0146
JBEFUR010000023.1	0.4501	0.5465	0.0034
JBEFUR010000024.1	0.3146	0.6322	0.0531
JBEFUR010000025.1	0.4119	0.5579	0.0302
JBEFUR010000026.1	0.4376	0.5393	0.0231
JBEFUR010000027.1	0.4863	0.4741	0.0397
JBEFUR010000028.1	0.4892	0.4763	0.0344
JBEFUR010000029.1	0.4507	0.5300	0.0193
JBEFUR010000030.1	0.4697	0.5055	0.0248
JBEFUR010000031.1	0.4445	0.4293	0.1262
JBEFUR010000032.1	0.3358	0.6399	0.0243
JBEFUR010000033.1	0.5025	0.4672	0.0303
JBEFUR010000034.1	0.3775	0.5948	0.0277
JBEFUR010000035.1	0.4604	0.5326	0.0070
JBEFUR010000036.1	0.4126	0.5030	0.0845
JBEFUR010000037.1	0.3851	0.5697	0.0452
JBEFUR010000038.1	0.1182	0.7577	0.1241
JBEFUR010000039.1	0.5290	0.1521	0.3189
JBEFUR010000040.1	0.5924	0.4004	0.0071
JBEFUR010000041.1	0.5378	0.4550	0.0072
JBEFUR010000042.1	0.4014	0.5927	0.0059
JBEFUR010000043.1	0.1705	0.8143	0.0152
JBEFUR010000044.1	0.3533	0.6049	0.0418
JBEFUR010000045.1	0.8305	0.1143	0.0552
JBEFUR010000046.1	0.3333	0.4165	0.2502
JBEFUR010000047.1	0.0491	0.8898	0.0611
JBEFUR010000048.1	0.0913	0.7310	0.1777
JBEFUR010000049.1	0.8222	0.1746	0.0032
JBEFUR010000050.1	0.1297	0.6854	0.1849
JBEFUR010000051.1	0.3024	0.4236	0.2740
JBEFUR010000052.1	0.7723	0.2252	0.0025
JBEFUR010000053.1	0.3633	0.4419	0.1947
JBEFUR010000054.1	0.6007	0.2642	0.1352
JBEFUR010000055.1	0.4447	0.3938	0.1615
JBEFUR010000056.1	0.3106	0.4585	0.2309
JBEFUR010000057.1	0.6940	0.1784	0.1276
JBEFUR010000058.1	0.3093	0.4322	0.2585
JBEFUR010000059.1	0.1270	0.1857	0.6873
JBEFUR010000060.1	0.2136	0.1261	0.6603
JBEFUR010000061.1	0.5484	0.3321	0.1195
JBEFUR010000062.1	0.2733	0.1046	0.6221
JBEFUR010000063.1	0.3396	0.1644	0.4960
JBEFUR010000064.1	0.1855	0.1131	0.7015
JBEFUR010000065.1	0.6228	0.1127	0.2645
JBEFUR010000066.1	0.2391	0.2234	0.5376
