seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
JAUIOC010000001.1	206	5	0	1	11	0.2732	0.8578	0.2961	0.0000	0.7039	0.0000	0.0631	0.2767	0.0291	0.0777	0.0000	0.0049	0.0243	0.0000	0.0146	0.3689	0.0825	0.0388	0.8087	0.5542	0.0000	0.0000	0.0000	0.0000	0.0000	31.8961	-69.5502	-235.7069
JAUIOC010000002.1	200	3	0	0	11	0.2864	0.8568	0.2750	0.0000	0.7250	0.0000	0.0700	0.3150	0.0400	0.0450	0.0050	0.0000	0.0100	0.0000	0.0100	0.4250	0.0500	0.0200	0.7753	0.6213	0.0000	0.0000	0.0000	0.0000	0.0050	37.4724	-65.3282	-245.7546
JAUIOC010000003.1	152	0	0	0	11	0.3642	0.8857	0.3816	0.0000	0.6184	0.0000	0.0329	0.3684	0.0066	0.0592	0.0000	0.0000	0.0066	0.0000	0.0000	0.4079	0.0592	0.0066	0.7641	0.6409	0.0000	0.0000	0.0000	0.0000	0.0000	20.8386	-26.0189	-203.9758
JAUIOC010000004.1	135	4	1	1	11	0.3507	0.8696	0.3111	0.0000	0.6889	0.0000	0.0222	0.2741	0.0222	0.0444	0.0074	0.0000	0.0148	0.0074	0.0000	0.3185	0.0519	0.0222	0.7780	0.6087	0.0000	0.0000	0.0000	0.0000	0.0000	17.0445	-32.0534	-134.2392
JAUIOC010000005.1	141	1	0	0	11	0.2714	0.8838	0.3050	0.0000	0.6950	0.0000	0.0780	0.3333	0.0284	0.0142	0.0213	0.0000	0.0000	0.0000	0.0000	0.4397	0.0355	0.0000	0.8047	0.5937	0.0000	0.0000	0.0000	0.0000	0.0000	34.2717	-41.6089	-175.9933
JAUIOC010000006.1	136	1	0	0	11	0.2593	0.8901	0.3529	0.0000	0.6471	0.0000	0.0441	0.3162	0.0074	0.0368	0.0000	0.0000	0.0147	0.0000	0.0074	0.3676	0.0368	0.0221	0.7797	0.6016	0.0000	0.0000	0.0000	0.0000	0.0000	19.2246	-32.2930	-149.5082
JAUIOC010000007.1	121	1	0	0	11	0.2583	0.8599	0.2727	0.0000	0.7273	0.0000	0.0579	0.2066	0.0413	0.0413	0.0000	0.0000	0.0248	0.0000	0.0165	0.3058	0.0413	0.0413	0.8008	0.5388	0.0000	0.0000	0.0002	0.0000	0.0000	17.4689	-44.1293	-100.2974
JAUIOC010000008.1	146	25	1	1	11	0.2276	0.8339	0.2466	0.0000	0.7534	0.0000	0.1575	0.2671	0.0616	0.0137	0.0068	0.0000	0.0068	0.0137	0.0205	0.4863	0.0205	0.0411	0.8985	0.2827	0.0000	0.0000	0.0000	0.0000	0.0068	60.3024	-91.8823	-164.5505
JAUIOC010000009.1	124	1	0	1	11	0.3415	0.8871	0.3065	0.0000	0.6935	0.0000	0.0887	0.2419	0.0161	0.0645	0.0000	0.0000	0.0161	0.0000	0.0323	0.3468	0.0645	0.0484	0.7703	0.5105	0.0000	0.0000	0.0000	0.0000	0.0081	17.0592	-42.1182	-123.9126
JAUIOC010000010.1	118	0	0	0	11	0.3248	0.8506	0.1780	0.0000	0.8220	0.0000	0.0169	0.2203	0.0000	0.0424	0.0085	0.0000	0.0000	0.0000	0.0085	0.2373	0.0508	0.0085	0.6686	0.7435	0.0000	0.0000	0.0000	0.4839	0.0000	-1.6964	-2.0803	-96.9961
JAUIOC010000011.1	119	1	0	0	11	0.3051	0.8258	0.2437	0.0000	0.7563	0.0000	0.0420	0.3109	0.0000	0.0420	0.0084	0.0000	0.0084	0.0000	0.0168	0.3529	0.0504	0.0252	0.7773	0.6228	0.0000	0.0000	0.0000	0.0001	0.0000	13.6089	-24.6793	-129.9832
JAUIOC010000012.1	86	1	0	0	11	0.3176	0.8568	0.2674	0.0000	0.7326	0.0000	0.0698	0.3140	0.0233	0.0349	0.0000	0.0000	0.0000	0.0000	0.0000	0.4070	0.0349	0.0000	0.8017	0.5977	0.0000	0.0000	0.0000	0.0000	0.0000	21.8722	-26.0942	-102.0158
JAUIOC010000013.1	89	1	0	1	11	0.3295	0.8506	0.2584	0.0000	0.7416	0.0000	0.0449	0.2809	0.0449	0.0225	0.0112	0.0000	0.0000	0.0000	0.0337	0.3708	0.0337	0.0337	0.7846	0.5942	0.0000	0.0000	0.0000	0.0003	0.0000	8.9545	-26.1960	-89.5596
JAUIOC010000014.1	105	0	0	0	11	0.2885	0.8746	0.3143	0.0000	0.6857	0.0000	0.0762	0.3333	0.0286	0.0190	0.0000	0.0000	0.0571	0.0000	0.0095	0.4381	0.0190	0.0667	0.8138	0.4553	0.0000	0.0000	0.0001	0.0000	0.0000	29.9705	-57.8365	-122.3127
JAUIOC010000015.1	76	4	0	0	11	0.1867	0.8709	0.2763	0.0000	0.7237	0.0000	0.0526	0.2632	0.0658	0.0526	0.0000	0.0000	0.0132	0.0000	0.0000	0.3816	0.0526	0.0132	0.7610	0.6380	0.0000	0.0000	0.0000	0.0003	0.0000	12.9822	-23.7350	-85.2739
JAUIOC010000016.1	90	0	0	0	11	0.3933	0.8643	0.3444	0.0000	0.6556	0.0000	0.1333	0.3000	0.0111	0.0111	0.0000	0.0000	0.0333	0.0000	0.0333	0.4444	0.0111	0.0667	0.8986	0.3100	0.0000	0.0000	0.0050	0.0000	0.0333	30.0705	-52.5606	-95.2546
JAUIOC010000017.1	94	2	0	0	11	0.3548	0.8213	0.2553	0.0000	0.7447	0.0000	0.0851	0.2979	0.0638	0.0319	0.0106	0.0000	0.0106	0.0000	0.0106	0.4468	0.0426	0.0213	0.8032	0.5774	0.0000	0.0000	0.0000	0.0000	0.0000	26.0158	-43.3309	-111.7051
JAUIOC010000018.1	79	0	0	0	11	0.1538	0.8875	0.3544	0.0000	0.6456	0.0000	0.0380	0.4304	0.0380	0.0127	0.0000	0.0000	0.0127	0.0000	0.0253	0.5063	0.0127	0.0380	0.7846	0.6122	0.0000	0.0000	0.0000	0.0000	0.0000	16.9495	-31.9758	-109.6097
JAUIOC010000019.1	82	5	0	0	11	0.3210	0.8397	0.2805	0.0000	0.7195	0.0000	0.0366	0.3049	0.0488	0.0244	0.0000	0.0000	0.0000	0.0000	0.0122	0.3902	0.0244	0.0122	0.8034	0.5651	0.0000	0.0000	0.0001	0.0000	0.0000	19.3119	-27.5588	-86.8043
JAUIOC010000020.1	82	1	0	0	11	0.2963	0.8564	0.3415	0.0000	0.6585	0.0000	0.1585	0.3049	0.0610	0.0366	0.0000	0.0000	0.0000	0.0000	0.0000	0.5244	0.0366	0.0000	0.9139	0.4050	0.0000	0.0000	0.0000	0.0000	0.0000	36.7143	-43.1761	-110.3260
JAUIOC010000021.1	77	0	0	0	11	0.2368	0.8842	0.2857	0.0000	0.7143	0.0000	0.0649	0.2727	0.0130	0.0390	0.0000	0.0000	0.0260	0.0000	0.0130	0.3506	0.0390	0.0390	0.7661	0.6120	0.0000	0.0000	0.0001	0.0006	0.0000	9.9167	-22.4942	-79.1087
JAUIOC010000022.1	85	2	0	0	11	0.2381	0.8813	0.2824	0.0000	0.7176	0.0000	0.0353	0.2471	0.0118	0.0471	0.0235	0.0118	0.0000	0.0000	0.0118	0.2941	0.0824	0.0118	0.8249	0.5652	0.0000	0.0000	0.0000	0.0028	0.0000	8.2346	-15.3044	-82.2824
JAUIOC010000023.1	68	0	0	0	11	0.4030	0.8734	0.2647	0.0000	0.7353	0.0000	0.0000	0.3382	0.0147	0.1176	0.0000	0.0000	0.0000	0.0147	0.0294	0.3529	0.1176	0.0441	0.6571	0.7414	0.0000	0.0000	0.0000	0.5491	0.0147	-6.2726	-5.6610	-88.8103
JAUIOC010000024.1	68	0	0	0	11	0.4776	0.7766	0.3235	0.0000	0.6765	0.0000	0.0147	0.2941	0.0147	0.0147	0.0000	0.0000	0.0000	0.0000	0.0000	0.3235	0.0147	0.0000	0.7560	0.6546	0.0000	0.0000	0.0000	0.0883	0.0000	4.0850	-6.0592	-66.7078
JAUIOC010000025.1	60	0	1	0	11	0.2542	0.8709	0.2500	0.0000	0.7500	0.0000	0.0333	0.1500	0.0000	0.1000	0.0000	0.0000	0.0167	0.0000	0.0333	0.1833	0.1000	0.0500	0.7108	0.6091	0.0000	0.0008	0.0053	0.1297	0.0000	-1.3990	-9.4562	-43.0495
JAUIOC010000026.1	80	0	0	0	11	0.4177	0.8750	0.3500	0.0000	0.6500	0.0000	0.1000	0.3000	0.0125	0.0625	0.0250	0.0000	0.0000	0.0000	0.0000	0.4125	0.0875	0.0000	0.7764	0.6302	0.0000	0.0000	0.0000	0.0015	0.0000	12.4181	-14.5450	-104.1436
JAUIOC010000027.1	65	0	0	0	11	0.3125	0.7747	0.3077	0.0000	0.6923	0.0000	0.0000	0.2615	0.0000	0.0923	0.0154	0.0000	0.0000	0.0000	0.0000	0.2615	0.1077	0.0000	0.6525	0.7578	0.0000	0.0000	0.0000	0.4628	0.0000	0.2984	-0.2984	-69.8777
