hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
CP167818.1_15	CP167818.1	15	487	DISARM__drmC	3.2e-18	64.2	0.608	0.312	300	451
CP167818.1_16	CP167818.1	16	242	WYL_I_II_III_IV_V_VI_4	2.6e-14	51.6	0.512	0.364	141	228
CP167818.1_16	CP167818.1	16	242	WYL_I_II_III_IV_V_VI_1	7e-60	201.1	0.722	0.926	1	224
CP167818.1_25	CP167818.1	25	408	Wadjet__JetC_II	1.4e-05	21.2	0.497	0.581	19	255
CP167818.1_51	CP167818.1	51	832	BREX__brxHI	4.6e-43	145.5	0.463	0.406	77	414
CP167818.1_53	CP167818.1	53	86	PfiAT__PfiA	2.5e-08	31.9	0.939	0.953	1	82
CP167818.1_132	CP167818.1	132	335	pAgo__GbbAgaS	1.9e-19	67.7	0.56	0.609	22	225
CP167818.1_132	CP167818.1	132	335	PD-T7-2__PD-T7-2_A	3.4e-27	93.3	0.538	0.534	54	232
CP167818.1_133	CP167818.1	133	611	Gao_Her_DUF__HerA_DUF	1.4000000000000002e-69	233.5	0.857	0.805	94	585
CP167818.1_133	CP167818.1	133	611	PD-T7-2__PD-T7-2_B	1.1e-100	335.7	0.983	0.956	6	589
CP167818.1_230	CP167818.1	230	277	SoFic__SoFic	4.2e-88	293.9	0.715	0.957	7	271
CP167818.1_317	CP167818.1	317	271	Gao_Qat__QatD	1.6e-15	55.1	0.795	0.764	16	222
CP167818.1_460	CP167818.1	460	352	Ukko__UkkD1	1.3999999999999998e-60	202.9	0.95	0.75	73	336
CP167818.1_460	CP167818.1	460	352	Ukko__UkkD2	1.3999999999999998e-60	202.9	0.95	0.75	73	336
CP167818.1_550	CP167818.1	550	968	BREX__brxHII	3.8999999999999997e-44	149.0	0.459	0.446	58	489
CP167818.1_552	CP167818.1	552	264	RM_Type_II__Type_II_MTases_FAM_1	4.4e-15	53.9	0.462	0.504	46	178
CP167818.1_552	CP167818.1	552	264	RM_Type_II__Type_II_MTases_FAM_37	4.6e-26	89.6	0.476	0.678	23	201
CP167818.1_553	CP167818.1	553	301	RM_Type_III__Type_III_MTases_FAM_0	3.2e-34	116.8	0.418	0.731	25	244
