hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JBEGFE010000001.1_67	JBEGFE010000001.1	67	408	Zorya__ZorB	2.8e-05	21.5	0.449	0.267	296	404
JBEGFE010000010.1_3	JBEGFE010000010.1	173	1028	RM__Type_I_REases_FAM_0.einsi_trimmed	4.4e-71	238.4	0.673	0.724	118	861
JBEGFE010000010.1_3	JBEGFE010000010.1	173	1028	RM__Type_I_REases_FAM_1.einsi_trimmed	0.0	1102.5	0.993	0.984	4	1015
JBEGFE010000010.1_7	JBEGFE010000010.1	177	729	RM_Type_II__Type_II_MTases_FAM_33	3e-27	93.5	0.436	0.353	167	423
JBEGFE010000010.1_7	JBEGFE010000010.1	177	729	PrrC__EcoprrI	2.2e-45	154.1	0.961	0.789	1	575
JBEGFE010000010.1_7	JBEGFE010000010.1	177	729	RM__Type_I_MTases_FAM_0	2.7e-73	245.5	0.855	0.656	1	478
JBEGFE010000010.1_7	JBEGFE010000010.1	177	729	RM__Type_I_MTases_FAM_3	6.1999999999999994e-257	852.1	0.995	0.995	2	726
JBEGFE010000010.1_68	JBEGFE010000010.1	238	622	pAgo__SIR2APAZ	2.1e-204	678.3	0.997	0.977	6	613
JBEGFE010000010.1_69	JBEGFE010000010.1	239	483	pAgo__pAgo_LongB	7.3e-16	55.8	0.614	0.952	14	473
JBEGFE010000010.1_69	JBEGFE010000010.1	239	483	pAgo__pAgo_LongA	2.6e-16	57.3	0.411	0.694	133	467
JBEGFE010000010.1_69	JBEGFE010000010.1	239	483	pAgo__pAgo_SPARTA	7.999999999999999e-33	111.7	0.536	0.588	193	476
JBEGFE010000010.1_69	JBEGFE010000010.1	239	483	pAgo__pAgo_S2B	3e-64	215.6	0.994	0.973	13	482
JBEGFE010000010.1_69	JBEGFE010000010.1	239	483	pAgo__pAgo_S1A	2.8000000000000003e-109	364.6	0.445	0.969	15	482
JBEGFE010000010.1_69	JBEGFE010000010.1	239	483	pAgo__pAgo_S1B	3.3000000000000003e-197	653.7	0.994	0.99	5	482
JBEGFE010000010.1_83	JBEGFE010000010.1	253	277	Retron_VII_2__DUF3800	6.4e-15	53.7	0.981	0.711	4	200
JBEGFE010000010.1_86	JBEGFE010000010.1	256	304	CBASS__Effector_TIR	2.6999999999999998e-80	267.8	0.877	0.99	1	301
JBEGFE010000010.1_87	JBEGFE010000010.1	257	247	Pycsar__AG_cyclase	3.6e-52	175.4	0.697	0.818	13	214
JBEGFE010000123.1_5	JBEGFE010000123.1	624	309	AbiEii__AbiEii	6.8e-43	145.3	0.967	0.851	10	272
JBEGFE010000123.1_6	JBEGFE010000123.1	625	253	AbiEii__AbiEi_4	1.8e-07	29.2	0.673	0.13	26	58
JBEGFE010000123.1_6	JBEGFE010000123.1	625	253	AbiEii__AbiEi_3	6.100000000000001e-34	115.0	0.918	0.569	101	244
JBEGFE010000126.1_1	JBEGFE010000126.1	631	1172	Mokosh_TypeII__MkoC	0.0	1454.3	0.998	0.996	1	1167
JBEGFE010000128.1_3	JBEGFE010000128.1	640	266	Thoeris__ThsB_Global	4.4e-09	34.4	0.715	0.711	4	192
JBEGFE010000014.1_31	JBEGFE010000014.1	776	180	DarTG__DarG	4.9e-66	220.8	0.744	0.978	1	176
JBEGFE010000143.1_2	JBEGFE010000143.1	822	261	CBASS__Sensing_SAVED	5.8e-38	128.6	1.0	0.774	44	245
JBEGFE010000143.1_2	JBEGFE010000143.1	822	261	CBASS__Endonuc_big	8.7e-91	303.2	0.479	0.935	3	246
JBEGFE010000149.1_1	JBEGFE010000149.1	833	228	HEC-09__HEC-09	2.8e-33	113.1	0.761	0.961	5	223
JBEGFE010000018.1_24	JBEGFE010000018.1	1089	217	Zorya_III__ZorF3	1.4e-80	268.7	0.815	0.968	1	210
JBEGFE010000018.1_25	JBEGFE010000018.1	1090	225	Zorya__ZorB	5e-15	53.5	0.826	0.88	9	206
JBEGFE010000018.1_27	JBEGFE010000018.1	1092	246	Zorya_III__ZorG3	1.4e-93	311.3	0.892	0.992	1	244
JBEGFE010000018.1_61	JBEGFE010000018.1	1126	542	Thoeris_IV__ThsA_Casp4	2e-14	51.8	0.417	0.24	4	133
JBEGFE010000019.1_50	JBEGFE010000019.1	1179	279	CBASS__AG_E1_ThiF	2.1e-33	113.7	0.582	0.513	20	162
JBEGFE010000019.1_51	JBEGFE010000019.1	1180	261	Gao_Qat__QatD	1.1e-15	55.6	0.953	0.954	2	250
JBEGFE010000019.1_61	JBEGFE010000019.1	1190	242	Zorya__ZorB	9.9e-12	42.7	0.562	0.558	93	227
JBEGFE010000002.1_77	JBEGFE010000002.1	1267	385	SoFic__SoFic	1.3000000000000001e-121	404.1	0.981	0.909	18	367
JBEGFE010000020.1_5	JBEGFE010000020.1	1336	413	PD-Lambda-2__PD-Lambda-2_B	6.8e-208	688.4	0.985	0.961	11	407
JBEGFE010000020.1_6	JBEGFE010000020.1	1337	380	PD-Lambda-2__PD-Lambda-2_C	5.7e-110	365.8	0.987	0.982	1	373
JBEGFE010000020.1_7	JBEGFE010000020.1	1338	308	AbiH__AbiH	1.9e-53	180.1	0.954	0.818	6	257
JBEGFE010000022.1_7	JBEGFE010000022.1	1458	195	DEDDh_I_II_III_IV_V_VI_1	1.9e-10	39.1	0.956	0.805	12	168
JBEGFE010000023.1_19	JBEGFE010000023.1	1529	298	Ukko__UkkD2	1.3e-60	203.0	0.947	0.883	20	282
JBEGFE010000023.1_19	JBEGFE010000023.1	1529	298	Ukko__UkkD1	1.3e-60	203.0	0.947	0.883	20	282
JBEGFE010000024.1_29	JBEGFE010000024.1	1587	330	Zorya__ZorB	1.6e-06	25.7	0.596	0.461	124	275
JBEGFE010000026.1_11	JBEGFE010000026.1	1666	245	DEDDh_I_II_III_IV_V_VI_1	2.1e-35	120.2	0.994	0.665	4	166
JBEGFE010000026.1_18	JBEGFE010000026.1	1673	824	Dodola__DolB	2.7e-10	37.8	0.411	0.203	310	476
JBEGFE010000026.1_28	JBEGFE010000026.1	1683	237	RM_Type_II__Type_II_MTases_FAM_17	2.7e-06	25.1	0.824	0.772	13	195
JBEGFE010000026.1_28	JBEGFE010000026.1	1683	237	RM_Type_II__Type_II_MTases_FAM_3	6.0999999999999995e-37	125.5	0.899	0.983	2	234
JBEGFE010000026.1_28	JBEGFE010000026.1	1683	237	RM_Type_II__Type_II_MTases_FAM_1	5.7e-39	132.2	0.879	0.983	2	234
JBEGFE010000028.1_20	JBEGFE010000028.1	1797	487	DISARM__drmC	5.6e-18	63.4	0.615	0.316	300	453
JBEGFE010000029.1_31	JBEGFE010000029.1	1853	473	DISARM__drmC	4.8e-17	60.3	0.562	0.296	294	433
JBEGFE010000029.1_33	JBEGFE010000029.1	1855	724	Gabija__GajB_3	5e-13	47.0	0.654	0.378	21	294
