seq_name	chromosome_score	plasmid_score	virus_score
JAYIMS010000001.1	0.9670	0.0305	0.0025
JAYIMS010000002.1	0.9766	0.0212	0.0022
JAYIMS010000003.1	0.9755	0.0222	0.0024
JAYIMS010000004.1	0.9453	0.0508	0.0039
JAYIMS010000005.1	0.9456	0.0505	0.0038
JAYIMS010000006.1	0.9712	0.0260	0.0028
JAYIMS010000007.1	0.9552	0.0416	0.0032
JAYIMS010000008.1	0.9579	0.0390	0.0032
JAYIMS010000009.1	0.9632	0.0340	0.0028
JAYIMS010000010.1	0.9152	0.0790	0.0058
JAYIMS010000011.1	0.9527	0.0442	0.0031
JAYIMS010000012.1	0.9513	0.0450	0.0036
JAYIMS010000013.1	0.9770	0.0209	0.0021
JAYIMS010000014.1	0.9645	0.0329	0.0026
JAYIMS010000015.1	0.9374	0.0585	0.0041
JAYIMS010000016.1	0.9312	0.0632	0.0056
JAYIMS010000017.1	0.4139	0.5778	0.0083
JAYIMS010000018.1	0.9708	0.0267	0.0025
JAYIMS010000019.1	0.9065	0.0884	0.0051
JAYIMS010000020.1	0.1312	0.8651	0.0037
JAYIMS010000021.1	0.8969	0.0958	0.0073
JAYIMS010000022.1	0.9341	0.0625	0.0034
JAYIMS010000023.1	0.9620	0.0343	0.0037
JAYIMS010000024.1	0.9348	0.0610	0.0042
JAYIMS010000025.1	0.9605	0.0367	0.0028
JAYIMS010000026.1	0.9295	0.0668	0.0037
JAYIMS010000027.1	0.9611	0.0361	0.0028
JAYIMS010000028.1	0.2659	0.7269	0.0072
JAYIMS010000029.1	0.0005	0.9994	0.0001
JAYIMS010000030.1	0.9759	0.0212	0.0030
JAYIMS010000031.1	0.8089	0.1815	0.0095
JAYIMS010000032.1	0.9923	0.0068	0.0010
JAYIMS010000033.1	0.0000	0.9999	0.0001
JAYIMS010000034.1	0.9759	0.0221	0.0021
JAYIMS010000035.1	0.9854	0.0133	0.0013
JAYIMS010000036.1	0.9863	0.0122	0.0015
JAYIMS010000037.1	0.0000	0.9999	0.0001
JAYIMS010000038.1	0.6485	0.3464	0.0051
JAYIMS010000039.1	0.5368	0.4533	0.0099
JAYIMS010000040.1	0.9536	0.0384	0.0080
JAYIMS010000041.1	0.0026	0.9970	0.0003
JAYIMS010000042.1	0.0000	1.0000	0.0000
JAYIMS010000043.1	0.9870	0.0114	0.0015
JAYIMS010000044.1	0.0000	1.0000	0.0000
JAYIMS010000045.1	0.0376	0.9583	0.0040
JAYIMS010000046.1	0.9506	0.0460	0.0034
JAYIMS010000047.1	0.9447	0.0516	0.0037
JAYIMS010000048.1	0.0334	0.9625	0.0041
JAYIMS010000049.1	0.0457	0.9462	0.0081
JAYIMS010000050.1	0.9290	0.0703	0.0007
JAYIMS010000051.1	0.3820	0.5475	0.0705
JAYIMS010000052.1	0.0007	0.0006	0.9987
JAYIMS010000053.1	0.0000	0.9999	0.0000
JAYIMS010000054.1	0.0000	1.0000	0.0000
JAYIMS010000055.1	0.0596	0.9104	0.0300
JAYIMS010000056.1	0.9944	0.0053	0.0003
JAYIMS010000057.1	0.0172	0.0058	0.9770
JAYIMS010000058.1	0.9688	0.0290	0.0022
JAYIMS010000059.1	0.1228	0.7176	0.1596
JAYIMS010000060.1	0.0314	0.0712	0.8974
JAYIMS010000061.1	0.9344	0.0448	0.0208
JAYIMS010000062.1	0.1383	0.7977	0.0640
JAYIMS010000063.1	0.2842	0.3048	0.4110
JAYIMS010000064.1	0.4680	0.4257	0.1063
JAYIMS010000065.1	0.9817	0.0141	0.0042
JAYIMS010000066.1	0.0001	0.0006	0.9993
JAYIMS010000067.1	0.8843	0.0940	0.0217
JAYIMS010000068.1	0.0000	1.0000	0.0000
JAYIMS010000069.1	0.0001	0.9999	0.0000
JAYIMS010000070.1	0.0942	0.0280	0.8778
JAYIMS010000071.1	0.7574	0.0510	0.1916
JAYIMS010000072.1	0.6207	0.3240	0.0553
JAYIMS010000073.1	0.8235	0.1640	0.0125
JAYIMS010000074.1	0.5200	0.0789	0.4011
JAYIMS010000075.1	0.3349	0.0448	0.6203
JAYIMS010000076.1	0.6761	0.0836	0.2403
JAYIMS010000077.1	0.6428	0.0560	0.3012
JAYIMS010000078.1	0.2728	0.1740	0.5532
JAYIMS010000079.1	0.4190	0.0848	0.4963
JAYIMS010000080.1	0.7717	0.1458	0.0825
JAYIMS010000081.1	0.0005	0.0005	0.9990
JAYIMS010000082.1	0.3679	0.0431	0.5890
JAYIMS010000083.1	0.2658	0.0711	0.6631
JAYIMS010000084.1	0.2522	0.0492	0.6986
JAYIMS010000085.1	0.0991	0.0245	0.8764
JAYIMS010000086.1	0.4885	0.0505	0.4610
JAYIMS010000087.1	0.2706	0.1349	0.5945
