hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JAYISX010000001.1_4	JAYISX010000001.1	4	968	BREX__brxHII	8.799999999999999e-44	147.9	0.457	0.444	58	487
JAYISX010000001.1_90	JAYISX010000001.1	90	299	Ukko__UkkD1	1.8e-60	202.6	0.947	0.88	20	282
JAYISX010000001.1_90	JAYISX010000001.1	90	299	Ukko__UkkD2	1.8e-60	202.6	0.947	0.88	20	282
JAYISX010000001.1_186	JAYISX010000001.1	186	223	AbiV__AbiV	2.3e-11	41.9	0.647	0.587	16	146
JAYISX010000001.1_203	JAYISX010000001.1	203	307	Abi2__Abi_2	1.5000000000000001e-46	157.0	0.994	0.625	33	224
JAYISX010000001.1_203	JAYISX010000001.1	203	307	AbiD__AbiD	8.6e-75	250.0	0.929	0.987	1	303
JAYISX010000001.1_223	JAYISX010000001.1	223	269	Gao_Qat__QatD	1.7e-15	55.0	0.791	0.766	16	221
JAYISX010000001.1_232	JAYISX010000001.1	232	340	DISARM__drmC	2.2e-15	54.9	0.536	0.4	204	339
JAYISX010000001.1_312	JAYISX010000001.1	312	373	SoFic__SoFic	9.9e-121	401.3	0.975	0.93	9	355
JAYISX010000010.1_112	JAYISX010000010.1	483	195	DEDDh_I_II_III_IV_V_VI_1	3.3e-11	41.6	0.956	0.805	12	168
JAYISX010000010.1_158	JAYISX010000010.1	529	155	Veles__VlsC1	2.1e-34	116.7	0.959	0.974	2	152
JAYISX010000010.1_158	JAYISX010000010.1	529	155	Veles__VlsC2	8.9e-35	117.9	0.953	0.961	3	151
JAYISX010000011.1_103	JAYISX010000011.1	639	414	RM_Type_II__Type_II_REase19	3.2e-10	37.9	0.492	0.377	245	400
JAYISX010000011.1_109	JAYISX010000011.1	645	483	pAgo__pAgo_LongA	3.1e-16	57.1	0.411	0.694	133	467
JAYISX010000011.1_109	JAYISX010000011.1	645	483	pAgo__pAgo_LongB	2.9e-16	57.1	0.614	0.952	14	473
JAYISX010000011.1_109	JAYISX010000011.1	645	483	pAgo__pAgo_SPARTA	3.5e-33	112.8	0.534	0.586	194	476
JAYISX010000011.1_109	JAYISX010000011.1	645	483	pAgo__pAgo_S2B	1.4e-63	213.5	0.994	0.973	13	482
JAYISX010000011.1_109	JAYISX010000011.1	645	483	pAgo__pAgo_S1A	6.3e-109	363.4	0.445	0.969	15	482
JAYISX010000011.1_109	JAYISX010000011.1	645	483	pAgo__pAgo_S1B	5.7e-197	653.0	0.994	0.99	5	482
JAYISX010000011.1_110	JAYISX010000011.1	646	580	pAgo__SIR2APAZ	3.2e-186	618.2	0.931	0.984	1	571
JAYISX010000011.1_114	JAYISX010000011.1	650	271	Ukko__UkkD2	1.4e-16	58.6	0.473	0.498	113	247
JAYISX010000011.1_114	JAYISX010000011.1	650	271	Ukko__UkkD1	1.4e-16	58.6	0.473	0.498	113	247
JAYISX010000011.1_118	JAYISX010000011.1	654	264	Ukko__UkkA2	2.4e-92	307.3	0.941	0.962	9	262
JAYISX010000011.1_118	JAYISX010000011.1	654	264	Ukko__UkkA1	2.4e-92	307.3	0.941	0.962	9	262
JAYISX010000012.1_19	JAYISX010000012.1	719	382	Dpd__DpdA	4.4e-08	30.2	0.52	0.545	141	348
JAYISX010000012.1_71	JAYISX010000012.1	771	340	WYL_I_II_III_IV_V_VI_4	4.9e-24	83.3	0.977	0.497	143	311
