system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
2,JAYILC010000002.1,SoFic,JAYILC010000002.1_37,PDLC03963,SoFic__SoFic,SoFic,2.899999999999999e-121,3.499999999999999e-121,0.928,0.972,37103,38221,+,-,37,203,"PDLC03963,SoFic__SoFic, 1, 3.5e-121, 0.928, 0.972","PDLC03963, SoFic__SoFic, 3.5e-121, 0.928, 0.972"
3,JAYILC010000002.1,cas_type_I-F1,JAYILC010000002.1_57,PDLC01631,pfam09618,Cas6f,1.6999999999999999e-35,1.7999999999999998e-35,0.975,0.628,56936,57292,-,-,57,203,"PDLC01287,cd09674, 1, 2.7e-29, 0.975, 0.626 | PDLC00955,cas_Csy4, 1, 4.1e-27, 0.975, 0.625 | PDLC01352,cd09739, 1, 8.8e-34, 0.975, 0.623 | PDLC01631,pfam09618, 1, 1.8e-35, 0.975, 0.628","PDLC01631, pfam09618, 1.8e-35, 0.975, 0.628 | PDLC01352, cd09739, 8.8e-34, 0.975, 0.623 | PDLC01287, cd09674, 2.7e-29, 0.975, 0.626 | PDLC00955, cas_Csy4, 4.1e-27, 0.975, 0.625"
3,JAYILC010000002.1,cas_type_I-F1,JAYILC010000002.1_58,PDLC01352,cd09739,Cas6f,3.1e-16,3.4e-16,0.886,0.317,57292,57501,-,-,58,203,"PDLC01287,cd09674, 1, 5.2e-13, 0.8, 0.286 | PDLC00955,cas_Csy4, 1, 1.4e-12, 0.771, 0.288 | PDLC01352,cd09739, 1, 3.4e-16, 0.886, 0.317 | PDLC01631,pfam09618, 1, 6.9e-15, 0.829, 0.311","PDLC01352, cd09739, 3.4e-16, 0.886, 0.317 | PDLC01631, pfam09618, 6.9e-15, 0.829, 0.311 | PDLC01287, cd09674, 5.2e-13, 0.8, 0.286 | PDLC00955, cas_Csy4, 1.4e-12, 0.771, 0.288"
3,JAYILC010000002.1,cas_type_I-F1,JAYILC010000002.1_59,PDLC01629,pfam09615,Cas7f,5.599999999999999e-147,6.299999999999998e-147,0.968,0.997,57506,58543,-,-,59,203,"PDLC01350,cd09737, 1, 3.2e-136, 0.968, 0.994 | PDLC01290,cd09677, 1, 2.2e-125, 0.98, 0.997 | PDLC01030,cas_Csy3, 1, 5.6e-135, 0.98, 0.997 | PDLC01629,pfam09615, 1, 6.3e-147, 0.968, 0.997","PDLC01629, pfam09615, 6.3e-147, 0.968, 0.997 | PDLC01350, cd09737, 3.2e-136, 0.968, 0.994 | PDLC01030, cas_Csy3, 5.6e-135, 0.98, 0.997 | PDLC01290, cd09677, 2.2e-125, 0.98, 0.997"
3,JAYILC010000002.1,cas_type_I-F1,JAYILC010000002.1_60,PDLC01628,pfam09614,Cas5f,2.9999999999999997e-101,3.399999999999999e-101,0.902,0.996,58566,59573,-,-,60,203,"PDLC01289,cd09676, 1, 2.8e-71, 0.908, 0.996 | PDLC01029,cas_Csy2, 1, 2.7e-84, 0.908, 0.997 | PDLC01349,cd09736, 1, 3.9e-90, 0.905, 0.996 | PDLC01199,C19_Cas5f_1, 1, 1.5e-17, 0.42, 0.527 | PDLC01199,C19_Cas5f_1, 2, 47, 0.077, 0.108 | PDLC01628,pfam09614, 1, 3.4e-101, 0.902, 0.996","PDLC01628, pfam09614, 3.4e-101, 0.902, 0.996 | PDLC01349, cd09736, 3.9e-90, 0.905, 0.996 | PDLC01029, cas_Csy2, 2.7e-84, 0.908, 0.997 | PDLC01289, cd09676, 2.8e-71, 0.908, 0.996 | PDLC01199, C19_Cas5f_1, 1.5e-17, 0.42, 0.527"
3,JAYILC010000002.1,cas_type_I-F1,JAYILC010000002.1_61,PDLC01627,pfam09611,Cas8f,1.1999999999999998e-125,1.3999999999999997e-125,0.861,0.997,59570,60925,-,-,61,203,"PDLC01348,cd09735, 1, 9.4e-119, 0.863, 0.997 | PDLC01028,cas_Csy1, 1, 1.2e-109, 0.874, 0.984 | PDLC01288,cd09675, 1, 7.3e-101, 0.872, 0.981 | PDLC01627,pfam09611, 1, 1.4e-125, 0.861, 0.997","PDLC01627, pfam09611, 1.4e-125, 0.861, 0.997 | PDLC01348, cd09735, 9.4e-119, 0.863, 0.997 | PDLC01028, cas_Csy1, 1.2e-109, 0.874, 0.984 | PDLC01288, cd09675, 7.3e-101, 0.872, 0.981"
3,JAYILC010000002.1,cas_type_I-F1,JAYILC010000002.1_62,PDLC00941,cas3_yersinia,Cas23f,0,0,0.994,0.998,61004,64375,-,-,62,203,"PDLC00941,cas3_yersinia, 1, 0, 0.994, 0.998","PDLC00941, cas3_yersinia, 0, 0.994, 0.998"
3,JAYILC010000002.1,cas_type_I-F1,JAYILC010000002.1_63,PDLC00925,cas1_YPEST,Cas1f,5.299999999999999e-155,6.099999999999999e-155,0.921,0.993,64372,65361,-,-,63,203,"PDLC00925,cas1_YPEST, 1, 6.1e-155, 0.921, 0.993","PDLC00925, cas1_YPEST, 6.1e-155, 0.921, 0.993"
1,JAYILC010000002.1,AbiD,JAYILC010000002.1_142,PDLC02344,AbiD,AbiD,5.9999999999999995e-64,6.7e-64,0.977,0.982,156925,157845,+,-,142,203,"PDLC02344,AbiD, 1, 6.7e-64, 0.977, 0.982","PDLC02344, AbiD, 6.7e-64, 0.977, 0.982"
4,JAYILC010000003.1,HEC-01,JAYILC010000003.1_31,PDLC04184,HEC-01A_WP_097318232.1,HEC-01A,1.8999999999999997e-94,2.2999999999999997e-94,0.896,0.927,34831,36249,+,-,31,198,"PDLC04180,HEC-01A_WP_062996032.1, 1, 0.00021, 0.114, 0.144 | PDLC04180,HEC-01A_WP_062996032.1, 2, 7.7e-13, 0.357, 0.432 | PDLC04175,HEC-01A_WP_211640766.1, 1, 3.9e-06, 0.112, 0.146 | PDLC04175,HEC-01A_WP_211640766.1, 2, 3.2e-22, 0.406, 0.51 | PDLC04182,HEC-01A_WP_105482478.1, 1, 0.00027, 0.08, 0.094 | PDLC04182,HEC-01A_WP_105482478.1, 2, 1.9e-26, 0.4, 0.446 | PDLC04179,HEC-01A_WP_123852116.1, 1, 1.8e-06, 0.118, 0.122 | PDLC04179,HEC-01A_WP_123852116.1, 2, 5.8e-09, 0.351, 0.344 | PDLC04184,HEC-01A_WP_097318232.1, 1, 2.3e-94, 0.896, 0.927 | PDLC04174,HEC-01A_WP_202806903.1, 1, 3.8e-14, 0.41, 0.716 | PDLC04183,HEC-01A_WP_193205907.1, 1, 3.3e-08, 0.125, 0.144 | PDLC04183,HEC-01A_WP_193205907.1, 2, 1.6e-13, 0.412, 0.465 | PDLC04177,HEC-01A_WP_199302758.1, 1, 0.0038, 0.068, 0.081 | PDLC04177,HEC-01A_WP_199302758.1, 2, 3.4e-19, 0.315, 0.351 | PDLC04176,HEC-01A_WP_157306701.1, 1, 4.6e-08, 0.121, 0.156 | PDLC04176,HEC-01A_WP_157306701.1, 2, 2.6e-16, 0.374, 0.45 | PDLC04178,HEC-01A_WP_002628442.1, 1, 6.3e-07, 0.123, 0.143 | PDLC04178,HEC-01A_WP_002628442.1, 2, 1.1e-21, 0.374, 0.434 | PDLC04144,HEC-01B_WP_231583829.1, 1, 0.093, 0.099, 0.119 | PDLC04144,HEC-01B_WP_231583829.1, 2, 1.1e-12, 0.364, 0.415","PDLC04184, HEC-01A_WP_097318232.1, 2.3e-94, 0.896, 0.927 | PDLC04182, HEC-01A_WP_105482478.1, 1.9e-26, 0.4, 0.446 | PDLC04175, HEC-01A_WP_211640766.1, 3.2e-22, 0.406, 0.51 | PDLC04178, HEC-01A_WP_002628442.1, 1.1e-21, 0.374, 0.434 | PDLC04177, HEC-01A_WP_199302758.1, 3.4e-19, 0.315, 0.351"
