gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
JAUIPC010000001.1_1	756	3518	2763	-1	0.645	11	GGAGG	GENOMAD.152082.CP	3.362e-48	191	0	0	0	1	NA	NA	NA	PF00593;PF07715;PF00691;TIGR01782;COG4773;K16089	TonB-dependent receptor
JAUIPC010000001.1_2	3842	5920	2079	-1	0.647	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAUIPC010000001.1_3	6163	8355	2193	1	0.666	11	None	GENOMAD.140739.CP	1.083e-126	425	0	0	0	1	NA	NA	NA	PF07971;PF16561;COG3408	Glycogen debranching enzyme (alpha-1,6-glucosidase)
JAUIPC010000001.1_4	8352	9830	1479	1	0.655	11	GGAGG	GENOMAD.152654.CP	6.648e-05	48	0	0	0	1	NA	NA	NF012174	PF03825;K16211;TIGR00792;COG2211	sugar (Glycoside-Pentoside-Hexuronide) transporter
JAUIPC010000001.1_5	9830	11503	1674	1	0.645	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAUIPC010000001.1_6	11711	12835	1125	-1	0.659	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAUIPC010000001.1_7	13165	15069	1905	1	0.633	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAUIPC010000001.1_8	15217	15660	444	1	0.592	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAUIPC010000001.1_9	15901	16098	198	1	0.616	11	AGGA	GENOMAD.099705.CV	6.83e-09	52	1	0	0	1	NA	NA	NA	PF01632;COG0291;TIGR00001	Ribosomal protein L35
JAUIPC010000001.1_10	16109	16468	360	1	0.600	11	GGAG/GAGG	GENOMAD.080218.CV	7.521e-39	141	1	0	0	1	NA	NA	NA	PF00453;TIGR01032;K02887;COG0292	ribosomal protein L20
