seq_name	chromosome_score	plasmid_score	virus_score
JBEFUR010000001.1	0.9622	0.0350	0.0028
JBEFUR010000002.1	0.9559	0.0408	0.0034
JBEFUR010000003.1	0.9410	0.0547	0.0042
JBEFUR010000004.1	0.9660	0.0313	0.0027
JBEFUR010000005.1	0.9703	0.0269	0.0028
JBEFUR010000006.1	0.9801	0.0180	0.0019
JBEFUR010000007.1	0.9648	0.0326	0.0027
JBEFUR010000008.1	0.9565	0.0398	0.0037
JBEFUR010000009.1	0.9599	0.0369	0.0031
JBEFUR010000010.1	0.9535	0.0430	0.0034
JBEFUR010000011.1	0.9630	0.0342	0.0028
JBEFUR010000012.1	0.9539	0.0427	0.0034
JBEFUR010000013.1	0.9581	0.0386	0.0033
JBEFUR010000014.1	0.9393	0.0556	0.0051
JBEFUR010000015.1	0.9178	0.0769	0.0052
JBEFUR010000016.1	0.9613	0.0358	0.0029
JBEFUR010000017.1	0.9065	0.0879	0.0056
JBEFUR010000018.1	0.9536	0.0415	0.0049
JBEFUR010000019.1	0.9498	0.0461	0.0041
JBEFUR010000020.1	0.9729	0.0247	0.0024
JBEFUR010000021.1	0.9687	0.0289	0.0024
JBEFUR010000022.1	0.9176	0.0775	0.0049
JBEFUR010000023.1	0.9645	0.0327	0.0028
JBEFUR010000024.1	0.7810	0.2082	0.0109
JBEFUR010000025.1	0.9491	0.0468	0.0041
JBEFUR010000026.1	0.5067	0.4865	0.0069
JBEFUR010000027.1	0.9606	0.0363	0.0031
JBEFUR010000028.1	0.9632	0.0339	0.0029
JBEFUR010000029.1	0.7793	0.2156	0.0050
JBEFUR010000030.1	0.0020	0.9979	0.0002
JBEFUR010000031.1	0.9772	0.0196	0.0031
JBEFUR010000032.1	0.7739	0.2167	0.0094
JBEFUR010000033.1	0.0006	0.9993	0.0002
JBEFUR010000034.1	0.0022	0.9975	0.0003
JBEFUR010000035.1	0.9565	0.0404	0.0031
JBEFUR010000036.1	0.9305	0.0637	0.0057
JBEFUR010000037.1	0.0060	0.9932	0.0008
JBEFUR010000038.1	0.0040	0.9935	0.0024
JBEFUR010000039.1	0.9928	0.0050	0.0022
JBEFUR010000040.1	0.8743	0.1222	0.0034
JBEFUR010000041.1	0.0034	0.9962	0.0004
JBEFUR010000042.1	0.7005	0.2915	0.0081
JBEFUR010000043.1	0.0003	0.9995	0.0003
JBEFUR010000044.1	0.1779	0.8177	0.0044
JBEFUR010000045.1	0.9338	0.0653	0.0008
JBEFUR010000046.1	0.8740	0.1099	0.0161
JBEFUR010000047.1	0.0204	0.9742	0.0054
JBEFUR010000048.1	0.1695	0.7826	0.0478
JBEFUR010000049.1	0.9869	0.0113	0.0018
JBEFUR010000050.1	0.4680	0.4992	0.0328
JBEFUR010000051.1	0.0429	0.9498	0.0073
JBEFUR010000052.1	0.7235	0.0322	0.2443
JBEFUR010000053.1	0.1172	0.7370	0.1459
JBEFUR010000054.1	0.5616	0.3126	0.1258
JBEFUR010000055.1	0.4564	0.4473	0.0963
JBEFUR010000056.1	0.2259	0.6389	0.1352
JBEFUR010000057.1	0.9036	0.0363	0.0601
JBEFUR010000058.1	0.3298	0.6542	0.0160
JBEFUR010000059.1	0.1990	0.1113	0.6898
JBEFUR010000060.1	0.4786	0.0275	0.4939
JBEFUR010000061.1	0.7156	0.1577	0.1268
JBEFUR010000062.1	0.2849	0.0500	0.6651
JBEFUR010000063.1	0.5799	0.0879	0.3322
JBEFUR010000064.1	0.1137	0.0371	0.8492
JBEFUR010000065.1	0.8749	0.0589	0.0662
JBEFUR010000066.1	0.2872	0.1211	0.5918
