system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
1,RRWY01000003.1,AbiE,RRWY01000003.1_4,PDLC02290,AbiEii_WP_067065479.1,AbiEii,5.599999999999999e-113,6.199999999999999e-113,0.977,0.993,1329,2255,-,-,4,9,"PDLC02317,AbiEii_WP_096360271.1, 1, 89, 0.152, 0.119 | PDLC02317,AbiEii_WP_096360271.1, 2, 0.018, 0.117, 0.091 | PDLC02323,AbiEii_WP_077075795.1, 1, 4.9e-05, 0.502, 0.613 | PDLC02292,AbiEii_WP_010527912.1, 1, 0.0052, 0.304, 0.307 | PDLC02299,AbiEii_WP_105958957.1, 1, 7.7e-06, 0.136, 0.119 | PDLC02294,AbiEii_WP_099148274.1, 1, 5.6e-21, 0.602, 0.7 | PDLC02293,AbiEii_WP_045959881.1, 1, 0.0075, 0.46, 0.537 | PDLC02289,AbiEii_WP_007349585.1, 1, 0.039, 0.343, 0.32 | PDLC02324,AbiEii_WP_084488417.1, 1, 0.00028, 0.159, 0.208 | PDLC02324,AbiEii_WP_084488417.1, 2, 0.064, 0.113, 0.16 | PDLC02307,AbiEii_WP_156423273.1, 1, 1.8, 0.12, 0.155 | PDLC02307,AbiEii_WP_156423273.1, 2, 3.8, 0.074, 0.105 | PDLC02295,AbiEii_HBX79544.1, 1, 0.013, 0.207, 0.207 | PDLC02304,AbiEii_WP_034042188.1, 1, 1.2e-10, 0.579, 0.677 | PDLC02288,AbiEii_WP_110023304.1, 1, 0.039, 0.485, 0.527 | PDLC02313,AbiEii_WP_099005948.1, 1, 86, 0.081, 0.094 | PDLC02313,AbiEii_WP_099005948.1, 2, 0.017, 0.12, 0.146 | PDLC02290,AbiEii_WP_067065479.1, 1, 6.2e-113, 0.977, 0.993 | PDLC02305,AbiEii_WP_096461967.1, 1, 3e-32, 0.861, 0.886 | PDLC02298,AbiEii_WP_085578968.1, 1, 1.3e-07, 0.547, 0.705 | PDLC02303,AbiEii_WP_111872158.1, 1, 2.2e-17, 0.579, 0.695 | PDLC02328,AbiEii_WP_009233131.1, 1, 4e-04, 0.469, 0.621 | PDLC02318,AbiEii_WP_069691453.1, 1, 2.6e-08, 0.524, 0.557","PDLC02290, AbiEii_WP_067065479.1, 6.2e-113, 0.977, 0.993 | PDLC02305, AbiEii_WP_096461967.1, 3e-32, 0.861, 0.886 | PDLC02294, AbiEii_WP_099148274.1, 5.6e-21, 0.602, 0.7 | PDLC02303, AbiEii_WP_111872158.1, 2.2e-17, 0.579, 0.695 | PDLC02304, AbiEii_WP_034042188.1, 1.2e-10, 0.579, 0.677"
1,RRWY01000003.1,AbiE,RRWY01000003.1_5,PDLC02227,AbiEi_WP_068866247.1,AbiEi,1.1999999999999997e-62,1.3999999999999998e-62,0.929,0.897,2248,3006,-,-,5,9,"PDLC02242,AbiEi_WP_091247243.1, 1, 0.056, 0.095, 0.116 | PDLC02265,AbiEi_WP_076488363.1, 1, 0.0046, 0.241, 0.308 | PDLC02231,AbiEi_WP_161793748.1, 1, 0.00084, 0.123, 0.111 | PDLC02231,AbiEi_WP_161793748.1, 2, 850, 0.067, 0.061 | PDLC02241,AbiEi_WP_139786902.1, 1, 1.5, 0.079, 0.101 | PDLC02241,AbiEi_WP_139786902.1, 2, 3.1, 0.079, 0.101 | PDLC02283,AbiEi_pseudo_subWP_007706639.1, 1, 0.043, 0.198, 0.249 | PDLC02227,AbiEi_WP_068866247.1, 1, 1.4e-62, 0.929, 0.897 | PDLC02275,AbiEi_WP_006905458.1, 1, 0.082, 0.158, 0.217 | PDLC02226,AbiEi_WP_146016717.1, 1, 0.029, 0.202, 0.267 | PDLC02225,AbiEi_WP_047105540.1, 1, 0.00031, 0.257, 0.308 | PDLC02255,AbiEi_WP_026161743.1, 1, 1.8, 0.095, 0.129 | PDLC02255,AbiEi_WP_026161743.1, 2, 0.68, 0.19, 0.215 | PDLC02272,AbiEi_WP_005862062.1, 1, 25, 0.087, 0.11 | PDLC02272,AbiEi_WP_005862062.1, 2, 0.61, 0.162, 0.205 | PDLC02228,AbiEi_OGS01369.1, 1, 0.0015, 0.119, 0.139 | PDLC02228,AbiEi_OGS01369.1, 2, 310, 0.083, 0.083","PDLC02227, AbiEi_WP_068866247.1, 1.4e-62, 0.929, 0.897 | PDLC02225, AbiEi_WP_047105540.1, 0.00031, 0.257, 0.308 | PDLC02231, AbiEi_WP_161793748.1, 0.00084, 0.123, 0.111 | PDLC02228, AbiEi_OGS01369.1, 0.0015, 0.119, 0.139 | PDLC02265, AbiEi_WP_076488363.1, 0.0046, 0.241, 0.308"
2,RRWY01000004.1,gabija,RRWY01000004.1_6,PDLC00098,GajA_00038,GajA,5.599999999999996e-297,6.299999999999996e-297,0.996,0.994,4666,6246,+,-,6,11,"PDLC00096,GajA_00036, 1, 8e-07, 0.099, 0.084 | PDLC00096,GajA_00036, 2, 3.6e-17, 0.412, 0.371 | PDLC00083,GajA_00023, 1, 3.5e-06, 0.087, 0.072 | PDLC00083,GajA_00023, 2, 7.8e-06, 0.123, 0.103 | PDLC00083,GajA_00023, 3, 2.9e-06, 0.209, 0.175 | PDLC00082,GajA_00022, 1, 0.0015, 0.089, 0.068 | PDLC00082,GajA_00022, 2, 0.1, 0.281, 0.233 | PDLC00072,GajA_00012, 1, 1.2e-05, 0.095, 0.071 | PDLC00072,GajA_00012, 2, 1.4e-15, 0.406, 0.307 | PDLC00081,GajA_00021, 1, 2.6e-06, 0.095, 0.085 | PDLC00081,GajA_00021, 2, 1.3e-16, 0.285, 0.265 | PDLC00093,GajA_00033, 1, 0.001, 0.091, 0.065 | PDLC00093,GajA_00033, 2, 7.2e-06, 0.368, 0.293 | PDLC00093,GajA_00033, 3, 34, 0.057, 0.046 | PDLC00071,GajA_00011, 1, 2.1e-07, 0.091, 0.082 | PDLC00071,GajA_00011, 2, 4.7e-15, 0.49, 0.461 | PDLC00071,GajA_00011, 3, 350, 0.038, 0.034 | PDLC00091,GajA_00031, 1, 3.9e-07, 0.099, 0.085 | PDLC00091,GajA_00031, 2, 4.8e-15, 0.38, 0.349 | PDLC00076,GajA_00016, 1, 0.055, 0.087, 0.067 | PDLC00076,GajA_00016, 2, 2e-04, 0.281, 0.229 | PDLC00069,GajA_00009, 1, 2.6e-09, 0.097, 0.074 | PDLC00069,GajA_00009, 2, 720, 0.097, 0.074 | PDLC00069,GajA_00009, 3, 4.2e-11, 0.292, 0.25 | PDLC00073,GajA_00013, 1, 3.5e-07, 0.108, 0.095 | PDLC00073,GajA_00013, 2, 10, 0.104, 0.117 | PDLC00073,GajA_00013, 3, 2.2, 0.157, 0.161 | PDLC00064,GajA_00004, 1, 4.5e-14, 0.372, 0.463 | PDLC00090,GajA_00030, 1, 2.4e-05, 0.102, 0.083 | PDLC00090,GajA_00030, 2, 1.5e-10, 0.222, 0.191 | PDLC00074,GajA_00014, 1, 6.7e-09, 0.279, 0.327 | PDLC00062,GajA_00002, 1, 2e-06, 0.093, 0.075 | PDLC00062,GajA_00002, 2, 2.5e-08, 0.192, 0.153 | PDLC00062,GajA_00002, 3, 0.28, 0.192, 0.166 | PDLC00079,GajA_00019, 1, 3.7e-06, 0.11, 0.081 | PDLC00079,GajA_00019, 2, 0.67, 0.11, 0.098 | PDLC00094,GajA_00034, 1, 7.7e-06, 0.112, 0.102 | PDLC00094,GajA_00034, 2, 7.9e-12, 0.294, 0.278 | PDLC04169,GajA_WP_153499988.1, 1, 1.2e-08, 0.186, 0.233 | PDLC04169,GajA_WP_153499988.1, 2, 42, 0.127, 0.166 | PDLC00075,GajA_00015, 1, 0.01, 0.087, 0.084 | PDLC00075,GajA_00015, 2, 3.6e-12, 0.285, 0.284 | PDLC00068,GajA_00008, 1, 9.8e-05, 0.307, 0.327 | PDLC00063,GajA_00003, 1, 0.00012, 0.089, 0.069 | PDLC00063,GajA_00003, 2, 2.2e-06, 0.298, 0.275 | PDLC00063,GajA_00003, 3, 0.56, 0.123, 0.096 | PDLC00102,GajA_00042, 1, 1.2e-198, 0.994, 0.992 | PDLC00078,GajA_00018, 1, 3.3e-06, 0.087, 0.078 | PDLC00078,GajA_00018, 2, 3e-29, 0.427, 0.409 | PDLC04170,GajA_WP_158867532.1, 1, 0.011, 0.093, 0.09 | PDLC04170,GajA_WP_158867532.1, 2, 0.0089, 0.319, 0.308 | PDLC00101,GajA_00041, 1, 0.00067, 0.085, 0.071 | PDLC00101,GajA_00041, 2, 1.8e-05, 0.34, 0.31 | PDLC04168,GajA_WP_183617960.1, 1, 4e-07, 0.089, 0.084 | PDLC04168,GajA_WP_183617960.1, 2, 4.9e-14, 0.531, 0.505 | PDLC00092,GajA_00032, 1, 1.9e-09, 0.095, 0.083 | PDLC00092,GajA_00032, 2, 1.6e-07, 0.296, 0.268 | PDLC00098,GajA_00038, 1, 6.3e-297, 0.996, 0.994 | PDLC00066,GajA_00006, 1, 2.8e-05, 0.101, 0.092 | PDLC00066,GajA_00006, 2, 2.1e-13, 0.285, 0.272 | PDLC00077,GajA_00017, 1, 2.3e-06, 0.093, 0.081 | PDLC00077,GajA_00017, 2, 1.3e-17, 0.381, 0.356 | PDLC00067,GajA_00007, 1, 1.2e-05, 0.085, 0.073 | PDLC00067,GajA_00007, 2, 1.7e-16, 0.408, 0.381 | PDLC00070,GajA_00010, 1, 1.6e-09, 0.097, 0.084 | PDLC00070,GajA_00010, 2, 1.6e-12, 0.332, 0.314 | PDLC00061,GajA_00001, 1, 0.31, 0.083, 0.067 | PDLC00061,GajA_00001, 2, 7.7e-08, 0.273, 0.236 | PDLC00095,GajA_00035, 1, 0.00069, 0.091, 0.064 | PDLC00095,GajA_00035, 2, 0.0017, 0.37, 0.289 | PDLC00065,GajA_00005, 1, 6.4e-05, 0.12, 0.107 | PDLC00065,GajA_00005, 2, 5.4e-09, 0.294, 0.263 | PDLC00065,GajA_00005, 3, 37, 0.065, 0.054 | PDLC00080,GajA_00020, 1, 2.7e-06, 0.087, 0.085 | PDLC00080,GajA_00020, 2, 2.5e-15, 0.33, 0.296 | PDLC00085,GajA_00025, 1, 1.4e-06, 0.093, 0.084 | PDLC00085,GajA_00025, 2, 0.0017, 0.231, 0.217 | PDLC00084,GajA_00024, 1, 1.9e-06, 0.281, 0.353 | PDLC00088,GajA_00028, 1, 4.1e-06, 0.3, 0.495 | PDLC00100,GajA_00040, 1, 8.6e-05, 0.106, 0.089 | PDLC00100,GajA_00040, 2, 37, 0.059, 0.05 | PDLC00099,GajA_00039, 1, 1.3e-07, 0.089, 0.085 | PDLC00099,GajA_00039, 2, 1.7e-15, 0.3, 0.267 | PDLC00086,GajA_00026, 1, 1.7e-07, 0.089, 0.077 | PDLC00086,GajA_00026, 2, 0.00017, 0.237, 0.217 | PDLC00087,GajA_00027, 1, 690, 0.036, 0.09 | PDLC00087,GajA_00027, 2, 5.4e-06, 0.131, 0.313 | PDLC00087,GajA_00027, 3, 160, 0.072, 0.166","PDLC00098, GajA_00038, 6.3e-297, 0.996, 0.994 | PDLC00102, GajA_00042, 1.2e-198, 0.994, 0.992 | PDLC00078, GajA_00018, 3e-29, 0.427, 0.409 | PDLC00077, GajA_00017, 1.3e-17, 0.381, 0.356 | PDLC00096, GajA_00036, 3.6e-17, 0.412, 0.371"
2,RRWY01000004.1,gabija,RRWY01000004.1_7,PDLC00140,GajB_00038,GajB,8.499999999999997e-193,9.599999999999996e-193,0.975,0.995,6224,7321,+,-,7,11,"PDLC00134,GajB_00032, 1, 92, 0.052, 0.044 | PDLC00134,GajB_00032, 2, 0.0037, 0.128, 0.111 | PDLC00111,GajB_00009, 1, 0.00023, 0.161, 0.107 | PDLC00111,GajB_00009, 2, 1.3, 0.131, 0.082 | PDLC00111,GajB_00009, 3, 120, 0.041, 0.024 | PDLC00129,GajB_00027, 1, 3.6e-07, 0.139, 0.086 | PDLC00124,GajB_00022, 1, 160, 0.038, 0.019 | PDLC00124,GajB_00022, 2, 0.00094, 0.145, 0.076 | PDLC00148,GajB_00046, 1, 3.5e-112, 0.964, 0.989 | PDLC00145,GajB_00043, 1, 980, 0.036, 0.023 | PDLC00145,GajB_00043, 2, 9.4e-06, 0.156, 0.1 | PDLC00130,GajB_00028, 1, 0.0074, 0.213, 0.146 | PDLC00130,GajB_00028, 2, 0.00012, 0.314, 0.183 | PDLC00130,GajB_00028, 3, 6.4, 0.134, 0.087 | PDLC00136,GajB_00034, 1, 13, 0.202, 0.139 | PDLC00136,GajB_00034, 2, 2.9e-07, 0.156, 0.1 | PDLC00136,GajB_00034, 3, 1200, 0.025, 0.016 | PDLC00132,GajB_00030, 1, 4.4, 0.104, 0.067 | PDLC00132,GajB_00030, 2, 4.2e-05, 0.145, 0.086 | PDLC00132,GajB_00030, 3, 22, 0.06, 0.035 | PDLC04173,GajB_WP_172889455.1, 1, 0.46, 0.112, 0.089 | PDLC04173,GajB_WP_172889455.1, 2, 0.016, 0.145, 0.11 | PDLC04173,GajB_WP_172889455.1, 3, 7.5, 0.046, 0.036 | PDLC00103,GajB_00001, 1, 67, 0.052, 0.031 | PDLC00103,GajB_00001, 2, 0.00042, 0.128, 0.078 | PDLC00103,GajB_00001, 3, 5.6, 0.046, 0.028 | PDLC00131,GajB_00029, 1, 140, 0.025, 0.014 | PDLC00131,GajB_00029, 2, 0.00079, 0.109, 0.063 | PDLC00121,GajB_00019, 1, 1.8, 0.153, 0.115 | PDLC00121,GajB_00019, 2, 0.0034, 0.126, 0.078 | PDLC00122,GajB_00020, 1, 7.6e-13, 0.557, 0.402 | PDLC00122,GajB_00020, 2, 6.8, 0.044, 0.032 | PDLC00107,GajB_00005, 1, 85, 0.041, 0.027 | PDLC00107,GajB_00005, 2, 0.018, 0.12, 0.075 | PDLC00107,GajB_00005, 3, 0.073, 0.049, 0.031 | PDLC00146,GajB_00044, 1, 120, 0.101, 0.066 | PDLC00146,GajB_00044, 2, 0.0015, 0.137, 0.08 | PDLC00118,GajB_00016, 1, 3.6e-07, 0.495, 0.357 | PDLC00149,GajB_00047, 1, 140, 0.096, 0.069 | PDLC00149,GajB_00047, 2, 1.2e-05, 0.153, 0.097 | PDLC00105,GajB_00003, 1, 87, 0.027, 0.015 | PDLC00105,GajB_00003, 2, 0.076, 0.156, 0.094 | PDLC00133,GajB_00031, 1, 4, 0.205, 0.215 | PDLC00133,GajB_00031, 2, 0.0062, 0.142, 0.141 | PDLC00120,GajB_00018, 1, 5.1e-07, 0.197, 0.168 | PDLC00120,GajB_00018, 2, 1.9e-08, 0.137, 0.109 | PDLC00120,GajB_00018, 3, 12, 0.128, 0.105 | PDLC00144,GajB_00042, 1, 0.017, 0.117, 0.079 | PDLC00142,GajB_00040, 1, 0.00067, 0.139, 0.087 | PDLC00113,GajB_00011, 1, 0.011, 0.484, 0.325 | PDLC00109,GajB_00007, 1, 0.19, 0.115, 0.071 | PDLC00109,GajB_00007, 2, 0.0083, 0.142, 0.082 | PDLC00112,GajB_00010, 1, 160, 0.093, 0.067 | PDLC00112,GajB_00010, 2, 1.3e-07, 0.153, 0.096 | PDLC00112,GajB_00010, 3, 1.9, 0.175, 0.119 | PDLC00106,GajB_00004, 1, 37, 0.183, 0.135 | PDLC00106,GajB_00004, 2, 4.8e-07, 0.156, 0.099 | PDLC00106,GajB_00004, 3, 1000, 0.022, 0.014 | PDLC00147,GajB_00045, 1, 20, 0.027, 0.016 | PDLC00147,GajB_00045, 2, 0.032, 0.156, 0.093 | PDLC00147,GajB_00045, 3, 120, 0.06, 0.035 | PDLC00125,GajB_00023, 1, 0.12, 0.208, 0.108 | PDLC00125,GajB_00023, 2, 1.4, 0.123, 0.07 | PDLC00117,GajB_00015, 1, 0.00014, 0.205, 0.134 | PDLC00117,GajB_00015, 2, 7.4e-05, 0.139, 0.086 | PDLC00117,GajB_00015, 3, 0.16, 0.134, 0.084 | PDLC00143,GajB_00041, 1, 0.00033, 0.161, 0.106 | PDLC00143,GajB_00041, 2, 1.5, 0.128, 0.079 | PDLC00143,GajB_00041, 3, 150, 0.038, 0.022 | PDLC00123,GajB_00021, 1, 5.9e-07, 0.158, 0.104 | PDLC00123,GajB_00021, 2, 190, 0.038, 0.026 | PDLC00135,GajB_00033, 1, 0.00051, 0.205, 0.119 | PDLC00135,GajB_00033, 2, 1200, 0.036, 0.022 | PDLC00140,GajB_00038, 1, 9.6e-193, 0.975, 0.995 | PDLC00126,GajB_00024, 1, 98, 0.027, 0.017 | PDLC00126,GajB_00024, 2, 0.043, 0.137, 0.084 | PDLC00138,GajB_00036, 1, 39, 0.12, 0.088 | PDLC00138,GajB_00036, 2, 2e-04, 0.153, 0.098 | PDLC00119,GajB_00017, 1, 0.0033, 0.202, 0.138 | PDLC00119,GajB_00017, 2, 0.00032, 0.153, 0.099 | PDLC00119,GajB_00017, 3, 68, 0.12, 0.08 | PDLC00116,GajB_00014, 1, 90, 0.044, 0.029 | PDLC00116,GajB_00014, 2, 0.43, 0.128, 0.086 | PDLC00116,GajB_00014, 3, 29, 0.145, 0.092 | PDLC00127,GajB_00025, 1, 0.046, 0.134, 0.094 | PDLC00127,GajB_00025, 2, 0.00045, 0.137, 0.089 | PDLC00104,GajB_00002, 1, 6, 0.164, 0.106 | PDLC00104,GajB_00002, 2, 0.3, 0.161, 0.106","PDLC00140, GajB_00038, 9.6e-193, 0.975, 0.995 | PDLC00148, GajB_00046, 3.5e-112, 0.964, 0.989 | PDLC00122, GajB_00020, 7.6e-13, 0.557, 0.402 | PDLC00120, GajB_00018, 1.9e-08, 0.137, 0.109 | PDLC00112, GajB_00010, 1.3e-07, 0.153, 0.096"
3,RRWY01000014.1,Mokosh_TypeII,RRWY01000014.1_4,PDLC03924,Mokosh_TypeII__MkoC,MkoC,9.899999999999999e-62,3.9999999999999995e-61,0.722,0.614,3922,7185,+,-,4,5,"PDLC03924,Mokosh_TypeII__MkoC, 1, 4e-61, 0.722, 0.614","PDLC03924, Mokosh_TypeII__MkoC, 4e-61, 0.722, 0.614"
5,RRWY01000017.1,PDC-S52,RRWY01000017.1_207,PDLC05034,PDC-S52_WP_069084212.1,PDC-S52,2.6999999999999998e-80,3.1999999999999995e-80,0.958,0.962,231289,231924,+,-,207,432,"PDLC05034,PDC-S52_WP_069084212.1, 1, 3.2e-80, 0.958, 0.962","PDLC05034, PDC-S52_WP_069084212.1, 3.2e-80, 0.958, 0.962"
4,RRWY01000017.1,PDC-S08,RRWY01000017.1_314,PDLC04900,PDC-S08_WP_202707215.1,PDC-S08,1.3999999999999996e-127,2.1999999999999993e-127,0.981,0.935,355229,356194,+,-,314,432,"PDLC04900,PDC-S08_WP_202707215.1, 1, 2.2e-127, 0.981, 0.935","PDLC04900, PDC-S08_WP_202707215.1, 2.2e-127, 0.981, 0.935"
6,RRWY01000017.1,PDC-S55,RRWY01000017.1_316,PDLC05037,PDC-S55_WP_162277864.1,PDC-S55,4e-36,4.9000000000000003e-36,0.932,0.984,356971,357543,-,-,316,432,"PDLC05037,PDC-S55_WP_162277864.1, 1, 4.9e-36, 0.932, 0.984","PDLC05037, PDC-S55_WP_162277864.1, 4.9e-36, 0.932, 0.984"
7,RRWY01000022.1,DMS_other,RRWY01000022.1_57,PDLC03667,Control_protein_00004,Control_protein,1.5e-18,1.7e-18,0.764,0.832,75413,75742,+,-,57,63,"PDLC03667,Control_protein_00004, 1, 1.7e-18, 0.764, 0.832 | PDLC04142,capH, 1, 4.4e-05, 0.727, 0.709 | PDLC03664,Control_protein_00001, 1, 0.033, 0.373, 0.5","PDLC03667, Control_protein_00004, 1.7e-18, 0.764, 0.832 | PDLC04142, capH, 4.4e-05, 0.727, 0.709 | PDLC03664, Control_protein_00001, 0.033, 0.373, 0.5"
7,RRWY01000022.1,DMS_other,RRWY01000022.1_58,PDLC02662,DndC_00004,DndC,2.0999999999999994e-121,2.5999999999999994e-121,0.917,0.769,75870,77030,+,-,58,63,"PDLC03333,MTase_II_00119, 1, 1.3e-76, 0.891, 0.682 | PDLC02782,SspD_00001, 1, 1200, 0.041, 0.058 | PDLC02782,SspD_00001, 2, 3.1e-10, 0.359, 0.433 | PDLC02660,DndC_00002, 1, 1.3e-56, 0.509, 0.336 | PDLC02660,DndC_00002, 2, 1.6e-18, 0.243, 0.162 | PDLC02660,DndC_00002, 3, 0.58, 0.109, 0.07 | PDLC02510,BrxP_00001, 1, 1.9e-14, 0.478, 0.208 | PDLC02659,DndC_00001, 1, 1.3e-56, 0.509, 0.336 | PDLC02659,DndC_00001, 2, 1.6e-18, 0.243, 0.162 | PDLC02659,DndC_00001, 3, 0.58, 0.109, 0.07 | PDLC02662,DndC_00004, 1, 2.6e-121, 0.917, 0.769 | PDLC02661,DndC_00003, 1, 5.7e-118, 0.907, 0.782","PDLC02662, DndC_00004, 2.6e-121, 0.917, 0.769 | PDLC02661, DndC_00003, 5.7e-118, 0.907, 0.782 | PDLC03333, MTase_II_00119, 1.3e-76, 0.891, 0.682 | PDLC02660, DndC_00002, 1.3e-56, 0.509, 0.336 | PDLC02659, DndC_00001, 1.3e-56, 0.509, 0.336"
