sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JAYIKI010000001.1_PD-Lambda-5_18	PD-Lambda-5	PD-Lambda-5	Defense	JAYIKI010000001.1_75	JAYIKI010000001.1_76	JAYIKI010000001.1_75,JAYIKI010000001.1_76	2	PD-Lambda-5__PD-Lambda-5_A,PD-Lambda-5__PD-Lambda-5_B
JAYIKI010000002.1_RM_Type_IV_17	RM	RM_Type_IV	Defense	JAYIKI010000002.1_167	JAYIKI010000002.1_168	JAYIKI010000002.1_167,JAYIKI010000002.1_168	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
JAYIKI010000003.1_Mokosh_Type_I_A_12	Mokosh	Mokosh_Type_I_A	Defense	JAYIKI010000003.1_154	JAYIKI010000003.1_155	JAYIKI010000003.1_154,JAYIKI010000003.1_155	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
JAYIKI010000007.1_Wadjet_I_7	Wadjet	Wadjet_I	Defense	JAYIKI010000007.1_6	JAYIKI010000007.1_9	JAYIKI010000007.1_6,JAYIKI010000007.1_7,JAYIKI010000007.1_8,JAYIKI010000007.1_9	4	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I
JAYIKI010000007.1_HEC-01_2	HEC-01	HEC-01	Defense	JAYIKI010000007.1_10	JAYIKI010000007.1_11	JAYIKI010000007.1_10,JAYIKI010000007.1_11	2	HEC-01__HEC-01A,HEC-01__HEC-01B
JAYIKI010000007.1_HEC-04_3	HEC-04	HEC-04	Defense	JAYIKI010000007.1_40	JAYIKI010000007.1_40	JAYIKI010000007.1_40	1	HEC-04__HEC-04
JAYIKI010000007.1_SoFic_5	SoFIC	SoFic	Defense	JAYIKI010000007.1_142	JAYIKI010000007.1_142	JAYIKI010000007.1_142	1	SoFic__SoFic
JAYIKI010000007.1_NLR_like_bNACHT01_4	NLR	NLR_like_bNACHT01	Defense	JAYIKI010000007.1_150	JAYIKI010000007.1_150	JAYIKI010000007.1_150	1	NLR_like_bNACHT01__NLR_like_bNACHT01
JAYIKI010000008.1_RM_Type_IIG_19	RM	RM_Type_IIG	Defense	JAYIKI010000008.1_172	JAYIKI010000008.1_172	JAYIKI010000008.1_172	1	RM_Type_IIG__Type_IIG_3
JAYIKI010000008.1_VP1839_13	VP1839	VP1839	Defense	JAYIKI010000008.1_174	JAYIKI010000008.1_174	JAYIKI010000008.1_174	1	VP1839__VP1839
JAYIKI010000009.1_Zorya_TypeIII_8	Zorya	Zorya_TypeIII	Defense	JAYIKI010000009.1_50	JAYIKI010000009.1_53	JAYIKI010000009.1_50,JAYIKI010000009.1_52,JAYIKI010000009.1_53	3	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorB
JAYIKI010000018.1_Thoeris_IV_14	Thoeris	Thoeris_IV	Defense	JAYIKI010000018.1_5	JAYIKI010000018.1_6	JAYIKI010000018.1_5,JAYIKI010000018.1_6	2	Thoeris_IV__ThsA_Casp4,Thoeris__ThsB_Global
JAYIKI010000019.1_CAS_Class1-Subtype-I-F_20	Cas	CAS_Class1-Subtype-I-F	Defense	JAYIKI010000019.1_6	JAYIKI010000019.1_11	JAYIKI010000019.1_6,JAYIKI010000019.1_7,JAYIKI010000019.1_8,JAYIKI010000019.1_9,JAYIKI010000019.1_10,JAYIKI010000019.1_11	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_4,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas8f_I-F_8
JAYIKI010000024.1_Gabija_15	Gabija	Gabija	Defense	JAYIKI010000024.1_54	JAYIKI010000024.1_55	JAYIKI010000024.1_54,JAYIKI010000024.1_55	2	Gabija__GajA,Gabija__GajB_2
JAYIKI010000035.1_Avs_III_10	Avs	Avs_III	Defense	JAYIKI010000035.1_5	JAYIKI010000035.1_7	JAYIKI010000035.1_5,JAYIKI010000035.1_7	2	Avs_III__Avs3A,Avs_III__Avs3B
JAYIKI010000039.1_DarTG_1	DarTG	DarTG	Defense	JAYIKI010000039.1_18	JAYIKI010000039.1_19	JAYIKI010000039.1_18,JAYIKI010000039.1_19	2	DarTG__DarG,DarTG__DarT
JAYIKI010000042.1_Hypnos_16	Hypnos	Hypnos	Defense	JAYIKI010000042.1_5	JAYIKI010000042.1_5	JAYIKI010000042.1_5	1	Hypnos__HyoA
JAYIKI010000043.1_Gabija_9	Gabija	Gabija	Defense	JAYIKI010000043.1_10	JAYIKI010000043.1_11	JAYIKI010000043.1_10,JAYIKI010000043.1_11	2	Gabija__GajA,Gabija__GajB_3
