replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
JAYGWX010000003.1	JAYGWX010000003.1_101	RM__Type_I_REases_FAM_0.einsi_trimmed	744	defense-finder-models/RM/RM/RM_Type_I	JAYGWX010000003.1_RM_Type_I_14	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1097	2.7e-229	762.1	0.98	0.964	10	1067		JAYGWX010000003.1_PrrC_13	RM	RM_Type_I	Defense
JAYGWX010000003.1	JAYGWX010000003.1_102	RM__Type_I_S_51	745	defense-finder-models/RM/RM/RM_Type_I	JAYGWX010000003.1_RM_Type_I_14	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	284	4.9000000000000004e-60	201.2	0.574	0.989	1	281		JAYGWX010000003.1_PrrC_13	RM	RM_Type_I	Defense
JAYGWX010000003.1	JAYGWX010000003.1_105	RM__Type_I_MTases_FAM_0	748	defense-finder-models/RM/RM/RM_Type_I	JAYGWX010000003.1_RM_Type_I_14	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	503	1.6e-166	553.0	0.992	0.99	4	501		JAYGWX010000003.1_PrrC_13	RM	RM_Type_I	Defense
JAYGWX010000003.1	JAYGWX010000003.1_277	RM_Type_IV__FAM_1	920	defense-finder-models/RM/RM/RM_Type_IV	JAYGWX010000003.1_RM_Type_IV_15	1	1	0.333	2.0	1	RM_Type_IV__FAM_1	mandatory	843	8.3e-84	280.6	0.492	0.563	311	785			RM	RM_Type_IV	Defense
JAYGWX010000003.1	JAYGWX010000003.1_278	RM_Type_IV__FAM_2	921	defense-finder-models/RM/RM/RM_Type_IV	JAYGWX010000003.1_RM_Type_IV_15	1	1	0.333	2.0	1	RM_Type_IV__FAM_2	mandatory	432	1.3e-55	186.7	0.889	0.894	1	386			RM	RM_Type_IV	Defense
JAYGWX010000015.1	JAYGWX010000015.1_28	CapRel__CapRel	2691	defense-finder-models/DefenseFinder/CapRel/CapRel	JAYGWX010000015.1_CapRel_7	1	1	1.0	1.0	1	CapRel__CapRel	mandatory	257	3.4e-21	73.7	0.417	0.626	2	162			CapRel	CapRel	Defense
JAYGWX010000017.1	JAYGWX010000017.1_88	SoFic__SoFic	2942	defense-finder-models/DefenseFinder/SoFIC/SoFic	JAYGWX010000017.1_SoFic_9	1	1	1.0	1.0	1	SoFic__SoFic	mandatory	383	5.4e-123	408.7	0.961	0.901	18	362			SoFIC	SoFic	Defense
JAYGWX010000019.1	JAYGWX010000019.1_40	RM__Type_I_REases_FAM_1.einsi_trimmed	3089	defense-finder-models/RM/RM/RM_Type_I	JAYGWX010000019.1_RM_Type_I_17	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1028	0.0	1100.5	0.993	0.984	4	1015		JAYGWX010000019.1_PrrC_16	RM	RM_Type_I	Defense
JAYGWX010000019.1	JAYGWX010000019.1_41	RM__Type_I_S_52	3090	defense-finder-models/RM/RM/RM_Type_I	JAYGWX010000019.1_RM_Type_I_17	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	440	1.2e-67	227.0	0.67	0.968	9	434		JAYGWX010000019.1_PrrC_16	RM	RM_Type_I	Defense
JAYGWX010000019.1	JAYGWX010000019.1_43	RM__Type_I_MTases_FAM_3	3092	defense-finder-models/RM/RM/RM_Type_I	JAYGWX010000019.1_RM_Type_I_17	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	729	5.7e-258	855.4	0.995	0.995	2	726		JAYGWX010000019.1_PrrC_16	RM	RM_Type_I	Defense
