sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JAUBLF010000005.1_Zorya_TypeIII_3	Zorya	Zorya_TypeIII	Defense	JAUBLF010000005.1_14	JAUBLF010000005.1_17	JAUBLF010000005.1_14,JAUBLF010000005.1_15,JAUBLF010000005.1_16,JAUBLF010000005.1_17	4	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorA,Zorya__ZorB
JAUBLF010000012.1_PD-T7-5_5	PD-T7-5	PD-T7-5	Defense	JAUBLF010000012.1_36	JAUBLF010000012.1_36	JAUBLF010000012.1_36	1	PD-T7-5__PD-T7-5
JAUBLF010000022.1_SspBCDE_2	SspBCDE	SspBCDE	Defense	JAUBLF010000022.1_27	JAUBLF010000022.1_29	JAUBLF010000022.1_27,JAUBLF010000022.1_28,JAUBLF010000022.1_29	3	SspBCDE__SspB,SspBCDE__SspC,SspBCDE__SspD
JAUBLF010000030.1_CAS_Class1-Subtype-I-F_13	Cas	CAS_Class1-Subtype-I-F	Defense	JAUBLF010000030.1_2	JAUBLF010000030.1_7	JAUBLF010000030.1_2,JAUBLF010000030.1_3,JAUBLF010000030.1_4,JAUBLF010000030.1_5,JAUBLF010000030.1_6,JAUBLF010000030.1_7	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_4,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas8f_I-F_8
JAUBLF010000045.1_CapRel_9	CapRel	CapRel	Defense	JAUBLF010000045.1_2	JAUBLF010000045.1_2	JAUBLF010000045.1_2	1	CapRel__CapRel
JAUBLF010000059.1_RM_Type_I_12	RM	RM_Type_I	Defense	JAUBLF010000059.1_3	JAUBLF010000059.1_7	JAUBLF010000059.1_3,JAUBLF010000059.1_4,JAUBLF010000059.1_7	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JAUBLF010000096.1_Wadjet_I_7	Wadjet	Wadjet_I	Defense	JAUBLF010000096.1_1	JAUBLF010000096.1_6	JAUBLF010000096.1_1,JAUBLF010000096.1_2,JAUBLF010000096.1_4,JAUBLF010000096.1_6	4	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I
JAUBLF010000107.1_AbiD_10	AbiD	AbiD	Defense	JAUBLF010000107.1_4	JAUBLF010000107.1_4	JAUBLF010000107.1_4	1	AbiD__AbiD
JAUBLF010000150.1_Septu_4	Septu	Septu	Defense	JAUBLF010000150.1_3	JAUBLF010000150.1_4	JAUBLF010000150.1_3,JAUBLF010000150.1_4	2	Septu__PtuA_2,Septu__PtuB_2
JAUBLF010000151.1_Prometheus_8	Prometheus	Prometheus	Defense	JAUBLF010000151.1_6	JAUBLF010000151.1_6	JAUBLF010000151.1_6	1	Prometheus__ProA
JAUBLF010000154.1_AbiE_1	AbiE	AbiE	Defense	JAUBLF010000154.1_3	JAUBLF010000154.1_4	JAUBLF010000154.1_3,JAUBLF010000154.1_4	2	AbiEii__AbiEi_3,AbiEii__AbiEii
