gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
JAYITZ010000001.1_1	1	741	741	1	0.641	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_2	1140	1457	318	-1	0.550	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_3	1647	1952	306	-1	0.513	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_4	2290	3300	1011	1	0.627	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_5	3297	3647	351	1	0.604	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_6	3783	5036	1254	-1	0.631	11	GGA/GAG/AGG	GENOMAD.015873.CC	5.96e-40	157	0	0	0	1	NA	NA	NA	PF00561;TIGR03101;COG0412;K24084	exosortase A system-associated hydrolase 2
JAYITZ010000001.1_7	5606	7405	1800	1	0.665	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_8	7478	8395	918	-1	0.678	11	GGA/GAG/AGG	GENOMAD.170952.PC	3.621e-72	247	0	0	0	1	NA	NA	NA	PF03466;TIGR03298;COG0583;K21698	transcriptional regulator, ArgP family
JAYITZ010000001.1_9	8503	9129	627	1	0.670	11	None	GENOMAD.161205.CP	2.703e-09	59	0	0	0	1	NA	NA	NA	PF01810;K06895;COG1280;TIGR00949	Threonine/homoserine/homoserine lactone efflux protein
JAYITZ010000001.1_10	9296	9721	426	1	0.615	11	AGGA	GENOMAD.179695.CP	0.0006636	41	0	0	0	1	NA	NA	NA	PF13527;TIGR04431;COG3153;K03830	aminoglycoside N(6')-acetyltransferase, AacA4 family
JAYITZ010000001.1_11	9886	10233	348	-1	0.644	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_12	10821	11027	207	-1	0.594	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_13	11212	11922	711	1	0.667	11	GGA/GAG/AGG	GENOMAD.106866.CP	3.125e-40	151	0	0	0	1246	Caudoviricetes	NA	NA	COG1187	16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases
JAYITZ010000001.1_14	12258	12368	111	-1	0.568	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_15	13370	13774	405	-1	0.585	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_16	13853	14335	483	-1	0.636	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_17	14475	16277	1803	-1	0.675	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_18	16653	17204	552	-1	0.647	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_19	17292	21407	4116	1	0.679	11	None	GENOMAD.105310.CV	4.455e-154	528	0	0	0	1	NA	NA	NA	PF11898	NA
JAYITZ010000001.1_20	21659	24295	2637	-1	0.632	11	AGGAG	GENOMAD.152082.CP	2.419e-107	373	0	0	0	1	NA	NA	NA	PF00593;PF07715;PF00691;TIGR01782;COG4773;K16089	TonB-dependent receptor
JAYITZ010000001.1_21	24402	25436	1035	-1	0.690	11	GGAG/GAGG	GENOMAD.142642.CP	2.669e-95	316	0	0	0	1	NA	NA	NA	PF02685;TIGR00749;K00845;COG0837	glucokinase, proteobacterial type
JAYITZ010000001.1_22	25779	27242	1464	-1	0.680	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_23	27504	28016	513	-1	0.630	11	None	GENOMAD.209634.PC	8.098e-27	109	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_24	28077	29207	1131	-1	0.697	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_25	29204	29482	279	-1	0.674	11	None	GENOMAD.190979.PC	2.12e-16	75	0	0	0	1	NA	NA	NA	PF05402;K06138;TIGR03859	coenzyme PQQ biosynthesis protein PqqD
JAYITZ010000001.1_26	29479	30231	753	-1	0.645	11	GGAG/GAGG	GENOMAD.169830.CP	5.948e-104	336	0	0	0	1	NA	NA	NA	PF03070;PF05402;K06137;TIGR02111;COG5424	coenzyme PQQ biosynthesis protein C
JAYITZ010000001.1_27	30228	31127	900	-1	0.649	11	GGA/GAG/AGG	GENOMAD.180288.CP	4.591e-66	229	0	0	0	1	NA	NA	NA	PF12706;K06136;TIGR02108;COG1234	coenzyme PQQ biosynthesis protein B
JAYITZ010000001.1_28	31568	33739	2172	1	0.692	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
JAYITZ010000001.1_29	33826	35340	1515	1	0.729	11	GGA/GAG/AGG	GENOMAD.010877.CC	2.553e-175	556	0	0	0	1	NA	NA	NA	K09667;COG4105	Outer membrane protein assembly factor BamD, BamD/ComL family
JAYITZ010000001.1_30	35415	37517	2103	-1	0.674	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
