hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JAYILE010000001.1_146	JAYILE010000001.1	146	521	DISARM__drmC	1.4e-14	52.2	0.494	0.269	329	468
JAYILE010000001.1_169	JAYILE010000001.1	169	432	RM_Type_IV__Type_IV_01	1.9e-49	167.7	0.667	0.801	39	384
JAYILE010000001.1_169	JAYILE010000001.1	169	432	RM_Type_IV__FAM_2	1.9000000000000002e-55	186.1	0.886	0.891	1	385
JAYILE010000001.1_170	JAYILE010000001.1	170	843	RM_Type_IV__FAM_1	7.600000000000001e-84	280.7	0.492	0.563	311	785
JAYILE010000001.1_206	JAYILE010000001.1	206	414	Dnd__DndA	1.8e-34	117.2	0.865	0.821	33	372
JAYILE010000001.1_350	JAYILE010000001.1	350	308	Brig1__ADP_ribosyl	4e-58	195.3	0.436	0.929	5	290
JAYILE010000001.1_369	JAYILE010000001.1	369	601	PsyrTA__PsyrT	8.3e-91	303.0	0.517	0.576	4	349
JAYILE010000001.1_384	JAYILE010000001.1	384	225	Dpd__QueC	4.1e-52	174.5	0.986	0.978	2	221
JAYILE010000001.1_385	JAYILE010000001.1	385	228	Dpd__QueE	9.8e-07	26.5	0.652	0.658	71	220
JAYILE010000001.1_443	JAYILE010000001.1	443	862	Dodola__DolB	2.8999999999999997e-22	77.2	0.592	0.275	487	723
JAYILE010000002.1_59	JAYILE010000002.1	521	374	Veles__VlsB1	2.7e-114	380.0	0.949	0.933	18	366
JAYILE010000002.1_59	JAYILE010000002.1	521	374	Veles__VlsB2	6.8000000000000005e-115	382.0	0.921	0.941	15	366
JAYILE010000002.1_102	JAYILE010000002.1	564	221	DarTG__DarT	7.3e-20	69.5	0.975	0.887	17	212
JAYILE010000002.1_142	JAYILE010000002.1	604	1168	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.3e-10	38.9	0.635	0.406	657	1130
JAYILE010000002.1_142	JAYILE010000002.1	604	1168	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	4.5e-12	42.7	0.434	0.415	1	485
JAYILE010000002.1_142	JAYILE010000002.1	604	1168	Wadjet__JetC_I	7.2e-14	48.5	0.45	0.43	340	841
JAYILE010000002.1_158	JAYILE010000002.1	620	482	DEDDh_I_II_III_IV_V_VI_1	5.8e-17	60.2	0.975	0.373	6	185
JAYILE010000002.1_190	JAYILE010000002.1	652	215	DEDDh_I_II_III_IV_V_VI_1	1.9e-24	84.6	0.994	0.814	26	200
JAYILE010000002.1_261	JAYILE010000002.1	723	242	Zorya__ZorB	1.7e-11	41.8	0.562	0.558	93	227
JAYILE010000002.1_271	JAYILE010000002.1	733	256	Gao_Qat__QatD	5.2e-17	59.9	0.953	0.973	2	250
JAYILE010000002.1_272	JAYILE010000002.1	734	277	CBASS__AG_E1_ThiF	1.8e-34	117.1	0.594	0.527	20	165
JAYILE010000002.1_406	JAYILE010000002.1	868	831	BREX__brxHI	1.8e-50	169.9	0.854	0.762	23	655
JAYILE010000002.1_406	JAYILE010000002.1	868	831	Shango__SngC	4.8e-63	211.8	0.869	0.771	16	656
JAYILE010000002.1_436	JAYILE010000002.1	898	461	RosmerTA__RmrA_2734955840	0.00091	16.3	0.437	0.41	15	203
JAYILE010000003.1_8	JAYILE010000003.1	912	299	Ukko__UkkD1	1.7e-60	202.6	0.947	0.88	20	282
JAYILE010000003.1_8	JAYILE010000003.1	912	299	Ukko__UkkD2	1.7e-60	202.6	0.947	0.88	20	282
JAYILE010000003.1_142	JAYILE010000003.1	1046	636	Lamassu-Fam__LmuB_SMC_Cap4_nuclease	5.4e-12	42.8	0.703	0.689	20	457
JAYILE010000003.1_142	JAYILE010000003.1	1046	636	Lamassu-Fam__LmuB_SMC_PDDEXK	2.1e-12	44.2	0.56	0.586	240	612
JAYILE010000003.1_142	JAYILE010000003.1	1046	636	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.8e-29	101.2	0.943	0.939	15	611
JAYILE010000003.1_142	JAYILE010000003.1	1046	636	Lamassu-Fam__LmuB_SMC_Mrr	4.7e-32	109.2	0.946	0.937	19	614
JAYILE010000003.1_142	JAYILE010000003.1	1046	636	Lamassu-Fam__LmuB_SMC_Lipase	1.8e-42	143.3	0.863	0.882	14	574
JAYILE010000003.1_212	JAYILE010000003.1	1116	322	WYL_I_II_III_IV_V_VI_4	1e-39	134.3	0.965	0.528	144	313
JAYILE010000003.1_212	JAYILE010000003.1	1116	322	WYL_I_II_III_IV_V_VI_1	2.1999999999999998e-67	225.7	0.984	0.994	1	320
JAYILE010000003.1_267	JAYILE010000003.1	1171	355	RM_Type_II__Type_II_MTases_FAM_38	1.7e-06	25.5	0.404	0.358	43	169
JAYILE010000003.1_361	JAYILE010000003.1	1265	235	CBASS__Endonuc_small	1.2e-10	39.5	0.461	0.468	19	128
JAYILE010000003.1_361	JAYILE010000003.1	1265	235	PD_DExK_I_II_III_IV_V_VI_5	3.1e-23	79.6	0.969	0.515	3	123
JAYILE010000004.1_163	JAYILE010000004.1	1463	235	Avs_III__Avs3B	3.1999999999999997e-29	100.1	0.905	0.915	6	220
JAYILE010000004.1_164	JAYILE010000004.1	1464	2091	Avs_III__Avs3A	0.0	1597.6	0.981	0.978	10	2054
JAYILE010000004.1_264	JAYILE010000004.1	1564	368	Veles__VlsB1	9.7e-105	348.6	0.951	0.957	15	366
JAYILE010000004.1_264	JAYILE010000004.1	1564	368	Veles__VlsB2	5.6e-105	349.4	0.923	0.954	16	366
JAYILE010000004.1_288	JAYILE010000004.1	1588	118	Dpd__QueD	1.6e-57	191.0	0.958	0.975	3	117
JAYILE010000005.1_21	JAYILE010000005.1	1625	340	WYL_I_II_III_IV_V_VI_4	3.9e-25	86.8	0.977	0.497	143	311
