sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
CP168190.1_6A_MBL_1	6A_MBL	6A_MBL	Defense	CP168190.1_129	CP168190.1_130	CP168190.1_129,CP168190.1_130	2	6A_MBL__MblB,6A_MBL__cap2_3
CP168190.1_SoFic_15	SoFIC	SoFic	Defense	CP168190.1_142	CP168190.1_142	CP168190.1_142	1	SoFic__SoFic
CP168190.1_Gabija_10	Gabija	Gabija	Defense	CP168190.1_912	CP168190.1_913	CP168190.1_912,CP168190.1_913	2	Gabija__GajA,Gabija__GajB_2
CP168190.1_RM_Type_I_23	RM	RM_Type_I	Defense	CP168190.1_1402	CP168190.1_1406	CP168190.1_1402,CP168190.1_1403,CP168190.1_1406	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
CP168190.1_Hypnos_12	Hypnos	Hypnos	Defense	CP168190.1_2216	CP168190.1_2216	CP168190.1_2216	1	Hypnos__HyoA
CP168190.1_DS-1_8	DS-1	DS-1	Defense	CP168190.1_2258	CP168190.1_2261	CP168190.1_2258,CP168190.1_2259,CP168190.1_2261	3	DS-1__DS-1A,DS-1__DS-1B,DS-1__DS-1B
CP168190.1_Prometheus_13	Prometheus	Prometheus	Defense	CP168190.1_2521	CP168190.1_2521	CP168190.1_2521	1	Prometheus__ProA
CP168190.1_CBASS_II_7	CBASS	CBASS_II	Defense	CP168190.1_2629	CP168190.1_2632	CP168190.1_2629,CP168190.1_2630,CP168190.1_2631,CP168190.1_2632	4	CBASS__AG_E1_ThiF,CBASS__Cyclase_II,CBASS__Jab,CBASS__Phospholipase
CP168190.1_RM_Type_I_24	RM	RM_Type_I	Defense	CP168190.1_3023	CP168190.1_3028	CP168190.1_3023,CP168190.1_3026,CP168190.1_3028	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06
CP168190.1_AbiE_2	AbiE	AbiE	Defense	CP168190.1_3417	CP168190.1_3418	CP168190.1_3417,CP168190.1_3418	2	AbiEii__AbiEi_3,AbiEii__AbiEii
CP168190.1_Zorya_TypeIII_18	Zorya	Zorya_TypeIII	Defense	CP168190.1_3535	CP168190.1_3538	CP168190.1_3535,CP168190.1_3536,CP168190.1_3537,CP168190.1_3538	4	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorA,Zorya__ZorB
CP168190.1_RloC_14	RloC	RloC	Defense	CP168190.1_3631	CP168190.1_3631	CP168190.1_3631	1	RloC__RloC
CP168190.1_DS-2_9	DS-2	DS-2	Defense	CP168190.1_4453	CP168190.1_4458	CP168190.1_4453,CP168190.1_4454,CP168190.1_4458	3	CBASS__Cyclase_new,CBASS__Effector_2TM_S_2TMBeta,DS-2__DS-2C
CP168190.1_Gabija_11	Gabija	Gabija	Defense	CP168190.1_4459	CP168190.1_4461	CP168190.1_4459,CP168190.1_4461	2	Gabija__GajA,Gabija__GajB_1
CP168190.1_Wadjet_I_17	Wadjet	Wadjet_I	Defense	CP168190.1_4882	CP168190.1_4884	CP168190.1_4882,CP168190.1_4883,CP168190.1_4884	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
CP168192.1_HEC-09_19	HEC-09	HEC-09	Defense	CP168192.1_30	CP168192.1_30	CP168192.1_30	1	HEC-09__HEC-09
CP168192.1_HEC-09_20	HEC-09	HEC-09	Defense	CP168192.1_82	CP168192.1_82	CP168192.1_82	1	HEC-09__HEC-09
