seq_name	chromosome_score	plasmid_score	virus_score
JAYINO010000001.1	1.0000	0.0000	0.0000
JAYINO010000002.1	0.9999	0.0001	0.0000
JAYINO010000003.1	0.9999	0.0001	0.0000
JAYINO010000004.1	0.9998	0.0002	0.0000
JAYINO010000005.1	0.9996	0.0004	0.0000
JAYINO010000006.1	1.0000	0.0000	0.0000
JAYINO010000007.1	1.0000	0.0000	0.0000
JAYINO010000008.1	0.9993	0.0007	0.0000
JAYINO010000009.1	0.9999	0.0001	0.0000
JAYINO010000010.1	1.0000	0.0000	0.0000
JAYINO010000011.1	0.9999	0.0001	0.0000
JAYINO010000012.1	0.9999	0.0001	0.0000
JAYINO010000013.1	1.0000	0.0000	0.0000
JAYINO010000014.1	0.9999	0.0001	0.0000
JAYINO010000015.1	0.9999	0.0001	0.0000
JAYINO010000016.1	0.9998	0.0002	0.0000
JAYINO010000017.1	0.9996	0.0004	0.0000
JAYINO010000018.1	1.0000	0.0000	0.0000
JAYINO010000019.1	1.0000	0.0000	0.0000
JAYINO010000020.1	0.9966	0.0034	0.0000
JAYINO010000021.1	0.9993	0.0007	0.0000
JAYINO010000022.1	0.9999	0.0001	0.0000
JAYINO010000023.1	0.9995	0.0005	0.0000
JAYINO010000024.1	0.9994	0.0006	0.0000
JAYINO010000025.1	1.0000	0.0000	0.0000
JAYINO010000026.1	0.9997	0.0003	0.0000
JAYINO010000027.1	1.0000	0.0000	0.0000
JAYINO010000028.1	1.0000	0.0000	0.0000
JAYINO010000029.1	0.9997	0.0003	0.0000
JAYINO010000030.1	0.9957	0.0043	0.0000
JAYINO010000031.1	0.9999	0.0001	0.0000
JAYINO010000032.1	0.0001	0.9999	0.0000
JAYINO010000033.1	0.9997	0.0003	0.0000
JAYINO010000034.1	0.7609	0.2391	0.0000
JAYINO010000035.1	0.3964	0.6036	0.0000
JAYINO010000036.1	0.0004	0.9996	0.0000
JAYINO010000037.1	0.0002	0.9998	0.0000
JAYINO010000038.1	0.9765	0.0235	0.0000
JAYINO010000039.1	0.9998	0.0000	0.0002
JAYINO010000040.1	0.3073	0.6927	0.0000
JAYINO010000041.1	1.0000	0.0000	0.0000
JAYINO010000042.1	0.9963	0.0035	0.0002
JAYINO010000043.1	0.9301	0.0694	0.0005
JAYINO010000044.1	0.6877	0.3116	0.0007
JAYINO010000045.1	0.6023	0.1542	0.2436
JAYINO010000046.1	0.6710	0.3289	0.0000
JAYINO010000047.1	0.8327	0.1670	0.0003
JAYINO010000048.1	0.7471	0.1831	0.0698
JAYINO010000049.1	0.1907	0.1974	0.6119
JAYINO010000050.1	0.0106	0.9298	0.0597
JAYINO010000051.1	1.0000	0.0000	0.0000
JAYINO010000052.1	0.0000	0.0000	1.0000
JAYINO010000053.1	0.9829	0.0028	0.0142
JAYINO010000054.1	0.0280	0.8855	0.0865
JAYINO010000055.1	0.9858	0.0132	0.0011
JAYINO010000056.1	0.7619	0.1108	0.1272
JAYINO010000057.1	0.7664	0.1056	0.1280
JAYINO010000058.1	0.7435	0.0495	0.2070
JAYINO010000059.1	0.0004	0.0046	0.9950
JAYINO010000060.1	0.8693	0.0919	0.0388
JAYINO010000061.1	0.8323	0.1628	0.0049
JAYINO010000062.1	0.9077	0.0385	0.0538
JAYINO010000063.1	0.6351	0.1344	0.2305
JAYINO010000064.1	0.0009	0.0001	0.9990
JAYINO010000065.1	0.6054	0.0303	0.3643
JAYINO010000066.1	0.0496	0.0390	0.9114
JAYINO010000067.1	0.5728	0.0286	0.3985
JAYINO010000068.1	0.7253	0.0366	0.2381
JAYINO010000069.1	0.8918	0.0117	0.0965
JAYINO010000070.1	0.4864	0.1733	0.3403
JAYINO010000071.1	0.4715	0.0019	0.5266
JAYINO010000072.1	0.7288	0.0381	0.2331
JAYINO010000073.1	0.5471	0.2099	0.2430
JAYINO010000074.1	0.8448	0.0323	0.1229
JAYINO010000075.1	0.9163	0.0480	0.0357
JAYINO010000076.1	0.8056	0.1928	0.0016
JAYINO010000077.1	0.6630	0.0294	0.3076
JAYINO010000078.1	0.7119	0.0307	0.2575
JAYINO010000079.1	0.6519	0.1151	0.2330
JAYINO010000080.1	0.7044	0.0337	0.2619
JAYINO010000081.1	0.7409	0.0358	0.2233
JAYINO010000082.1	0.6786	0.0324	0.2889
JAYINO010000083.1	0.6786	0.0324	0.2889
JAYINO010000084.1	0.6786	0.0324	0.2889
JAYINO010000085.1	0.6828	0.0272	0.2900
JAYINO010000086.1	0.6786	0.0324	0.2889
JAYINO010000087.1	0.9605	0.0074	0.0321
JAYINO010000088.1	0.9605	0.0074	0.0321
