sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JBEFVV010000003.1_RM_Type_IV_14	RM	RM_Type_IV	Defense	JBEFVV010000003.1_19	JBEFVV010000003.1_20	JBEFVV010000003.1_19,JBEFVV010000003.1_20	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
JBEFVV010000003.1_RM_Type_I_13	RM	RM_Type_I	Defense	JBEFVV010000003.1_192	JBEFVV010000003.1_196	JBEFVV010000003.1_192,JBEFVV010000003.1_195,JBEFVV010000003.1_196	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JBEFVV010000005.1_RloC_7	RloC	RloC	Defense	JBEFVV010000005.1_243	JBEFVV010000005.1_243	JBEFVV010000005.1_243	1	RloC__RloC
JBEFVV010000008.1_CapRel_1	CapRel	CapRel	Defense	JBEFVV010000008.1_174	JBEFVV010000008.1_174	JBEFVV010000008.1_174	1	CapRel__CapRel
JBEFVV010000011.1_RM_Type_I_16	RM	RM_Type_I	Defense	JBEFVV010000011.1_39	JBEFVV010000011.1_42	JBEFVV010000011.1_39,JBEFVV010000011.1_40,JBEFVV010000011.1_42	3	RM__Type_I_MTases_FAM_3,RM__Type_I_REases_FAM_1.einsi_trimmed,RM__Type_I_S_52
JBEFVV010000011.1_RM_Type_II_17	RM	RM_Type_II	Defense	JBEFVV010000011.1_112	JBEFVV010000011.1_113	JBEFVV010000011.1_112,JBEFVV010000011.1_113	2	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_REase06
JBEFVV010000015.1_SoFic_11	SoFIC	SoFic	Defense	JBEFVV010000015.1_12	JBEFVV010000015.1_12	JBEFVV010000015.1_12	1	SoFic__SoFic
JBEFVV010000020.1_PD-T7-5_8	PD-T7-5	PD-T7-5	Defense	JBEFVV010000020.1_65	JBEFVV010000020.1_65	JBEFVV010000020.1_65	1	PD-T7-5__PD-T7-5
JBEFVV010000026.1_Wadjet_I_6	Wadjet	Wadjet_I	Defense	JBEFVV010000026.1_9	JBEFVV010000026.1_12	JBEFVV010000026.1_9,JBEFVV010000026.1_11,JBEFVV010000026.1_12	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
JBEFVV010000026.1_DS-32_4	DS-32	DS-32	Defense	JBEFVV010000026.1_40	JBEFVV010000026.1_41	JBEFVV010000026.1_40,JBEFVV010000026.1_41	2	DS-32__DS-32A,DS-32__DS-32B
JBEFVV010000030.1_SoFic_9	SoFIC	SoFic	Defense	JBEFVV010000030.1_16	JBEFVV010000030.1_16	JBEFVV010000030.1_16	1	SoFic__SoFic
JBEFVV010000033.1_Zorya_TypeIII_10	Zorya	Zorya_TypeIII	Defense	JBEFVV010000033.1_8	JBEFVV010000033.1_11	JBEFVV010000033.1_8,JBEFVV010000033.1_10,JBEFVV010000033.1_11	3	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorB
JBEFVV010000036.1_Gabija_2	Gabija	Gabija	Defense	JBEFVV010000036.1_3	JBEFVV010000036.1_4	JBEFVV010000036.1_3,JBEFVV010000036.1_4	2	Gabija__GajA,Gabija__GajB_1
JBEFVV010000036.1_Mokosh_TypeII_3	Mokosh	Mokosh_TypeII	Defense	JBEFVV010000036.1_5	JBEFVV010000036.1_5	JBEFVV010000036.1_5	1	Mokosh_TypeII__MkoC
