hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
CP168205.1_15	CP168205.1	15	487	DISARM__drmC	1.1e-19	68.8	0.638	0.331	299	459
CP168205.1_63	CP168205.1	63	832	BREX__brxHI	5e-43	145.3	0.463	0.406	77	414
CP168205.1_152	CP168205.1	152	198	CBASS__2TM_Gros	3.3e-19	67.8	0.739	0.864	1	171
CP168205.1_153	CP168205.1	153	434	CBASS__Cyclase_II	4.8e-24	82.9	0.932	0.668	5	294
CP168205.1_153	CP168205.1	153	434	CBASS__A_Cyclase_AGS_C	1.7e-30	103.6	0.977	0.293	306	432
CP168205.1_153	CP168205.1	153	434	CBASS__Cyclase_SMODS	2.5e-40	136.2	1.0	0.376	1	163
CP168205.1_253	CP168205.1	253	390	SoFic__SoFic	5e-121	402.2	0.986	0.941	18	384
CP168205.1_341	CP168205.1	341	269	Gao_Qat__QatD	2.6e-15	54.3	0.799	0.773	16	223
CP168205.1_463	CP168205.1	463	301	Ukko__UkkD2	5.2e-61	204.2	0.958	0.884	20	285
CP168205.1_463	CP168205.1	463	301	Ukko__UkkD1	5.2e-61	204.2	0.958	0.884	20	285
CP168205.1_631	CP168205.1	631	635	Lamassu-Fam__LmuB_SMC_Sir2	3.9e-07	26.4	0.548	0.559	243	597
CP168205.1_631	CP168205.1	631	635	Lamassu-Fam__LmuB_SMC_PDDEXK	9.5e-15	51.9	0.549	0.575	242	606
CP168205.1_631	CP168205.1	631	635	Lamassu-Fam__LmuB_SMC_Mrr	5.9e-33	112.1	0.879	0.887	8	570
CP168205.1_631	CP168205.1	631	635	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	2.9e-41	140.1	0.962	0.957	8	615
CP168205.1_631	CP168205.1	631	635	Lamassu-Fam__LmuB_SMC_Lipase	1.7e-49	166.5	0.872	0.893	6	572
CP168205.1_700	CP168205.1	700	322	WYL_I_II_III_IV_V_VI_4	7.4e-39	131.5	0.965	0.528	144	313
CP168205.1_700	CP168205.1	700	322	WYL_I_II_III_IV_V_VI_1	2e-67	225.8	0.984	0.994	1	320
CP168205.1_1082	CP168205.1	1082	824	Dodola__DolB	1.6e-10	38.5	0.408	0.201	311	476
CP168205.1_1089	CP168205.1	1089	245	DEDDh_I_II_III_IV_V_VI_1	1.5e-35	120.6	0.994	0.665	4	166
CP168205.1_1339	CP168205.1	1339	831	BREX__brxHI	9.1e-51	170.9	0.854	0.762	23	655
CP168205.1_1339	CP168205.1	1339	831	Shango__SngC	6.3e-62	208.0	0.869	0.771	16	656
CP168205.1_1478	CP168205.1	1478	277	CBASS__AG_E1_ThiF	1.6e-34	117.2	0.582	0.516	20	162
CP168205.1_1479	CP168205.1	1479	256	Gao_Qat__QatD	5.2e-18	63.2	0.953	0.973	2	250
CP168205.1_1489	CP168205.1	1489	242	Zorya__ZorB	2.4e-11	41.4	0.562	0.558	93	227
CP168205.1_1500	CP168205.1	1500	293	DS-33__DS-33	6.1e-90	299.3	0.909	0.956	3	282
CP168205.1_1502	CP168205.1	1502	278	AbiJ__AbiJ	4.2e-08	30.8	0.401	0.442	147	269
CP168205.1_1619	CP168205.1	1619	212	DEDDh_I_II_III_IV_V_VI_1	3.9e-24	83.5	0.994	0.825	26	200
CP168205.1_1650	CP168205.1	1650	482	DEDDh_I_II_III_IV_V_VI_1	4.3e-17	60.6	0.975	0.373	6	185
CP168205.1_1673	CP168205.1	1673	1168	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.2e-11	42.2	0.646	0.406	657	1130
CP168205.1_1673	CP168205.1	1673	1168	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	6.2e-12	42.2	0.433	0.414	1	484
CP168205.1_1673	CP168205.1	1673	1168	Wadjet__JetC_I	4.1e-15	52.6	0.45	0.43	340	841
CP168205.1_1743	CP168205.1	1743	371	Veles__VlsB1	2.3e-113	376.9	0.957	0.949	15	366
CP168205.1_1743	CP168205.1	1743	371	Veles__VlsB2	1.3e-113	377.8	0.918	0.946	15	365
CP168205.1_1949	CP168205.1	1949	325	Zorya__ZorB	1.2e-06	26.0	0.634	0.462	121	270
CP168205.1_1993	CP168205.1	1993	370	Veles__VlsB1	4.1e-125	415.6	0.973	0.981	3	365
CP168205.1_1993	CP168205.1	1993	370	Veles__VlsB2	6.600000000000001e-128	424.8	0.936	0.981	2	364
CP168205.1_2029	CP168205.1	2029	761	Dodola__DolB	1.2000000000000001e-20	71.9	0.488	0.252	430	621
CP168205.1_2050	CP168205.1	2050	412	CBASS__AG_E1_ThiF	2e-70	234.8	0.992	0.578	150	387
CP168205.1_2113	CP168205.1	2113	1024	Gao_Upx__UpxA	0.0	1064.0	0.81	0.988	2	1013
CP168205.1_2114	CP168205.1	2114	489	Wadjet__JetA_I	4.8e-119	396.4	0.98	0.971	8	482
CP168205.1_2115	CP168205.1	2115	220	Wadjet__JetB_I	5.299999999999999e-54	180.9	0.847	0.932	13	217
CP168205.1_2116	CP168205.1	2116	1120	Wadjet__JetC_I	9.7e-265	879.2	0.987	0.971	18	1104
CP168205.1_2117	CP168205.1	2117	407	Wadjet__JetD_I	1.7000000000000002e-79	265.7	0.969	0.929	1	378
CP168205.1_2118	CP168205.1	2118	756	Gabija__GajA	1.6e-125	418.1	0.998	0.985	1	745
CP168205.1_2119	CP168205.1	2119	616	Gabija__GajB_3	7.3e-13	46.3	0.5	0.347	35	248
CP168205.1_2119	CP168205.1	2119	616	Gabija__GajB_2	5.7e-43	145.2	0.726	0.924	30	598
CP168205.1_2119	CP168205.1	2119	616	Gabija__GajB_1	4.1e-119	396.4	0.977	0.966	16	610
CP168205.1_2123	CP168205.1	2123	683	RM_Type_II__Type_II_MTases_FAM_41	5.9e-05	20.2	0.534	0.319	16	233
CP168205.1_2123	CP168205.1	2123	683	RM_Type_II__Type_II_MTases_FAM_0	8.2e-18	62.7	0.555	0.35	15	253
CP168205.1_2123	CP168205.1	2123	683	Druantia_II__DruM	9.3e-23	78.9	0.501	0.369	15	266
CP168205.1_2196	CP168205.1	2196	155	Veles__VlsC1	1.5e-35	120.4	0.959	0.974	2	152
CP168205.1_2196	CP168205.1	2196	155	Veles__VlsC2	9.700000000000001e-36	120.9	0.953	0.961	3	151
CP168205.1_2243	CP168205.1	2243	195	DEDDh_I_II_III_IV_V_VI_1	2e-10	38.9	0.956	0.805	12	168
