replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
CP167818.1	CP167818.1_132	PD-T7-2__PD-T7-2_A	132	defense-finder-models/DefenseFinder/PD-T7-2/PD-T7-2	CP167818.1_PD-T7-2_1	1	1	1.0	2.0	1	PD-T7-2__PD-T7-2_A	mandatory	335	3.4000000000000004e-27	93.3	0.538	0.534	54	232			PD-T7-2	PD-T7-2	Defense
CP167818.1	CP167818.1_133	PD-T7-2__PD-T7-2_B	133	defense-finder-models/DefenseFinder/PD-T7-2/PD-T7-2	CP167818.1_PD-T7-2_1	1	1	1.0	2.0	1	PD-T7-2__PD-T7-2_B	mandatory	611	1.1000000000000001e-100	335.7	0.983	0.956	6	589			PD-T7-2	PD-T7-2	Defense
CP167818.1	CP167818.1_230	SoFic__SoFic	230	defense-finder-models/DefenseFinder/SoFIC/SoFic	CP167818.1_SoFic_3	1	1	1.0	1.0	1	SoFic__SoFic	mandatory	277	4.2e-88	293.9	0.715	0.957	7	271			SoFIC	SoFic	Defense
CP167818.1	CP167818.1_553	RM_Type_III__Type_III_MTases_FAM_0	553	defense-finder-models/RM/RM/RM_Type_III	CP167818.1_RM_Type_III_10	1	1	1.0	2.0	1	RM_Type_III__Type_III_MTases_FAM_0	mandatory	301	3.2e-34	116.8	0.418	0.731	25	244			RM	RM_Type_III	Defense
CP167818.1	CP167818.1_554	RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed	554	defense-finder-models/RM/RM/RM_Type_III	CP167818.1_RM_Type_III_10	1	1	1.0	2.0	1	RM_Type_III__Type_III_REases_FAM_0.einsi_trimmed	mandatory	919	7.7e-135	449.1	0.981	0.965	12	898			RM	RM_Type_III	Defense
CP167818.1	CP167818.1_1196	RM__Type_I_MTases_FAM_3	1196	defense-finder-models/RM/RM/RM_Type_I	CP167818.1_RM_Type_I_8	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	729	2.3e-257	853.5	0.995	0.995	2	726		CP167818.1_PrrC_7	RM	RM_Type_I	Defense
CP167818.1	CP167818.1_1198	RM__Type_I_S_52	1198	defense-finder-models/RM/RM/RM_Type_I	CP167818.1_RM_Type_I_8	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	440	3.2999999999999995e-69	232.2	0.67	0.968	9	434		CP167818.1_PrrC_7	RM	RM_Type_I	Defense
CP167818.1	CP167818.1_1199	RM__Type_I_REases_FAM_1.einsi_trimmed	1199	defense-finder-models/RM/RM/RM_Type_I	CP167818.1_RM_Type_I_8	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1028	0.0	1106.5	0.993	0.984	4	1015		CP167818.1_PrrC_7	RM	RM_Type_I	Defense
CP167818.1	CP167818.1_1566	RM_Type_IIG__Type_IIG_FAM_2.einsi_trimmed	1566	defense-finder-models/RM/RM/RM_Type_IIG	CP167818.1_RM_Type_IIG_9	1	1	0.167	1.0	1	RM_Type_IIG__Type_IIG_FAM_2.einsi_trimmed	mandatory	1314	9e-240	797.0	0.702	0.97	6	1279			RM	RM_Type_IIG	Defense
CP167818.1	CP167818.1_1982	RosmerTA__RmrT_2634932349	1982	defense-finder-models/DefenseFinder/RosmerTA/RosmerTA	CP167818.1_RosmerTA_2	1	1	1.0	2.0	1	RosmerTA__RmrT_2585209417	mandatory	223	1.4e-57	192.6	0.966	0.937	12	220			RosmerTA	RosmerTA	Defense
