sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JBEGFG010000001.1_Lit_4	Lit	Lit	Defense	JBEGFG010000001.1_184	JBEGFG010000001.1_184	JBEGFG010000001.1_184	1	Lit__Lit
JBEGFG010000001.1_PD-T7-1_5	PD-T7-1	PD-T7-1	Defense	JBEGFG010000001.1_185	JBEGFG010000001.1_185	JBEGFG010000001.1_185	1	PD-T7-1__PD-T7-1
JBEGFG010000015.1_CBASS_I_11	CBASS	CBASS_I	Defense	JBEGFG010000015.1_54	JBEGFG010000015.1_55	JBEGFG010000015.1_54,JBEGFG010000015.1_55	2	CBASS__2TM_Gros,CBASS__Cyclase_SMODS
JBEGFG010000002.1_Zorya_TypeIII_9	Zorya	Zorya_TypeIII	Defense	JBEGFG010000002.1_161	JBEGFG010000002.1_164	JBEGFG010000002.1_161,JBEGFG010000002.1_162,JBEGFG010000002.1_163,JBEGFG010000002.1_164	4	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorA,Zorya__ZorB
JBEGFG010000002.1_Septu_8	Septu	Septu	Defense	JBEGFG010000002.1_191	JBEGFG010000002.1_192	JBEGFG010000002.1_191,JBEGFG010000002.1_192	2	Septu__PtuA,Septu__PtuB
JBEGFG010000002.1_PD-T7-5_7	PD-T7-5	PD-T7-5	Defense	JBEGFG010000002.1_197	JBEGFG010000002.1_197	JBEGFG010000002.1_197	1	PD-T7-5__PD-T7-5
JBEGFG010000002.1_Lamassu-Mrr_6	Lamassu-Fam	Lamassu-Mrr	Defense	JBEGFG010000002.1_203	JBEGFG010000002.1_205	JBEGFG010000002.1_203,JBEGFG010000002.1_204,JBEGFG010000002.1_205	3	Lamassu-Fam__LmuA_effector_Mrr,Lamassu-Fam__LmuB_SMC_Mrr,Lamassu-Fam__LmuC_acc_Mrr
JBEGFG010000027.1_PrrC_13	PrrC	PrrC	Defense	JBEGFG010000027.1_16	JBEGFG010000027.1_19	JBEGFG010000027.1_16,JBEGFG010000027.1_17,JBEGFG010000027.1_18,JBEGFG010000027.1_19	4	PrrC__EcoprrI,PrrC__PrrC,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_01
JBEGFG010000006.1_RloC_1	RloC	RloC	Defense	JBEGFG010000006.1_170	JBEGFG010000006.1_170	JBEGFG010000006.1_170	1	RloC__RloC
JBEGFG010000006.1_Wadjet_I_3	Wadjet	Wadjet_I	Defense	JBEGFG010000006.1_194	JBEGFG010000006.1_196	JBEGFG010000006.1_194,JBEGFG010000006.1_195,JBEGFG010000006.1_196	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
JBEGFG010000007.1_SoFic_12	SoFIC	SoFic	Defense	JBEGFG010000007.1_183	JBEGFG010000007.1_183	JBEGFG010000007.1_183	1	SoFic__SoFic
