seq_name	chromosome_score	plasmid_score	virus_score
JBEFUY010000001.1	1.0000	0.0000	0.0000
JBEFUY010000002.1	0.9999	0.0001	0.0000
JBEFUY010000003.1	0.9988	0.0012	0.0000
JBEFUY010000004.1	0.9998	0.0002	0.0000
JBEFUY010000005.1	0.9986	0.0014	0.0000
JBEFUY010000006.1	1.0000	0.0000	0.0000
JBEFUY010000007.1	1.0000	0.0000	0.0000
JBEFUY010000008.1	0.9999	0.0001	0.0000
JBEFUY010000009.1	0.9995	0.0005	0.0000
JBEFUY010000010.1	1.0000	0.0000	0.0000
JBEFUY010000011.1	1.0000	0.0000	0.0000
JBEFUY010000012.1	0.9999	0.0001	0.0000
JBEFUY010000013.1	0.9997	0.0003	0.0000
JBEFUY010000014.1	1.0000	0.0000	0.0000
JBEFUY010000015.1	0.7708	0.2292	0.0000
JBEFUY010000016.1	1.0000	0.0000	0.0000
JBEFUY010000017.1	1.0000	0.0000	0.0000
JBEFUY010000018.1	0.9997	0.0003	0.0000
JBEFUY010000019.1	0.9999	0.0001	0.0000
JBEFUY010000020.1	0.6113	0.3887	0.0000
JBEFUY010000021.1	0.9992	0.0008	0.0000
JBEFUY010000022.1	0.9310	0.0690	0.0000
JBEFUY010000023.1	1.0000	0.0000	0.0000
JBEFUY010000024.1	0.9998	0.0002	0.0000
JBEFUY010000025.1	0.9985	0.0015	0.0000
JBEFUY010000026.1	0.9990	0.0010	0.0000
JBEFUY010000027.1	0.4871	0.5129	0.0000
JBEFUY010000028.1	0.9999	0.0001	0.0000
JBEFUY010000029.1	0.9998	0.0002	0.0000
JBEFUY010000030.1	1.0000	0.0000	0.0000
JBEFUY010000031.1	1.0000	0.0000	0.0000
JBEFUY010000032.1	0.9995	0.0005	0.0000
JBEFUY010000033.1	1.0000	0.0000	0.0000
JBEFUY010000034.1	0.9999	0.0001	0.0000
JBEFUY010000035.1	0.4356	0.5641	0.0004
JBEFUY010000036.1	0.8912	0.1088	0.0000
JBEFUY010000037.1	0.0118	0.9881	0.0001
JBEFUY010000038.1	0.5746	0.4252	0.0003
JBEFUY010000039.1	0.0300	0.7648	0.2052
JBEFUY010000040.1	0.9997	0.0003	0.0000
JBEFUY010000041.1	0.0002	0.9998	0.0000
JBEFUY010000042.1	0.0013	0.9987	0.0000
JBEFUY010000043.1	0.6906	0.3072	0.0022
JBEFUY010000044.1	0.9966	0.0034	0.0001
JBEFUY010000045.1	0.9345	0.0618	0.0037
JBEFUY010000046.1	0.7857	0.2142	0.0001
JBEFUY010000047.1	0.6155	0.3842	0.0003
JBEFUY010000048.1	0.8987	0.0446	0.0567
JBEFUY010000049.1	0.0000	0.0000	1.0000
JBEFUY010000050.1	0.0052	0.9948	0.0000
JBEFUY010000051.1	0.7573	0.0899	0.1528
JBEFUY010000052.1	0.8990	0.1009	0.0001
JBEFUY010000053.1	0.0091	0.9894	0.0015
JBEFUY010000054.1	0.4520	0.2406	0.3074
JBEFUY010000055.1	0.4520	0.2406	0.3074
JBEFUY010000056.1	0.7094	0.0335	0.2571
JBEFUY010000057.1	0.7476	0.1064	0.1459
JBEFUY010000058.1	0.5434	0.2006	0.2560
JBEFUY010000059.1	0.6306	0.1432	0.2263
JBEFUY010000060.1	0.6340	0.1384	0.2275
JBEFUY010000061.1	0.4739	0.2298	0.2963
JBEFUY010000062.1	0.8976	0.0176	0.0848
JBEFUY010000063.1	0.0052	0.0107	0.9841
JBEFUY010000064.1	0.8503	0.1479	0.0018
JBEFUY010000065.1	0.8065	0.0695	0.1240
JBEFUY010000066.1	0.6404	0.0320	0.3275
JBEFUY010000067.1	0.7187	0.0563	0.2250
