hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JBEFVU010000001.1_29	JBEFVU010000001.1	29	1168	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.2e-10	39.1	0.635	0.406	657	1130
JBEFVU010000001.1_29	JBEFVU010000001.1	29	1168	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	7.7e-12	42.0	0.434	0.415	1	485
JBEFVU010000001.1_29	JBEFVU010000001.1	29	1168	Wadjet__JetC_I	1.2e-13	47.8	0.45	0.43	341	842
JBEFVU010000001.1_47	JBEFVU010000001.1	47	482	DEDDh_I_II_III_IV_V_VI_1	5.9e-17	60.2	0.975	0.373	6	185
JBEFVU010000001.1_78	JBEFVU010000001.1	78	215	DEDDh_I_II_III_IV_V_VI_1	1.9e-24	84.6	0.994	0.814	26	200
JBEFVU010000001.1_148	JBEFVU010000001.1	148	242	Zorya__ZorB	1.7e-11	41.8	0.562	0.558	93	227
JBEFVU010000001.1_158	JBEFVU010000001.1	158	256	Gao_Qat__QatD	4.5e-17	60.1	0.953	0.973	2	250
JBEFVU010000001.1_159	JBEFVU010000001.1	159	277	CBASS__AG_E1_ThiF	3.7e-35	119.4	0.582	0.516	20	162
JBEFVU010000001.1_295	JBEFVU010000001.1	295	831	BREX__brxHI	2.3e-50	169.6	0.854	0.762	23	655
JBEFVU010000001.1_295	JBEFVU010000001.1	295	831	Shango__SngC	4.8e-63	211.8	0.869	0.771	16	656
JBEFVU010000002.1_1	JBEFVU010000002.1	341	293	PD-T7-2__PD-T7-2_A	4.5e-28	96.1	0.579	0.877	17	273
JBEFVU010000002.1_1	JBEFVU010000002.1	341	293	Gao_Her_SIR__SIR2	1e-48	164.4	0.417	0.584	111	281
JBEFVU010000002.1_54	JBEFVU010000002.1	394	180	DarTG__DarG	2.2999999999999997e-67	225.1	0.739	0.972	1	175
JBEFVU010000003.1_20	JBEFVU010000003.1	667	432	RM_Type_IV__Type_IV_01	2.4e-49	167.3	0.667	0.801	39	384
JBEFVU010000003.1_20	JBEFVU010000003.1	667	432	RM_Type_IV__FAM_2	1.4000000000000001e-55	186.7	0.889	0.894	1	386
JBEFVU010000003.1_21	JBEFVU010000003.1	668	843	RM_Type_IV__FAM_1	8.4e-84	280.6	0.492	0.563	311	785
JBEFVU010000003.1_57	JBEFVU010000003.1	704	414	Dnd__DndA	2.8e-35	119.9	0.865	0.821	33	372
JBEFVU010000003.1_192	JBEFVU010000003.1	839	503	RM_Type_II__Type_II_MTases_FAM_29	2.9e-06	24.0	0.418	0.487	165	409
JBEFVU010000003.1_192	JBEFVU010000003.1	839	503	RM_Type_II__Type_II_MTases_FAM_13	3.2e-13	47.0	0.415	0.485	158	401
JBEFVU010000003.1_192	JBEFVU010000003.1	839	503	RM_Type_II__Type_II_MTases_FAM_14	2.3e-13	47.4	0.455	0.505	176	429
JBEFVU010000003.1_192	JBEFVU010000003.1	839	503	RM_Type_II__Type_II_MTases_FAM_6	3.6e-16	56.8	0.443	0.489	177	422
JBEFVU010000003.1_192	JBEFVU010000003.1	839	503	RM_Type_II__Type_II_MTases_FAM_33	2.6e-38	130.0	0.451	0.477	159	398
JBEFVU010000003.1_192	JBEFVU010000003.1	839	503	RM__Type_I_MTases_FAM_1	1.2000000000000001e-55	186.9	0.747	0.722	132	494
JBEFVU010000003.1_192	JBEFVU010000003.1	839	503	RM__Type_I_MTases_FAM_3	2.3999999999999997e-59	199.1	0.678	0.847	10	435
JBEFVU010000003.1_192	JBEFVU010000003.1	839	503	PrrC__EcoprrI	8.2e-96	320.2	0.954	0.982	7	500
JBEFVU010000003.1_192	JBEFVU010000003.1	839	503	RM__Type_I_MTases_FAM_0	1.7000000000000002e-166	553.0	0.992	0.99	4	501
