replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
JAYGQH010000002.1	JAYGQH010000002.1_187	RM_Type_II__Type_II_REase38	398	defense-finder-models/RM/RM/RM_Type_II	JAYGQH010000002.1_RM_Type_II_17	1	1	1.0	2.0	2	RM_Type_II__Type_II_REase01	mandatory	762	4.7999999999999997e-35	118.9	0.437	0.354	484	753			RM	RM_Type_II	Defense
JAYGQH010000002.1	JAYGQH010000002.1_188	RM_Type_II__Type_II_MTases_FAM_7	399	defense-finder-models/RM/RM/RM_Type_II	JAYGQH010000002.1_RM_Type_II_17	1	1	1.0	2.0	2	RM_Type_II__Type_II_MTases_FAM_0	mandatory	430	2.4e-60	202.6	0.872	0.86	30	399			RM	RM_Type_II	Defense
JAYGQH010000002.1	JAYGQH010000002.1_190	RM_Type_II__Type_II_MTases_FAM_7	401	defense-finder-models/RM/RM/RM_Type_II	JAYGQH010000002.1_RM_Type_II_17	1	1	1.0	2.0	2	RM_Type_II__Type_II_MTases_FAM_0	mandatory	398	3.2000000000000004e-48	162.7	0.893	0.98	5	394			RM	RM_Type_II	Defense
JAYGQH010000002.1	JAYGQH010000002.1_191	RM_Type_II__Type_II_REase06	402	defense-finder-models/RM/RM/RM_Type_II	JAYGQH010000002.1_RM_Type_II_17	1	1	1.0	2.0	2	RM_Type_II__Type_II_REase01	mandatory	898	4.7e-18	63.9	0.796	0.645	36	614			RM	RM_Type_II	Defense
JAYGQH010000005.1	JAYGQH010000005.1_61	RM__Type_I_REases_FAM_0.einsi_trimmed	831	defense-finder-models/RM/RM/RM_Type_I	JAYGQH010000005.1_RM_Type_I_11	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1097	1.5999999999999999e-229	762.9	0.98	0.964	10	1067		JAYGQH010000005.1_PrrC_10	RM	RM_Type_I	Defense
JAYGQH010000005.1	JAYGQH010000005.1_62	RM__Type_I_S_51	832	defense-finder-models/RM/RM/RM_Type_I	JAYGQH010000005.1_RM_Type_I_11	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	416	8.399999999999999e-70	233.4	0.836	0.99	2	413		JAYGQH010000005.1_PrrC_10	RM	RM_Type_I	Defense
JAYGQH010000005.1	JAYGQH010000005.1_64	RM__Type_I_MTases_FAM_0	834	defense-finder-models/RM/RM/RM_Type_I	JAYGQH010000005.1_RM_Type_I_11	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	503	3.1000000000000004e-167	555.5	0.992	0.99	4	501		JAYGQH010000005.1_PrrC_10	RM	RM_Type_I	Defense
JAYGQH010000009.1	JAYGQH010000009.1_19	RM__Type_I_MTases_FAM_3	1351	defense-finder-models/RM/RM/RM_Type_I	JAYGQH010000009.1_RM_Type_I_13	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	729	3.3e-256	849.6	0.995	0.995	2	726		JAYGQH010000009.1_PrrC_12	RM	RM_Type_I	Defense
JAYGQH010000009.1	JAYGQH010000009.1_21	RM__Type_I_S_52	1353	defense-finder-models/RM/RM/RM_Type_I	JAYGQH010000009.1_RM_Type_I_13	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	440	1.1e-68	230.4	0.67	0.968	9	434		JAYGQH010000009.1_PrrC_12	RM	RM_Type_I	Defense
JAYGQH010000009.1	JAYGQH010000009.1_22	RM__Type_I_REases_FAM_1.einsi_trimmed	1354	defense-finder-models/RM/RM/RM_Type_I	JAYGQH010000009.1_RM_Type_I_13	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1028	0.0	1091.9	0.993	0.984	4	1015		JAYGQH010000009.1_PrrC_12	RM	RM_Type_I	Defense
JAYGQH010000010.1	JAYGQH010000010.1_50	RM__Type_I_MTases_FAM_0	1502	defense-finder-models/RM/PrrC/PrrC	JAYGQH010000010.1_PrrC_14	1	1	1.0	4.0	1	PrrC__EcoprrI	mandatory	539	1.7e-174	579.4	0.996	0.991	1	534		JAYGQH010000010.1_RM_Type_I_15	PrrC	PrrC	Defense
JAYGQH010000010.1	JAYGQH010000010.1_52	PrrC__PrrC	1504	defense-finder-models/RM/PrrC/PrrC	JAYGQH010000010.1_PrrC_14	1	1	1.0	4.0	1	PrrC__PrrC	mandatory	367	2.2e-64	215.4	0.981	0.981	2	361			PrrC	PrrC	Defense
JAYGQH010000010.1	JAYGQH010000010.1_53	RM__Type_I_S_51	1505	defense-finder-models/RM/PrrC/PrrC	JAYGQH010000010.1_PrrC_14	1	1	1.0	4.0	1	RM__Type_I_S_01	mandatory	403	4.7e-35	118.8	0.466	0.598	3	243		JAYGQH010000010.1_RM_Type_I_15	PrrC	PrrC	Defense
JAYGQH010000010.1	JAYGQH010000010.1_54	RM__Type_I_REases_FAM_0.einsi_trimmed	1506	defense-finder-models/RM/PrrC/PrrC	JAYGQH010000010.1_PrrC_14	1	1	1.0	4.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	995	1.3e-139	465.2	0.443	0.468	2	467		JAYGQH010000010.1_RM_Type_I_15	PrrC	PrrC	Defense
JAYGQH010000011.1	JAYGQH010000011.1_101	AbiD__AbiD	1673	defense-finder-models/DefenseFinder/AbiD/AbiD	JAYGQH010000011.1_AbiD_1	1	1	1.0	1.0	1	AbiD__AbiD	mandatory	307	8.2e-75	250.0	0.929	0.987	1	303			AbiD	AbiD	Defense
JAYGQH010000015.1	JAYGQH010000015.1_85	RM_Type_IV__FAM_1	2083	defense-finder-models/RM/RM/RM_Type_IV	JAYGQH010000015.1_RM_Type_IV_16	1	1	0.333	2.0	1	RM_Type_IV__FAM_1	mandatory	843	6.6e-84	280.9	0.513	0.579	298	785			RM	RM_Type_IV	Defense
JAYGQH010000015.1	JAYGQH010000015.1_86	RM_Type_IV__FAM_2	2084	defense-finder-models/RM/RM/RM_Type_IV	JAYGQH010000015.1_RM_Type_IV_16	1	1	0.333	2.0	1	RM_Type_IV__FAM_2	mandatory	426	6.3999999999999995e-55	184.4	0.815	0.646	105	379			RM	RM_Type_IV	Defense
JAYGQH010000020.1	JAYGQH010000020.1_8	SoFic__SoFic	2435	defense-finder-models/DefenseFinder/SoFIC/SoFic	JAYGQH010000020.1_SoFic_8	1	1	1.0	1.0	1	SoFic__SoFic	mandatory	383	5.4e-123	408.7	0.961	0.901	18	362			SoFIC	SoFic	Defense
JAYGQH010000024.1	JAYGQH010000024.1_46	Prometheus__ProA	2719	defense-finder-models/DefenseFinder/Prometheus/Prometheus	JAYGQH010000024.1_Prometheus_9	1	1	1.0	1.0	1	Prometheus__ProA	mandatory	2213	0.0	1086.3	0.527	0.434	1249	2209			Prometheus	Prometheus	Defense
JAYGQH010000036.1	JAYGQH010000036.1_29	Wadjet__JetA_I	3262	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	JAYGQH010000036.1_Wadjet_I_6	1	1	0.75	3.0	1	Wadjet__JetA_I	mandatory	490	4.6e-156	518.5	0.994	0.992	2	487		JAYGQH010000036.1_Wadjet_5	Wadjet	Wadjet_I	Defense
