hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JBEGFU010000007.1_37	JBEGFU010000007.1	600	832	BREX__brxHI	1.5e-48	163.7	0.854	0.762	23	656
JBEGFU010000007.1_37	JBEGFU010000007.1	600	832	Shango__SngC	1.9e-62	210.0	0.869	0.772	16	657
JBEGFU010000009.1_18	JBEGFU010000009.1	703	379	PsyrTA__PsyrA	2.8999999999999997e-29	100.3	0.784	0.826	57	369
JBEGFU010000009.1_18	JBEGFU010000009.1	703	379	ShosTA__ShosA	1.7000000000000001e-56	189.6	0.686	0.544	79	284
JBEGFU010000011.1_18	JBEGFU010000011.1	827	180	DarTG__DarG	1.3e-66	222.8	0.744	0.978	1	176
JBEGFU010000014.1_29	JBEGFU010000014.1	1031	298	Ukko__UkkD1	4.6e-61	204.6	0.947	0.883	20	282
JBEGFU010000014.1_29	JBEGFU010000014.1	1031	298	Ukko__UkkD2	4.6e-61	204.6	0.947	0.883	20	282
JBEGFU010000015.1_17	JBEGFU010000015.1	1081	121	Dpd__QueD	1.1e-57	191.6	0.967	0.959	5	120
JBEGFU010000015.1_40	JBEGFU010000015.1	1104	368	Veles__VlsB1	2.9e-104	347.1	0.949	0.946	19	366
JBEGFU010000015.1_40	JBEGFU010000015.1	1104	368	Veles__VlsB2	1.7e-104	347.9	0.918	0.951	17	366
JBEGFU010000017.1_27	JBEGFU010000017.1	1195	269	CBASS__AG_E1_ThiF	9.3e-18	62.6	0.717	0.725	13	207
JBEGFU010000018.1_34	JBEGFU010000018.1	1263	1470	Shango__SngC	4.500000000000001e-65	218.6	0.733	0.366	13	550
JBEGFU010000018.1_34	JBEGFU010000018.1	1263	1470	BREX__brxHI	1.2e-69	233.5	0.696	0.359	14	541
JBEGFU010000018.1_42	JBEGFU010000018.1	1271	299	WYL_I_II_III_IV_V_VI_4	2.8999999999999997e-22	77.6	0.988	0.572	119	289
JBEGFU010000018.1_42	JBEGFU010000018.1	1271	299	WYL_I_II_III_IV_V_VI_1	7.5e-43	145.3	0.901	0.967	2	290
JBEGFU010000021.1_20	JBEGFU010000021.1	1384	761	Dodola__DolB	2.1000000000000002e-20	71.2	0.488	0.252	430	621
JBEGFU010000021.1_41	JBEGFU010000021.1	1405	366	CBASS__AG_E1_ThiF	1.4000000000000002e-69	232.3	0.992	0.65	104	341
JBEGFU010000027.1_7	JBEGFU010000027.1	1653	824	Dodola__DolB	4.8e-10	37.1	0.411	0.203	310	476
JBEGFU010000027.1_14	JBEGFU010000027.1	1660	245	DEDDh_I_II_III_IV_V_VI_1	1.7e-35	120.6	0.994	0.665	4	166
JBEGFU010000030.1_15	JBEGFU010000030.1	1790	482	DEDDh_I_II_III_IV_V_VI_1	5e-17	60.6	0.975	0.373	6	185
JBEGFU010000030.1_29	JBEGFU010000030.1	1804	1168	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.8e-11	41.8	0.646	0.406	657	1130
JBEGFU010000030.1_29	JBEGFU010000030.1	1804	1168	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	2.6e-12	43.7	0.434	0.415	1	485
JBEGFU010000030.1_29	JBEGFU010000030.1	1804	1168	Wadjet__JetC_I	6.9e-14	48.7	0.448	0.428	343	842
JBEGFU010000031.1_16	JBEGFU010000031.1	1831	355	RM_Type_II__Type_II_MTases_FAM_38	5.9e-07	27.2	0.45	0.403	43	185
JBEGFU010000033.1_4	JBEGFU010000033.1	1898	325	Zorya__ZorB	1.6e-06	25.7	0.596	0.468	119	270
JBEGFU010000044.1_32	JBEGFU010000044.1	2254	214	Dpd__QueC	8.499999999999999e-47	157.3	0.941	0.981	1	210
