hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JAUBLE010000001.1_61	JAUBLE010000001.1	61	322	WYL_I_II_III_IV_V_VI_4	1.6e-39	133.4	0.965	0.528	144	313
JAUBLE010000001.1_61	JAUBLE010000001.1	61	322	WYL_I_II_III_IV_V_VI_1	5.2e-67	224.2	0.984	0.994	1	320
JAUBLE010000002.1_5	JAUBLE010000002.1	75	659	UG35__UvrD	8.7e-83	276.4	0.515	0.634	4	421
JAUBLE010000002.1_5	JAUBLE010000002.1	75	659	Gabija__GajB_2	4.1e-98	327.0	0.775	0.962	4	637
JAUBLE010000003.1_47	JAUBLE010000003.1	164	582	UG6__DnaG	1.1e-35	120.9	0.832	0.503	34	326
JAUBLE010000004.1_2	JAUBLE010000004.1	183	724	Gabija__GajB_3	3.4e-13	47.2	0.654	0.378	21	294
JAUBLE010000004.1_2	JAUBLE010000004.1	183	724	Gabija__GajB_1	4.2e-35	119.1	0.916	0.834	13	616
JAUBLE010000004.1_2	JAUBLE010000004.1	183	724	UG35__UvrD	2.9e-77	258.1	0.532	0.599	4	437
JAUBLE010000004.1_2	JAUBLE010000004.1	183	724	Gabija__GajB_2	9.1e-103	342.4	0.777	0.88	1	637
JAUBLE010000004.1_4	JAUBLE010000004.1	185	473	Mokosh_type_I__MkoB_C	1.3e-06	24.7	0.463	0.696	115	443
JAUBLE010000004.1_4	JAUBLE010000004.1	185	473	DISARM__drmC	2.3e-16	57.8	0.566	0.298	295	435
JAUBLE010000005.1_36	JAUBLE010000005.1	260	246	Zorya_III__ZorG3	9e-91	301.8	0.892	0.992	1	244
JAUBLE010000005.1_37	JAUBLE010000005.1	261	835	Zorya__ZorA	4.6e-08	29.9	0.737	0.612	120	630
JAUBLE010000005.1_38	JAUBLE010000005.1	262	225	Zorya__ZorB	3.6e-16	56.9	0.819	0.876	9	205
JAUBLE010000005.1_39	JAUBLE010000005.1	263	224	Zorya_III__ZorF3	7.2e-79	262.8	0.815	0.969	1	217
JAUBLE010000007.1_8	JAUBLE010000007.1	350	118	Dpd__QueD	7.4e-57	188.6	0.958	0.975	3	117
JAUBLE010000008.1_23	JAUBLE010000008.1	419	383	Septu__PtuA	3.6e-49	166.4	0.832	0.906	1	347
JAUBLE010000009.1_33	JAUBLE010000009.1	477	601	PsyrTA__PsyrT	4.3e-91	303.7	0.52	0.579	4	351
JAUBLE010000009.1_40	JAUBLE010000009.1	484	225	Dpd__QueC	8.3e-54	179.8	0.986	0.978	2	221
JAUBLE010000012.1_29	JAUBLE010000012.1	612	1168	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	9.7e-10	35.7	0.517	0.307	772	1130
JAUBLE010000012.1_29	JAUBLE010000012.1	612	1168	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	1e-11	41.3	0.434	0.415	1	485
JAUBLE010000012.1_29	JAUBLE010000012.1	612	1168	Wadjet__JetC_I	3.9e-13	45.8	0.449	0.429	340	840
JAUBLE010000012.1_43	JAUBLE010000012.1	626	482	DEDDh_I_II_III_IV_V_VI_1	6.7e-18	63.0	0.988	0.378	6	187
JAUBLE010000014.1_9	JAUBLE010000014.1	676	761	Dodola__DolB	9.9e-21	71.9	0.488	0.252	430	621
JAUBLE010000016.1_7	JAUBLE010000016.1	756	415	Dnd__DndA	3.2e-36	122.7	0.865	0.819	34	373
JAUBLE010000017.1_33	JAUBLE010000017.1	829	245	DEDDh_I_II_III_IV_V_VI_1	4.4000000000000005e-36	122.1	0.994	0.665	4	166
JAUBLE010000019.1_6	JAUBLE010000019.1	880	329	CBASS__Phospholipase	1.2999999999999999e-114	380.6	0.958	0.967	6	323
JAUBLE010000019.1_7	JAUBLE010000019.1	881	379	CBASS__Cyclase_II	1.4e-78	262.0	0.973	0.953	3	363
JAUBLE010000019.1_8	JAUBLE010000019.1	882	545	CBASS__AG_E2_Prok-E2_B	7e-11	39.7	0.791	0.198	27	134
JAUBLE010000019.1_8	JAUBLE010000019.1	882	545	CBASS__AG_E1_ThiF	9.100000000000001e-20	68.7	0.824	0.38	305	511
JAUBLE010000019.1_9	JAUBLE010000019.1	883	159	CBASS__Jab	2.3999999999999998e-52	175.0	0.664	0.874	9	147
JAUBLE010000019.1_10	JAUBLE010000019.1	884	278	Gao_TerY__TerYA	2.4e-157	520.1	1.0	0.996	1	277
JAUBLE010000019.1_11	JAUBLE010000019.1	885	249	Gao_TerY__TerYB	3.5000000000000003e-71	236.9	0.979	0.96	4	242
JAUBLE010000019.1_12	JAUBLE010000019.1	886	553	Gao_TerY__TerYC	1.9e-176	585.5	0.923	0.937	1	518
JAUBLE010000019.1_37	JAUBLE010000019.1	911	362	Retron_VII_2__DUF3800	2.6e-14	51.4	0.981	0.862	3	314
JAUBLE010000023.1_2	JAUBLE010000023.1	1043	312	SspBCDE__SspB	5.2e-43	145.1	0.92	0.917	10	295
JAUBLE010000023.1_3	JAUBLE010000023.1	1044	1109	BREX__brxC4	1.4e-33	113.4	0.451	0.569	157	787
JAUBLE010000023.1_3	JAUBLE010000023.1	1044	1109	SspBCDE__SspC	0.0	1286.8	0.993	0.989	5	1101
JAUBLE010000023.1_4	JAUBLE010000023.1	1045	279	SspBCDE__SspD	4.3e-141	467.0	0.989	0.993	2	278
JAUBLE010000023.1_5	JAUBLE010000023.1	1046	383	Dnd__DndA	1.1999999999999999e-91	305.1	0.968	0.953	1	365
JAUBLE010000023.1_6	JAUBLE010000023.1	1047	782	RM_Type_II__Type_II_REase06	1.8e-16	58.4	0.717	0.696	3	546
JAUBLE010000023.1_13	JAUBLE010000023.1	1054	194	DarTG__DarG	1.0999999999999999e-66	222.6	0.748	0.912	1	177
JAUBLE010000030.1_22	JAUBLE010000030.1	1287	330	cas1_I_II_III_IV_V_VI_10	5.6e-21	72.6	0.827	0.752	25	272
JAUBLE010000030.1_22	JAUBLE010000030.1	1287	330	cas1_I_II_III_IV_V_VI_1	3.7e-32	109.3	0.823	0.83	20	293
JAUBLE010000030.1_22	JAUBLE010000030.1	1287	330	cas1_I_II_III_IV_V_VI_2	5.4e-57	190.7	0.988	0.818	20	289
JAUBLE010000030.1_22	JAUBLE010000030.1	1287	330	cas1_I_II_III_IV_V_VI_8	1.4e-65	219.2	0.884	0.918	14	316
JAUBLE010000030.1_22	JAUBLE010000030.1	1287	330	cas1_I-F_1	2.6e-155	513.9	0.997	0.924	12	316
JAUBLE010000030.1_23	JAUBLE010000030.1	1288	1122	cas3HD_I_1	2.9e-14	51.0	0.818	0.207	100	331
JAUBLE010000030.1_23	JAUBLE010000030.1	1288	1122	cas3_I_5	1.7e-75	252.4	0.729	0.62	197	892
JAUBLE010000030.1_23	JAUBLE010000030.1	1288	1122	cas3f_I-F_1	0.0	1227.9	0.999	0.995	1	1116
JAUBLE010000030.1_24	JAUBLE010000030.1	1289	452	cas8f_I-F_3	2.1e-105	350.4	0.984	0.874	39	433
JAUBLE010000030.1_24	JAUBLE010000030.1	1289	452	cas8f_I-F_4	3.2e-126	419.2	1.0	0.865	39	429
JAUBLE010000030.1_24	JAUBLE010000030.1	1289	452	cas8f_I-F_8	4.1e-129	428.6	1.0	0.863	39	428
