replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
1	1_114	RM__Type_I_REases_FAM_1.einsi_trimmed	114	defense-finder-models/RM/RM/RM_Type_I	1_RM_Type_I_19	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1028	0.0	1102.2	0.993	0.984	4	1015		1_PrrC_18	RM	RM_Type_I	Defense
1	1_115	RM__Type_I_S_52	115	defense-finder-models/RM/RM/RM_Type_I	1_RM_Type_I_19	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	439	4e-79	264.8	0.67	0.968	9	433		1_PrrC_18	RM	RM_Type_I	Defense
1	1_117	RM__Type_I_MTases_FAM_3	117	defense-finder-models/RM/RM/RM_Type_I	1_RM_Type_I_19	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	729	1e-256	851.3	0.995	0.995	2	726		1_PrrC_18	RM	RM_Type_I	Defense
4	4_78	SoFic__SoFic	1221	defense-finder-models/DefenseFinder/SoFIC/SoFic	4_SoFic_9	1	1	1.0	1.0	1	SoFic__SoFic	mandatory	383	5.4e-123	408.7	0.961	0.901	18	362			SoFIC	SoFic	Defense
4	4_185	AbiD__AbiD	1328	defense-finder-models/DefenseFinder/AbiD/AbiD	4_AbiD_8	1	1	1.0	1.0	1	AbiD__AbiD	mandatory	307	8.099999999999999e-75	250.0	0.929	0.987	1	303			AbiD	AbiD	Defense
6	6_2	Zorya_TypeI__ZorD	1609	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeI	6_Zorya_TypeI_1	1	1	1.0	4.0	1	Zorya_TypeI__ZorD	mandatory	1066	8.700000000000001e-249	826.4	0.963	0.964	32	1059			Zorya	Zorya_TypeI	Defense
6	6_3	Zorya_TypeI__ZorC	1610	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeI	6_Zorya_TypeI_1	1	1	1.0	4.0	1	Zorya_TypeI__ZorC	mandatory	540	6e-37	125.6	0.692	0.693	156	529			Zorya	Zorya_TypeI	Defense
6	6_4	Zorya__ZorB	1611	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeI	6_Zorya_TypeI_1	1	1	1.0	4.0	1	Zorya__ZorB	mandatory	239	1.1e-55	186.7	0.962	0.958	9	237			Zorya	Zorya_TypeI	Defense
6	6_5	Zorya__ZorA	1612	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeI	6_Zorya_TypeI_1	1	1	1.0	4.0	1	Zorya__ZorA	mandatory	630	1e-70	237.2	0.914	0.959	14	617			Zorya	Zorya_TypeI	Defense
7	7_5	RM__Type_I_MTases_FAM_0	1809	defense-finder-models/RM/RM/RM_Type_I	7_RM_Type_I_16	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	503	1.0999999999999999e-166	553.7	0.992	0.99	4	501		7_PrrC_15	RM	RM_Type_I	Defense
7	7_8	RM__Type_I_S_51	1812	defense-finder-models/RM/RM/RM_Type_I	7_RM_Type_I_16	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	405	9.8e-63	210.1	0.836	0.99	2	402		7_PrrC_15	RM	RM_Type_I	Defense
7	7_9	RM__Type_I_REases_FAM_0.einsi_trimmed	1813	defense-finder-models/RM/RM/RM_Type_I	7_RM_Type_I_16	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1097	1.7999999999999996e-229	762.6	0.98	0.964	10	1067		7_PrrC_15	RM	RM_Type_I	Defense
10	10_6	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II	2293	defense-finder-models/DefenseFinder/Lamassu-Fam/Lamassu-Cap4_nuclease	10_Lamassu-Cap4_nuclease_5	1	1	1.0	2.5	1	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II	mandatory	405	2.4e-65	220.0	0.976	0.941	12	392			Lamassu-Fam	Lamassu-Cap4_nuclease	Defense
10	10_7	Lamassu-Fam__LmuC_acc_Cap4_nuclease	2294	defense-finder-models/DefenseFinder/Lamassu-Fam/Lamassu-Cap4_nuclease	10_Lamassu-Cap4_nuclease_5	1	1	1.0	2.5	1	Lamassu-Fam__LmuC_acc_Lipase	accessory	177	1.7e-13	49.3	0.945	0.87	23	176			Lamassu-Fam	Lamassu-Cap4_nuclease	Defense
10	10_8	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	2295	defense-finder-models/DefenseFinder/Lamassu-Fam/Lamassu-Cap4_nuclease	10_Lamassu-Cap4_nuclease_5	1	1	1.0	2.5	1	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	mandatory	655	4.4e-133	443.4	0.995	0.979	1	641			Lamassu-Fam	Lamassu-Cap4_nuclease	Defense
11	11_8	Gao_Ppl__PplA	2449	defense-finder-models/DefenseFinder/Gao_Ppl/Gao_Ppl	11_Gao_Ppl_4	1	1	1.0	1.0	1	Gao_Ppl__PplA	mandatory	943	2.8e-125	417.1	0.997	0.989	6	938			Gao_Ppl	Gao_Ppl	Defense
11	11_69	RM__Type_I_MTases_FAM_0	2510	defense-finder-models/RM/PrrC/PrrC	11_PrrC_13	1	1	1.0	4.0	1	PrrC__EcoprrI	mandatory	539	1.7e-174	579.4	0.996	0.991	1	534		11_RM_Type_I_14	PrrC	PrrC	Defense
11	11_71	PrrC__PrrC	2512	defense-finder-models/RM/PrrC/PrrC	11_PrrC_13	1	1	1.0	4.0	1	PrrC__PrrC	mandatory	367	3e-60	201.8	0.984	0.984	2	362			PrrC	PrrC	Defense
11	11_72	RM__Type_I_S_51	2513	defense-finder-models/RM/PrrC/PrrC	11_PrrC_13	1	1	1.0	4.0	1	RM__Type_I_S_01	mandatory	431	2.7e-41	139.3	0.53	0.603	164	423		11_RM_Type_I_14	PrrC	PrrC	Defense
11	11_73	RM__Type_I_REases_FAM_0.einsi_trimmed	2514	defense-finder-models/RM/PrrC/PrrC	11_PrrC_13	1	1	1.0	4.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	995	1.3e-139	465.2	0.443	0.468	2	467		11_RM_Type_I_14	PrrC	PrrC	Defense
12	12_11	SoFic__SoFic	2590	defense-finder-models/DefenseFinder/SoFIC/SoFic	12_SoFic_7	1	1	1.0	1.0	1	SoFic__SoFic	mandatory	383	4.9e-109	362.7	0.983	0.953	17	381			SoFIC	SoFic	Defense
16	16_86	Zorya_III__ZorG3	3104	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	16_Zorya_TypeIII_10	1	1	0.75	3.0	1	Zorya_III__ZorG3	mandatory	245	1.1e-90	301.7	0.892	0.992	1	243			Zorya	Zorya_TypeIII	Defense
16	16_88	Zorya__ZorB	3106	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	16_Zorya_TypeIII_10	1	1	0.75	3.0	1	Zorya__ZorB	mandatory	216	3.1e-14	50.8	0.8	0.889	10	201			Zorya	Zorya_TypeIII	Defense
16	16_89	Zorya_III__ZorF3	3107	defense-finder-models/DefenseFinder/Zorya/Zorya_TypeIII	16_Zorya_TypeIII_10	1	1	0.75	3.0	1	Zorya_III__ZorF3	mandatory	238	9.300000000000001e-73	243.0	0.827	0.975	1	232			Zorya	Zorya_TypeIII	Defense
18	18_85	RM_Type_IV__FAM_1	3293	defense-finder-models/RM/RM/RM_Type_IV	18_RM_Type_IV_17	1	1	0.333	2.0	1	RM_Type_IV__FAM_1	mandatory	843	6.6e-84	280.9	0.513	0.579	298	785			RM	RM_Type_IV	Defense
18	18_86	RM_Type_IV__FAM_2	3294	defense-finder-models/RM/RM/RM_Type_IV	18_RM_Type_IV_17	1	1	0.333	2.0	1	RM_Type_IV__FAM_2	mandatory	439	1.9e-55	186.1	0.832	0.654	106	392			RM	RM_Type_IV	Defense
25	25_1	Retron_XII__RT_12	3746	defense-finder-models/DefenseFinder/Retron/Retron_XII	25_Retron_XII_2	1	1	1.0	1.0	1	Retron_XII__RT_12	mandatory	565	7.799999999999999e-181	600.1	0.974	0.977	9	560			Retron	Retron_XII	Defense
27	27_28	Wadjet__JetA_I	3855	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	27_Wadjet_I_12	1	1	0.75	3.0	1	Wadjet__JetA_I	mandatory	490	4.6e-156	518.5	0.994	0.992	2	487		27_Wadjet_11	Wadjet	Wadjet_I	Defense
27	27_29	Wadjet__JetB_I	3856	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	27_Wadjet_I_12	1	1	0.75	3.0	1	Wadjet__JetB_I	mandatory	236	4.5e-67	223.8	0.839	0.975	3	232		27_Wadjet_11	Wadjet	Wadjet_I	Defense
27	27_31	Wadjet__JetC_I	3858	defense-finder-models/DefenseFinder/Wadjet/Wadjet_I	27_Wadjet_I_12	1	1	0.75	3.0	1	Wadjet__JetC_I	mandatory	1339	0.0	1191.3	0.994	0.82	25	1122		27_Wadjet_11	Wadjet	Wadjet_I	Defense
29	29_9	Prometheus__ProA	3909	defense-finder-models/DefenseFinder/Prometheus/Prometheus	29_Prometheus_6	1	1	1.0	1.0	1	Prometheus__ProA	mandatory	2213	0.0	1086.3	0.527	0.434	1249	2209			Prometheus	Prometheus	Defense
39	39_4	AbiEii__AbiEii	4066	defense-finder-models/DefenseFinder/AbiE/AbiE	39_AbiE_3	1	1	1.0	2.0	1	AbiEii__AbiEii	mandatory	309	3.2e-43	146.4	0.983	0.864	10	276			AbiE	AbiE	Defense
39	39_5	AbiEii__AbiEi_3	4067	defense-finder-models/DefenseFinder/AbiE/AbiE	39_AbiE_3	1	1	1.0	2.0	1	AbiEii__AbiEi_1	mandatory	253	5.700000000000001e-34	115.0	0.918	0.569	101	244			AbiE	AbiE	Defense
