system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
1,JAYIKO010000002.1,HEC-01,JAYIKO010000002.1_235,PDLC04182,HEC-01A_WP_105482478.1,HEC-01A,2.499999999999999e-192,2.6999999999999987e-192,0.993,0.988,274806,276038,+,-,235,561,"PDLC04180,HEC-01A_WP_062996032.1, 1, 9e-30, 0.888, 0.89 | PDLC04175,HEC-01A_WP_211640766.1, 1, 1.6e-32, 0.915, 0.923 | PDLC04182,HEC-01A_WP_105482478.1, 1, 2.7e-192, 0.993, 0.988 | PDLC04179,HEC-01A_WP_123852116.1, 1, 0.00044, 0.117, 0.1 | PDLC04179,HEC-01A_WP_123852116.1, 2, 3.6e-16, 0.397, 0.351 | PDLC04184,HEC-01A_WP_097318232.1, 1, 8.4e-09, 0.109, 0.095 | PDLC04184,HEC-01A_WP_097318232.1, 2, 2.8e-25, 0.484, 0.457 | PDLC04174,HEC-01A_WP_202806903.1, 1, 1.5e-14, 0.448, 0.686 | PDLC04181,HEC-01A_WP_034574200.1, 1, 1.5e-11, 0.248, 0.235 | PDLC04181,HEC-01A_WP_034574200.1, 2, 6.5e-11, 0.37, 0.302 | PDLC04181,HEC-01A_WP_034574200.1, 3, 8.8, 0.08, 0.074 | PDLC04183,HEC-01A_WP_193205907.1, 1, 8.8e-40, 0.976, 0.973 | PDLC04177,HEC-01A_WP_199302758.1, 1, 3.3e-33, 0.903, 0.913 | PDLC04176,HEC-01A_WP_157306701.1, 1, 2.4e-33, 0.92, 0.919 | PDLC04178,HEC-01A_WP_002628442.1, 1, 2.1e-40, 0.82, 0.789 | PDLC04144,HEC-01B_WP_231583829.1, 1, 3.1e-97, 0.978, 0.975","PDLC04182, HEC-01A_WP_105482478.1, 2.7e-192, 0.993, 0.988 | PDLC04144, HEC-01B_WP_231583829.1, 3.1e-97, 0.978, 0.975 | PDLC04178, HEC-01A_WP_002628442.1, 2.1e-40, 0.82, 0.789 | PDLC04183, HEC-01A_WP_193205907.1, 8.8e-40, 0.976, 0.973 | PDLC04176, HEC-01A_WP_157306701.1, 2.4e-33, 0.92, 0.919"
1,JAYIKO010000002.1,HEC-01,JAYIKO010000002.1_236,PDLC04205,HEC-01B_WP_210225848.1,HEC-01B,4.699999999999999e-97,5.5e-97,0.946,0.986,276041,276706,+,-,236,561,"PDLC04191,HEC-01B_WP_108373334.1, 1, 0.00021, 0.257, 0.266 | PDLC04197,HEC-01B_WP_138974980.1, 1, 6.1e-05, 0.333, 0.365 | PDLC04196,HEC-01B_WP_026409402.1, 1, 3e-05, 0.252, 0.284 | PDLC04196,HEC-01B_WP_026409402.1, 2, 89, 0.108, 0.132 | PDLC04205,HEC-01B_WP_210225848.1, 1, 5.5e-97, 0.946, 0.986 | PDLC04203,HEC-01B_WP_080599585.1, 1, 6.4e-23, 0.748, 0.932 | PDLC04194,HEC-01B_WP_026975055.1, 1, 1.8, 0.243, 0.25 | PDLC04194,HEC-01B_WP_026975055.1, 2, 1e-07, 0.302, 0.314 | PDLC04193,HEC-01B_WP_201788763.1, 1, 1.6e-06, 0.23, 0.246 | PDLC04204,HEC-01B_WP_117543580.1, 1, 2.3e-24, 0.721, 0.937 | PDLC04143,HEC-01A_WP_207689501.1, 1, 360, 0.09, 0.105 | PDLC04143,HEC-01A_WP_207689501.1, 2, 2e-07, 0.356, 0.405 | PDLC04143,HEC-01A_WP_207689501.1, 3, 0.34, 0.135, 0.158 | PDLC04207,HEC-01B_WP_093457186.1, 1, 0.063, 0.216, 0.246 | PDLC04202,HEC-01B_WP_170163002.1, 1, 9.3e-35, 0.959, 0.985 | PDLC04200,HEC-01B_WP_203408937.1, 1, 0.082, 0.257, 0.284 | PDLC04200,HEC-01B_WP_203408937.1, 2, 2.2, 0.117, 0.133 | PDLC04206,HEC-01B_WP_118569729.1, 1, 2.2e-56, 0.955, 0.982","PDLC04205, HEC-01B_WP_210225848.1, 5.5e-97, 0.946, 0.986 | PDLC04206, HEC-01B_WP_118569729.1, 2.2e-56, 0.955, 0.982 | PDLC04202, HEC-01B_WP_170163002.1, 9.3e-35, 0.959, 0.985 | PDLC04204, HEC-01B_WP_117543580.1, 2.3e-24, 0.721, 0.937 | PDLC04203, HEC-01B_WP_080599585.1, 6.4e-23, 0.748, 0.932"
2,JAYIKO010000002.1,zorya_type_III,JAYIKO010000002.1_420,PDLC00658,ZorG3_00003,ZorG3,8.299999999999999e-88,9.199999999999998e-88,0.988,0.9,477816,478550,+,-,420,561,"PDLC00657,ZorG3_00002, 1, 1.3e-29, 0.971, 0.948 | PDLC00658,ZorG3_00003, 1, 9.2e-88, 0.988, 0.9 | PDLC00656,ZorG3_00001, 1, 3.4e-54, 0.8, 0.694 | PDLC00656,ZorG3_00001, 2, 1.2e-15, 0.18, 0.155","PDLC00658, ZorG3_00003, 9.2e-88, 0.988, 0.9 | PDLC00656, ZorG3_00001, 3.4e-54, 0.8, 0.694 | PDLC00657, ZorG3_00002, 1.3e-29, 0.971, 0.948"
2,JAYIKO010000002.1,zorya_type_III,JAYIKO010000002.1_421,PDLC00647,ZorA3_00001,ZorA3,0,2.699999999999999e-175,0.406,0.467,478528,481218,+,-,421,561,"PDLC00650,ZorA3_00004, 1, 1e-167, 0.404, 0.341 | PDLC00650,ZorA3_00004, 2, 1.6e-11, 0.078, 0.066 | PDLC00650,ZorA3_00004, 3, 4.1e-10, 0.078, 0.066 | PDLC00650,ZorA3_00004, 4, 1.3e-36, 0.159, 0.135 | PDLC00650,ZorA3_00004, 5, 6.2e-124, 0.305, 0.257 | PDLC00647,ZorA3_00001, 1, 2.7e-175, 0.406, 0.467 | PDLC00647,ZorA3_00001, 2, 7.4e-11, 0.077, 0.088 | PDLC00647,ZorA3_00001, 3, 1.6e-10, 0.078, 0.09 | PDLC00647,ZorA3_00001, 4, 6.2e-28, 0.158, 0.182 | PDLC00647,ZorA3_00001, 5, 1.8e-117, 0.311, 0.358 | PDLC00648,ZorA3_00002, 1, 3.2e-153, 0.399, 0.516 | PDLC00648,ZorA3_00002, 2, 3.2e-08, 0.071, 0.092 | PDLC00648,ZorA3_00002, 3, 5.6e-07, 0.089, 0.116 | PDLC00648,ZorA3_00002, 4, 3.5e-122, 0.453, 0.581 | PDLC00649,ZorA3_00003, 1, 1.2e-172, 0.404, 0.519 | PDLC00649,ZorA3_00003, 2, 2.3e-13, 0.076, 0.097 | PDLC00649,ZorA3_00003, 3, 5.1e-11, 0.079, 0.102 | PDLC00649,ZorA3_00003, 4, 1.9e-149, 0.445, 0.572","PDLC00647, ZorA3_00001, 2.7e-175, 0.406, 0.467 | PDLC00649, ZorA3_00003, 1.2e-172, 0.404, 0.519 | PDLC00650, ZorA3_00004, 1e-167, 0.404, 0.341 | PDLC00648, ZorA3_00002, 3.2e-153, 0.399, 0.516"
2,JAYIKO010000002.1,zorya_type_III,JAYIKO010000002.1_422,PDLC00651,ZorB3_00001,ZorB3,5.399999999999999e-116,6.399999999999999e-116,0.963,0.977,481215,481868,+,-,422,561,"PDLC00651,ZorB3_00001, 1, 6.4e-116, 0.963, 0.977","PDLC00651, ZorB3_00001, 6.4e-116, 0.963, 0.977"
2,JAYIKO010000002.1,zorya_type_III,JAYIKO010000002.1_423,PDLC00652,ZorF3_00001,ZorF3,2.4999999999999997e-69,2.8999999999999993e-69,0.962,0.864,481865,482578,+,-,423,561,"PDLC00653,ZorF3_00002, 1, 2.4e-18, 0.458, 0.384 | PDLC00653,ZorF3_00002, 2, 2.8e-33, 0.668, 0.569 | PDLC00652,ZorF3_00001, 1, 2.9e-69, 0.962, 0.864 | PDLC00655,ZorF3_00004, 1, 1.3e-46, 0.945, 0.924 | PDLC00654,ZorF3_00003, 1, 4.6e-43, 0.55, 0.812","PDLC00652, ZorF3_00001, 2.9e-69, 0.962, 0.864 | PDLC00655, ZorF3_00004, 1.3e-46, 0.945, 0.924 | PDLC00654, ZorF3_00003, 4.6e-43, 0.55, 0.812 | PDLC00653, ZorF3_00002, 2.8e-33, 0.668, 0.569"
5,JAYIKO010000004.1,Shango,JAYIKO010000004.1_94,PDLC03960,Shango__SngC,SngC,9.999999999999995e-267,1.1999999999999993e-266,0.985,0.994,96927,99125,-,-,94,407,"PDLC03960,Shango__SngC, 1, 1.2e-266, 0.985, 0.994","PDLC03960, Shango__SngC, 1.2e-266, 0.985, 0.994"
5,JAYIKO010000004.1,Shango,JAYIKO010000004.1_95,PDLC03959,Shango__SngB,SngB,6.899999999999997e-183,7.699999999999997e-183,0.993,0.993,99129,100427,-,-,95,407,"PDLC03959,Shango__SngB, 1, 7.7e-183, 0.993, 0.993","PDLC03959, Shango__SngB, 7.7e-183, 0.993, 0.993"
5,JAYIKO010000004.1,Shango,JAYIKO010000004.1_96,PDLC03958,Shango__SngA,SngA,1.5999999999999997e-102,1.8999999999999997e-102,0.993,0.943,100424,102472,-,-,96,407,"PDLC03958,Shango__SngA, 1, 1.9e-102, 0.993, 0.943","PDLC03958, Shango__SngA, 1.9e-102, 0.993, 0.943"
6,JAYIKO010000004.1,Uzume,JAYIKO010000004.1_103,PDLC03973,Uzume__UzuA,UzuA,2.7e-53,2.9999999999999997e-53,0.985,0.734,111716,112327,+,-,103,407,"PDLC03974,Uzume__UzuA_2660320622, 1, 2.1e-39, 0.647, 0.439 | PDLC03973,Uzume__UzuA, 1, 3e-53, 0.985, 0.734","PDLC03973, Uzume__UzuA, 3e-53, 0.985, 0.734 | PDLC03974, Uzume__UzuA_2660320622, 2.1e-39, 0.647, 0.439"
