hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JAYINK010000001.1_28	JAYINK010000001.1	28	133	Dpd__QueD	6.9e-57	188.9	0.967	0.872	17	132
JAYINK010000001.1_54	JAYINK010000001.1	54	368	Veles__VlsB1	9.7e-105	348.6	0.951	0.957	15	366
JAYINK010000001.1_54	JAYINK010000001.1	54	368	Veles__VlsB2	5.7e-105	349.4	0.923	0.954	16	366
JAYINK010000001.1_83	JAYINK010000001.1	83	411	HEC-01__HEC-01B	7.3e-107	355.6	0.982	0.985	4	408
JAYINK010000001.1_404	JAYINK010000001.1	404	824	Dodola__DolB	6.3e-11	39.9	0.408	0.201	311	476
JAYINK010000001.1_419	JAYINK010000001.1	419	862	Dodola__DolB	2.3999999999999996e-22	77.4	0.597	0.277	485	723
JAYINK010000001.1_475	JAYINK010000001.1	475	228	Dpd__QueE	8.7e-07	26.6	0.652	0.658	71	220
JAYINK010000001.1_476	JAYINK010000001.1	476	225	Dpd__QueC	1.4e-52	176.1	0.986	0.978	2	221
JAYINK010000001.1_492	JAYINK010000001.1	492	601	PsyrTA__PsyrT	3.5e-90	301.0	0.517	0.576	4	349
JAYINK010000001.1_510	JAYINK010000001.1	510	308	Brig1__ADP_ribosyl	4.3e-59	198.5	0.439	0.935	5	292
JAYINK010000001.1_534	JAYINK010000001.1	534	1097	RM__Type_I_REases_FAM_0.einsi_trimmed	1.2999999999999999e-229	763.1	0.98	0.964	10	1067
JAYINK010000001.1_535	JAYINK010000001.1	535	416	RM__Type_I_S_02	6.1e-39	132.2	0.715	0.769	85	404
JAYINK010000001.1_535	JAYINK010000001.1	535	416	RM__Type_I_S_03	4.0999999999999995e-47	159.4	0.859	0.99	2	413
JAYINK010000001.1_535	JAYINK010000001.1	535	416	RM__Type_I_S_52	2.3e-50	169.9	0.68	0.988	2	412
JAYINK010000001.1_535	JAYINK010000001.1	535	416	RM__Type_I_S_04	2.1000000000000002e-58	196.5	0.754	0.986	2	411
JAYINK010000001.1_535	JAYINK010000001.1	535	416	RM__Type_I_S_51	8.4e-70	233.4	0.836	0.99	2	413
JAYINK010000001.1_537	JAYINK010000001.1	537	503	RM_Type_II__Type_II_MTases_FAM_29	2.4e-06	24.3	0.418	0.487	165	409
JAYINK010000001.1_537	JAYINK010000001.1	537	503	RM_Type_II__Type_II_MTases_FAM_14	4.4e-13	46.4	0.433	0.481	176	417
JAYINK010000001.1_537	JAYINK010000001.1	537	503	RM_Type_II__Type_II_MTases_FAM_13	4.5e-14	49.8	0.413	0.483	158	400
JAYINK010000001.1_537	JAYINK010000001.1	537	503	RM_Type_II__Type_II_MTases_FAM_6	1.1e-16	58.6	0.441	0.487	177	421
JAYINK010000001.1_537	JAYINK010000001.1	537	503	RM_Type_II__Type_II_MTases_FAM_33	1e-38	131.4	0.451	0.477	159	398
JAYINK010000001.1_537	JAYINK010000001.1	537	503	RM__Type_I_MTases_FAM_1	6.8e-57	191.0	0.747	0.722	132	494
JAYINK010000001.1_537	JAYINK010000001.1	537	503	RM__Type_I_MTases_FAM_3	1e-59	200.3	0.68	0.849	10	436
JAYINK010000001.1_537	JAYINK010000001.1	537	503	PrrC__EcoprrI	1.4e-96	322.6	0.954	0.982	7	500
JAYINK010000001.1_537	JAYINK010000001.1	537	503	RM__Type_I_MTases_FAM_0	2.8e-167	555.6	0.992	0.99	4	501
JAYINK010000002.1_25	JAYINK010000002.1	567	439	RM_Type_IV__Type_IV_01	8e-50	168.9	0.732	0.868	11	391
JAYINK010000002.1_25	JAYINK010000002.1	567	439	RM_Type_IV__FAM_2	1.9000000000000002e-55	186.1	0.832	0.654	106	392
JAYINK010000002.1_26	JAYINK010000002.1	568	843	RM_Type_IV__FAM_1	6.600000000000001e-84	280.9	0.513	0.579	298	785
JAYINK010000002.1_62	JAYINK010000002.1	604	414	Dnd__DndA	8.700000000000001e-35	118.3	0.865	0.821	33	372
JAYINK010000002.1_173	JAYINK010000002.1	715	388	CBASS__AG_E1_ThiF	1.7e-71	238.4	0.996	0.616	127	365
JAYINK010000002.1_195	JAYINK010000002.1	737	761	Dodola__DolB	1.1000000000000001e-20	72.0	0.491	0.254	429	621
